zona;secao;cargo;numero;votos
39;212;6;2233;7
39;11;7;12000;1
39;17;7;13456;14
39;221;3;13;85
39;178;5;95;5
39;176;6;1313;1
39;44;6;4456;11
39;225;7;96;1
39;2;6;1277;1
39;175;5;131;85
39;224;7;22111;1
39;6;6;2211;9
39;34;3;96;1
39;222;6;1292;1
39;225;5;96;2
39;173;6;5588;1
39;87;6;4488;2
39;34;7;13777;1
39;21;6;7000;1
39;1;7;65700;4
39;212;3;13;90
39;224;3;13;161
39;2;7;33111;6
39;3;6;4490;1
39;3;6;5588;1
39;173;7;70170;29
39;222;7;12999;1
39;199;7;50555;1
39;42;6;2233;1
39;11;3;44;47
39;181;7;15120;1
39;198;6;2277;3
39;7;5;555;24
39;180;6;5500;12
39;216;7;13333;1
39;151;5;131;153
39;11;7;22444;1
39;181;7;12345;1
39;157;3;13;121
39;11;7;44700;2
39;152;3;44;52
39;28;6;6565;5
39;44;5;96;15
39;38;6;5599;1
39;47;6;2210;1
39;151;6;1313;3
39;11;7;12300;1
39;221;7;95;5
39;178;6;7044;1
39;157;7;65700;8
39;164;7;13456;2
39;40;3;21;1
39;162;6;1010;1
39;9;6;1311;1
39;40;6;96;7
39;21;7;13456;48
39;226;7;12444;21
39;41;6;5500;10
39;48;6;1213;7
39;16;6;1322;14
39;17;6;1234;1
39;18;7;12500;8
39;19;6;2210;1
39;10;7;55999;1
39;7;6;2211;16
39;7;6;2200;1
39;41;7;55234;2
39;30;6;5005;2
39;19;6;5500;11
39;44;7;12000;1
39;39;7;22222;1
39;39;7;70170;2
39;216;5;95;1
39;19;7;13333;2
39;193;7;14244;3
39;9;6;95;11
39;40;6;4411;1
39;34;6;1533;31
39;19;7;23333;2
39;52;6;1333;1
39;228;7;23190;5
39;29;7;15123;12
39;169;7;22111;2
39;85;3;12;63
39;85;7;12111;4
39;205;7;12300;1
39;9;6;2288;1
39;86;7;33111;1
39;26;5;555;7
39;51;5;555;21
39;1;7;22022;2
39;37;6;2255;9
39;22;3;96;4
39;154;7;22777;1
39;33;3;12;20
39;41;7;43;1
39;41;7;44;1
39;41;7;55;1
39;41;7;70;2
39;175;7;13456;9
39;162;7;12500;1
39;86;7;12500;10
39;1;7;11333;3
39;202;5;131;63
39;41;5;131;124
39;162;5;131;61
39;9;7;12500;11
39;3;7;12111;1
39;7;7;55555;46
39;45;7;23190;1
39;12;7;11333;13
39;16;6;5511;4
39;26;6;1232;1
39;85;6;65;1
39;85;7;13;4
39;85;7;44;1
39;85;7;55;2
39;168;7;11;1
39;168;7;13;3
39;168;7;22;2
39;168;7;55;2
39;174;7;13456;3
39;9;6;4555;2
39;216;3;96;6
39;45;3;95;1
39;20;7;30000;1
39;47;7;44700;1
39;178;7;95;7
39;218;5;700;11
39;1;6;5500;14
39;12;5;95;5
39;156;7;12;3
39;156;7;15;3
39;156;7;22;1
39;156;7;44;1
39;156;7;45;1
39;156;7;50;1
39;156;7;55;1
39;156;7;70;1
39;172;7;22111;24
39;33;6;1233;1
39;35;7;13456;4
39;31;7;22555;2
39;214;7;55111;1
39;28;6;2211;2
39;219;7;22111;2
39;23;6;4490;1
39;228;7;22120;1
39;4;5;555;22
39;1;3;95;7
39;38;7;43640;25
39;19;6;2255;9
39;25;7;13;2
39;25;7;12;3
39;25;7;22;2
39;25;7;43;2
39;25;7;44;3
39;25;7;45;1
39;25;7;55;1
39;25;7;70;1
39;222;6;4410;7
39;1;6;1111;8
39;1;7;95;9
39;25;6;12;5
39;25;6;22;2
39;25;6;44;1
39;28;6;1292;1
39;6;7;70321;1
39;17;3;12;27
