zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
53;38;1015;ANTIGO CRAS - CENTRO DE REFERÊNCIA EM ASSISTÊNCIA SOCIAL - CASA DA FAM;RUA 11 DE JANEIRO, 389;CENTRO;63190000;266;
53;39;1082;CREI MARIA LUIZA DE SOUSA;RUA DR JOSE AUGUSTO 508;CENTRO;63190000;193;
53;40;1210;EMEIEF SAO FRANCISCO;SITIO DOM VITAL SN;DOM VITAL;63190000;341;
53;41;1074;EEMTI ADRIÃO DO VALE NUVENS;AV. PATATIVA DO ASSARÉ, SN;CENTRO;63190000;332;
53;42;1082;CREI MARIA LUIZA DE SOUSA;RUA DR JOSE AUGUSTO 508;CENTRO;63190000;198;
53;43;1066;EMEIEF ESCRITORA RAQUEL DE QUEIROZ;LARGO LAURO SOBREIRA   SN;CENTRO;63190000;262;
53;44;1066;EMEIEF ESCRITORA RAQUEL DE QUEIROZ;LARGO LAURO SOBREIRA   SN;CENTRO;63190000;263;
53;45;1074;EEMTI ADRIÃO DO VALE NUVENS;AV. PATATIVA DO ASSARÉ, SN;CENTRO;63190000;326;
53;46;1082;CREI MARIA LUIZA DE SOUSA;RUA DR JOSE AUGUSTO 508;CENTRO;63190000;195;
53;47;1449;ASSOCIAÇÃO PRODUTORES RURAIS SÍTIO MAMÃO;SÍTIO MAMÃO;SEDE RURAL;63190000;103;
53;48;1104;CAPELA NOSSA SENHORA DO PERPÉTUO SOCORRO;SÍTIO SÃO GONÇALO;SAO GONCALO;63190000;266;
53;49;1112;CAPELA DE SANTO ANTONIO;SITIO COBRAS, SN;COBRAS;63190000;162;
53;50;1120;EMEIEF JOAO TOMAZ DE AQUINO;SITIO PONTA DA SERRA;PONTA DA SERRA;63190000;199;
53;51;1139;EMEIEF JOAQUIM PINHEIRO DE MENEZES;VILA LATAO, SN;LATAO;63190000;194;
53;52;1147;EMEIEF JOSE GOMES BRASIL;PONTAL DA SANTA CRUZ, SN;PONTAL;63190000;359;129
53;53;1155;EMEIEF JOSE HOMEM DE SOUSA FILHO;GURITIBA SN;SERRA DA GURITIBA;63190000;370;142
53;54;1163;EMEIEF HERMANO CHAVES FRANCK;SITIO PEDRA BRANCA;PEDRA BRANCA;63190000;280;
53;55;1317;EMEIEF JOSÉ JUCÁ DE SOUSA CASTRO;DISTRITO DE DOM LEME;DOM LEME;63190000;257;
53;56;1317;EMEIEF JOSÉ JUCÁ DE SOUSA CASTRO;DISTRITO DE DOM LEME;DOM LEME;63190000;252;
53;58;1457;CRECHE MARIA ALAÍDE DE SOUSA;DISTRITO DE INHUMAS;DISTRITO DE INHUMAS;63190000;269;
53;59;1210;EMEIEF SAO FRANCISCO;SITIO DOM VITAL SN;DOM VITAL;63190000;346;
53;60;1139;EMEIEF JOAQUIM PINHEIRO DE MENEZES;VILA LATAO, SN;LATAO;63190000;357;57
53;61;1236;EMEIEF VALDEMAR ALENCAR;SITIO BOA VISTA SN;BOA VISTA;63190000;277;
53;62;1082;CREI MARIA LUIZA DE SOUSA;RUA DR JOSE AUGUSTO 508;CENTRO;63190000;190;
53;63;1074;EEMTI ADRIÃO DO VALE NUVENS;AV. PATATIVA DO ASSARÉ, SN;CENTRO;63190000;331;
53;64;1074;EEMTI ADRIÃO DO VALE NUVENS;AV. PATATIVA DO ASSARÉ, SN;CENTRO;63190000;336;
53;65;1260;ANEXO DA EMEIEF DEPUTADO FURTADO LEITE;DISTRITO DE ANJINHOS;ANJINHOS;63190000;208;
