zona;secao;cargo;numero;votos
64;78;7;22222;2
64;45;6;4447;1
64;92;7;14180;1
64;92;6;2222;8
64;56;6;2211;19
64;79;7;22555;1
64;46;5;700;39
64;41;7;22777;4
64;93;6;1313;1
64;45;7;44234;1
64;46;7;12345;2
64;46;7;65013;1
64;43;7;50777;1
64;51;6;1233;139
64;76;3;44;58
64;78;7;65013;4
64;78;7;12345;5
64;46;6;4477;5
64;52;6;1322;3
64;39;7;44888;1
64;65;7;12345;6
64;40;7;12000;1
64;42;6;95;7
64;56;7;44345;2
64;40;5;95;12
64;39;6;1313;2
64;40;6;12;7
64;49;5;555;4
64;62;6;4488;19
64;43;6;1245;1
64;43;6;96;2
64;39;6;1233;79
64;47;7;96;8
64;52;5;700;25
64;46;7;12888;20
64;46;7;13333;2
64;48;7;12456;3
64;46;6;1214;5
64;111;5;96;12
64;79;7;44020;1
64;79;7;96;4
64;51;7;65700;56
64;120;6;2222;3
64;43;7;11111;57
64;79;6;2277;1
64;47;6;2200;2
64;40;6;1123;2
64;40;7;13130;1
64;42;3;44;44
64;43;6;2277;3
64;54;6;2255;1
64;66;5;131;208
64;43;5;95;12
64;51;7;12444;3
64;40;6;2211;10
64;46;7;50500;1
64;45;7;12000;2
64;66;7;12888;5
64;66;7;13333;3
64;66;6;95;3
64;65;7;44345;2
64;40;3;44;44
64;78;7;44888;1
64;93;7;44888;3
64;92;5;555;5
64;78;6;1122;1
64;93;3;96;11
64;42;3;96;16
64;92;7;43333;1
64;65;3;95;10
64;102;7;65234;1
64;56;7;65700;43
64;43;3;96;18
64;42;6;4490;1
64;49;3;44;48
64;62;7;12600;1
64;103;7;44888;1
64;47;7;12456;15
64;47;7;15123;2
64;62;6;2288;1
64;40;7;13132;1
64;49;7;12456;6
64;76;6;5511;3
64;52;7;22022;1
64;103;6;4477;1
64;47;5;96;16
64;78;7;12888;20
64;78;7;13333;1
64;75;7;11111;108
64;103;6;4488;10
64;62;7;12333;1
64;41;7;95;9
64;78;6;1313;3
64;79;6;95;6
64;51;7;13;5
64;51;7;65;1
64;51;6;12;4
64;45;5;555;6
64;45;7;15111;3
64;50;7;15111;4
64;75;6;1214;1
64;43;6;1292;1
64;75;5;700;31
64;66;6;4490;1
64;78;7;13131;1
64;56;3;13;108
64;120;6;2233;1
64;50;5;131;170
64;54;7;45333;3
64;78;7;44234;2
64;92;7;44777;1
64;93;7;12345;1
64;45;6;12;3
64;45;6;21;1
64;56;7;22999;1
64;111;7;15111;3
64;103;6;96;1
64;93;6;4490;1
64;42;7;22022;1
64;45;6;2211;22
64;76;7;10000;1
64;40;6;1214;5
64;102;3;13;123
64;39;6;13;2
64;39;7;12;3
64;39;7;13;13
64;39;7;15;1
64;39;7;16;1
64;39;7;23;1
64;39;7;45;1
64;39;7;70;1
64;49;6;1331;1
64;62;7;13132;1
64;39;3;96;7
64;45;7;50500;1
64;47;6;1234;42
64;102;6;2222;1
64;111;6;1213;1
64;102;6;1234;81
64;102;6;4411;1
64;42;5;555;5
64;44;7;15111;2
64;79;6;1500;1
64;40;6;1333;2
64;120;3;12;13
64;52;7;10123;1
64;75;6;1111;3
64;75;7;95;2
64;75;7;44777;1
64;42;6;12;7
64;42;6;13;1
64;42;6;33;1
64;42;7;12;2
64;42;7;13;7
64;42;7;44;2
64;42;7;45;2
64;92;7;44345;5
64;78;7;44567;1
64;76;6;1313;1
64;40;6;96;6
64;65;7;12333;1
64;56;5;555;1
64;76;6;1322;1
64;50;3;13;166
64;92;7;12456;24
64;78;7;22555;1
64;102;6;4477;1
64;47;6;1333;1
64;44;6;2201;1
64;78;6;1234;48
64;103;5;96;5
64;93;5;96;20
64;41;6;1233;84
64;48;3;12;5
64;41;7;15111;2
64;46;6;1010;2
64;50;6;1123;2
64;44;6;5511;3
64;75;6;2201;1
64;51;7;22022;1
64;39;7;44345;1
64;102;5;131;131
64;49;6;11;2
64;49;6;12;4
64;49;6;13;2
64;49;6;14;1
64;49;6;44;1
64;49;6;65;1
64;49;7;11;2
64;49;7;12;5
64;49;7;13;13
64;49;7;22;1
64;49;7;36;1
64;49;7;44;1
64;44;7;22555;1
64;50;6;1313;1
64;49;7;65100;1
64;52;6;2222;3
64;43;6;1313;1
64;75;7;44700;1
64;78;6;4488;10
64;54;7;22111;1
64;40;6;6565;4
64;93;7;95;8
64;65;7;11111;76
64;120;5;95;13
64;111;7;95;1
64;50;6;3000;1
64;51;3;12;6
64;76;6;4488;21
64;56;3;12;6
64;47;7;11111;51
64;103;6;2277;5
64;93;7;13100;1
64;62;7;12456;21
64;62;7;15123;1
64;40;6;4488;11
64;65;7;22222;4
64;62;7;44888;1
64;62;7;11111;85
64;41;3;96;11
64;49;5;95;7
64;42;6;1245;1
64;43;5;700;22
64;40;6;1213;6
64;92;6;4499;1
64;76;6;2211;4
64;47;7;13777;1
64;54;7;12000;3
64;51;6;96;1
64;111;3;96;5
64;120;6;95;10
64;41;7;13777;1
64;65;5;131;140
64;50;6;4488;5
64;93;7;15111;5
64;41;3;44;57
64;102;7;13;5
64;103;5;700;10
64;65;6;5511;3
64;56;7;55555;1
64;92;6;5511;5
64;47;5;131;135
64;62;7;12000;1
64;111;7;50013;1
64;39;6;1111;1
64;54;7;45413;1
64;92;6;1213;3
64;54;5;700;38
64;76;3;13;171
64;41;3;13;128
64;48;6;4477;1
64;78;6;1533;1
64;42;7;65;1
64;66;6;12;3
64;66;6;13;1
64;66;6;23;1
64;66;6;65;2
64;66;7;11;1
64;66;7;12;1
64;66;7;13;7
64;45;7;12456;20
64;75;6;96;2
64;56;6;2233;1
64;49;7;12888;19
64;49;7;13333;2
64;93;6;1234;85
64;92;7;13777;1
64;46;6;1333;2
64;45;6;1313;1
64;39;6;96;4
64;62;5;555;3
64;43;7;65013;1
64;44;5;700;42
64;66;7;95;4
64;51;7;12333;1
64;44;7;12888;21
64;44;7;13333;2
64;75;7;12456;25
64;102;5;555;1
64;76;7;65000;6
64;49;5;96;23
64;43;7;12888;25
64;43;7;13333;2
64;41;6;2233;1
64;54;7;65700;40
64;75;6;1213;4
64;52;7;12888;5
64;52;7;13333;3
64;102;7;22222;1
64;47;6;1212;8
64;44;6;1213;3
64;48;6;2222;2
64;50;7;12456;7
64;78;7;12000;2
64;78;7;14180;1
64;62;7;23192;5
64;46;7;44111;7
64;47;7;12444;1
64;39;7;13789;1
64;76;7;22777;14
64;111;6;1123;1
64;93;5;131;195
64;47;6;4488;10
64;45;7;12888;31
64;45;7;13333;2
64;40;6;1234;31
64;120;7;12456;14
64;111;7;12888;94
64;52;7;10275;1
64;102;7;12123;1
64;62;7;55555;1
64;62;6;4490;1
64;120;6;5555;2
64;51;7;12888;46
64;44;6;2200;3
64;65;7;12111;2
64;93;7;22222;4
64;78;7;22777;7
64;54;6;2222;5
64;39;6;1212;8
64;111;3;13;174
64;56;5;700;36
64;79;7;12345;6
64;92;6;1233;79
64;78;7;11111;73
64;76;6;1234;35
64;43;6;1234;52
64;43;6;4411;1
64;44;6;1214;2
64;47;6;2211;22
64;78;6;2222;8
64;102;7;12000;8
64;45;6;1093;1
64;92;3;96;11
64;79;6;2200;1
64;48;7;12345;5
64;45;7;44111;2
64;62;6;2201;1
64;40;3;13;130
64;39;6;4477;2
64;47;6;4477;5
64;79;6;2222;20
64;41;6;4455;1
64;65;6;96;3
64;39;7;44111;2
64;48;7;12888;16
64;48;7;13333;2
64;120;6;4488;13
64;103;6;12;3
64;103;7;12;1
64;103;7;13;4
64;42;6;1292;1
64;42;7;44111;3
64;92;7;13100;1
64;103;6;1313;2
64;76;5;95;6
64;66;7;12345;2
64;66;6;2201;1
64;102;6;1213;1
64;65;7;22022;4
64;62;7;44111;1
64;103;7;96;5
64;40;3;96;13
64;39;6;1214;3
64;65;6;1093;3
64;102;3;12;5
64;54;6;5511;4
64;92;7;12888;27
64;92;7;13333;1
64;66;3;44;43
64;102;7;96;2
64;43;7;44111;3
64;46;6;1111;4
64;76;7;12456;27
64;54;6;1212;13
64;65;6;1214;3
64;92;6;1214;3
64;93;7;12888;13
64;41;5;95;15
64;41;6;1292;1
64;41;7;44111;1
64;62;6;96;2
64;54;6;1112;1
64;48;5;131;123
64;40;7;11000;2
64;40;6;4477;1
64;93;6;96;8
64;41;7;65700;51
64;50;6;1233;93
64;46;7;44345;3
64;40;6;5511;1
64;41;7;30000;1
64;78;7;44690;1
64;44;7;55345;1
64;56;7;12345;2
64;62;6;5511;6
64;79;3;12;5
64;103;3;96;3
64;65;7;44111;2
64;50;6;1234;57
64;39;6;2211;6
64;66;7;44888;1
64;93;6;1233;100
64;52;5;96;18
64;54;5;131;140
64;51;3;13;194
64;76;6;1214;1
64;52;5;131;203
64;50;7;44888;1
64;51;5;95;4
64;92;7;22190;1
64;39;6;12;5
64;120;6;1292;3
64;111;5;95;3
64;47;6;1292;2
64;47;7;44111;4
64;78;5;95;14
64;43;6;1580;1
64;43;7;12123;1
64;62;6;1214;5
64;62;5;131;173
64;40;3;12;8
64;78;6;96;8
64;50;5;96;18
64;120;6;2211;30
64;79;6;1213;1
64;39;7;12456;14
64;40;6;1212;7
64;39;7;22022;1
64;66;6;5511;2
64;92;7;13131;1
64;44;7;12345;7
64;44;7;65013;2
64;48;6;1322;1
64;65;7;12444;2
64;65;6;5500;1
64;120;7;11111;76
64;45;6;1234;46
64;43;3;44;37
64;41;5;131;145
64;120;5;131;182
64;78;6;1511;1
64;39;6;4488;9
64;49;6;2255;1
64;50;3;44;41
64;62;6;4499;1
64;50;3;12;8
64;66;6;4488;1
64;46;3;12;18
64;78;5;700;53
64;45;7;50444;1
64;78;3;95;4
64;92;7;12345;4
64;46;7;44123;1
64;103;6;2211;4
64;45;6;1233;76
64;65;6;2222;14
64;92;6;2200;4
64;46;6;1221;1
64;54;6;96;2
64;48;7;96;4
64;42;7;40130;1
64;75;6;2277;8
64;44;7;22777;1
64;45;7;22222;4
64;47;7;11222;1
64;79;5;555;1
64;76;7;50444;1
64;52;7;44888;1
64;78;6;4477;1
64;48;6;4488;3
64;52;7;50123;1
64;78;5;96;18
64;79;3;96;8
64;39;3;95;2
64;66;7;96;1
64;48;7;23192;2
64;79;7;22777;1
64;111;6;1010;2
64;65;6;4477;3
64;62;6;1580;1
64;111;7;11111;47
64;41;6;95;8
64;66;7;55234;1
64;54;6;95;6
64;42;7;12444;3
64;51;5;131;214
64;50;6;11;1
64;50;6;12;2
64;50;6;13;2
64;50;6;23;8
64;50;7;11;1
64;50;7;12;2
64;50;7;13;4
64;50;7;65;3
64;51;3;44;28
64;78;7;70;2
64;78;6;12;1
64;54;7;12456;26
64;75;7;65700;17
64;39;7;23192;3
64;49;6;1213;1
64;66;7;22444;1
64;62;7;12444;2
64;40;6;1322;3
64;62;6;1245;1
64;51;6;2211;1
64;92;6;2277;3
64;92;7;10111;1
64;76;7;95;5
64;75;7;96;2
64;78;7;11;1
64;78;7;12;4
64;44;6;4456;1
64;47;6;4490;1
64;44;7;11;2
64;44;7;12;2
64;42;6;1322;1
64;40;7;44111;1
64;111;7;44888;1
64;62;7;12345;4
64;92;6;1234;36
64;50;6;4455;1
64;62;3;13;146
64;46;5;96;23
64;39;7;22190;1
64;39;5;131;141
64;78;7;22022;4
64;120;3;95;5
64;120;7;44888;1
64;44;5;96;16
64;93;7;65700;71
64;50;6;1321;4
64;54;6;1123;2
64;62;6;1234;43
64;54;7;12345;3
64;44;7;12000;2
64;46;6;4499;1
64;51;3;96;7
64;111;6;4455;1
64;56;6;1233;46
64;48;7;50013;1
64;45;6;1245;1
64;65;5;95;17
64;79;7;11111;26
64;43;7;55678;1
64;44;7;10000;1
64;103;5;95;4
64;42;3;12;11
64;111;3;44;25
64;43;7;22777;2
64;79;5;96;15
64;65;6;1133;1
64;49;7;22777;12
64;54;7;50500;1
64;43;6;4488;12
64;45;7;65700;41
64;93;6;1212;2
64;44;7;65700;40
64;52;6;5511;1
64;39;7;45999;1
64;79;6;2233;1
64;78;6;1212;14
64;62;3;95;8
64;62;6;1111;2
64;62;7;95;6
64;56;6;5555;1
64;43;6;1213;5
64;42;7;11111;73
64;76;6;1212;1
64;48;7;10123;1
64;62;7;12100;1
64;66;7;22222;1
64;52;5;95;3
64;47;5;700;27
64;93;5;95;7
64;40;6;1313;3
64;45;3;12;10
64;75;6;4000;2
64;41;7;11111;75
64;49;7;44888;1
64;45;7;23456;1
64;78;7;13;6
64;78;7;22;1
64;41;6;1322;1
64;65;7;14888;1
64;42;7;15111;1
64;40;3;95;6
64;45;6;1292;3
64;93;5;700;24
64;46;6;95;6
64;39;7;22222;1
64;54;7;23192;1
64;62;3;96;9
64;62;6;2222;5
64;76;7;22022;1
64;39;7;95;7
64;39;5;700;34
64;79;7;11333;1
64;79;6;1513;1
64;92;6;2201;4
64;42;6;1232;1
64;46;7;12300;1
64;76;6;2200;1
64;50;6;1212;24
64;43;6;1233;54
64;56;5;96;22
64;43;3;80;1
64;50;3;96;7
64;52;3;13;192
64;43;3;95;8
64;76;5;96;14
64;102;7;44111;1
64;93;3;13;191
64;43;5;131;145
64;48;7;65000;1
64;75;6;4488;22
64;76;3;95;1
64;39;6;4456;2
64;47;7;22022;1
64;43;3;21;1
64;50;7;12000;2
64;40;7;12456;11
64;39;7;12000;1
64;42;7;12345;5
64;42;7;65013;1
64;45;7;12;2
64;45;6;22;1
64;45;6;23;1
64;45;7;11;1
64;45;7;13;11
64;49;6;1111;2
64;49;7;95;6
64;102;6;5044;1
64;78;7;95;11
64;41;6;2211;13
64;47;6;1322;2
64;120;6;2201;1
64;45;6;2277;2
64;48;7;22022;1
64;66;6;96;1
64;79;6;1212;6
64;93;6;4488;18
64;120;6;2288;2
64;42;6;1233;77
64;41;6;12;5
64;41;6;30;1
64;41;6;70;1
64;41;6;4490;1
64;43;7;45999;1
64;51;7;12456;1
64;92;3;12;17
64;49;7;11111;87
64;79;3;13;121
64;54;7;95;7
64;66;5;95;3
64;93;7;50777;1
64;103;3;95;4
64;42;3;13;142
64;76;3;12;10
64;120;7;44345;2
64;46;6;1233;74
64;76;7;45000;1
64;41;5;96;19
64;76;7;13100;1
64;42;7;12456;17
64;42;7;15123;2
64;76;6;1233;136
64;41;6;2277;3
64;40;7;22022;1
64;76;6;2222;5
64;54;7;23333;1
64;46;7;12456;14
64;52;7;13;20
64;52;6;13;1
64;52;7;11;2
64;52;7;12;5
64;52;7;16;1
64;52;7;45;1
64;51;7;96;2
64;102;7;44;1
64;102;7;65;2
64;65;6;11;1
64;65;6;12;5
64;65;6;13;1
64;65;6;15;1
64;65;6;45;1
64;65;7;12;1
64;65;7;13;3
64;65;7;15;2
64;65;7;22;1
64;65;7;45;3
64;65;7;70;1
64;42;6;2255;1
64;52;7;22222;1
64;39;6;1123;1
64;93;7;33133;1
64;43;7;22222;1
64;48;6;1292;1
64;45;6;4410;1
64;62;7;65013;1
64;45;3;13;160
64;76;6;4455;1
64;93;7;45111;3
64;92;6;1212;13
64;49;6;1234;74
64;56;6;96;6
64;45;6;95;9
64;65;7;96;5
64;79;6;4499;1
64;51;6;95;3
64;103;7;44111;1
64;47;6;1245;1
64;76;7;15111;1
64;47;6;4410;1
64;76;6;2277;13
64;50;5;555;1
64;102;7;15111;1
64;120;7;45999;2
64;42;6;4444;1
64;75;6;12;5
64;75;6;13;1
64;75;6;21;1
64;75;6;65;1
64;75;7;11;2
64;75;7;12;4
64;75;7;13;2
64;75;7;15;1
64;75;7;33;1
64;75;7;70;1
64;62;7;15111;2
64;39;6;5555;1
64;111;3;95;2
64;76;6;2288;1
64;45;6;1214;6
64;76;5;131;175
64;51;7;13133;1
64;65;7;12888;23
64;43;7;12456;14
64;43;7;15123;2
64;49;7;12345;4
64;62;7;44345;2
64;62;6;1212;13
64;43;7;10000;1
64;93;3;95;6
64;111;6;1234;81
64;78;3;13;149
64;75;6;1255;1
64;44;5;131;155
64;43;7;12000;2
64;75;7;55888;2
64;45;6;2200;3
64;56;7;11111;32
64;49;7;65700;71
64;46;7;22222;2
64;66;3;13;195
64;41;5;555;3
64;49;6;5566;1
64;75;6;2288;2
64;76;6;12;2
64;76;6;22;1
64;76;6;65;2
64;79;7;12888;38
64;79;7;13333;4
64;44;6;1313;3
64;65;6;1213;1
64;51;6;2222;1
64;51;7;15111;1
64;50;6;2222;1
64;43;6;4410;1
64;39;6;1322;1
64;45;7;44345;1
64;49;6;2277;10
64;46;7;45000;1
64;78;6;2288;1
64;79;6;1123;1
64;47;7;12345;3
64;56;6;4488;18
64;46;7;22777;5
64;78;7;45555;1
64;50;6;1111;2
64;50;7;95;3
64;46;6;5050;1
64;103;6;1233;29
64;62;6;1478;1
64;46;3;44;52
64;120;6;1580;1
64;120;3;96;10
64;79;7;95;7
64;65;6;95;7
64;43;6;2222;4
64;78;7;45111;1
64;120;6;5511;4
64;92;6;95;13
64;92;7;45000;1
64;65;6;1333;1
64;102;5;95;1
64;47;5;555;5
64;47;5;95;10
64;120;7;50013;1
64;54;7;22556;1
64;50;7;12888;15
64;50;7;13333;2
64;56;7;12888;25
64;56;7;13333;1
64;92;3;44;69
64;46;7;10777;1
64;62;6;1322;7
64;39;7;13131;1
64;49;7;23123;1
64;40;6;1111;1
64;75;3;13;143
64;44;7;22222;2
64;93;6;5511;4
64;93;6;2277;2
64;44;6;2211;12
64;41;6;4410;1
64;50;7;30000;1
64;48;7;11111;55
64;39;7;12888;17
64;39;7;55678;1
64;41;7;55888;1
64;102;5;96;7
64;103;7;12345;3
64;75;6;4490;1
64;40;6;2233;1
64;44;6;1233;85
64;44;7;10030;1
64;44;7;96;7
64;41;6;1213;2
64;44;6;1111;3
64;44;7;95;9
64;93;6;5013;1
64;39;6;1234;54
64;76;7;12123;1
64;54;6;1232;1
64;42;7;65700;49
64;93;7;96;10
64;45;7;13100;1
64;41;6;5555;1
64;47;6;4455;1
64;75;7;65000;1
64;78;7;96;6
64;76;7;12444;1
64;62;6;1292;3
64;92;6;1313;1
64;56;7;22700;1
64;56;6;1112;1
64;46;6;2277;3
64;41;7;22022;3
64;49;6;1292;1
64;44;7;44345;1
64;42;5;96;26
64;56;7;22555;1
64;52;7;11111;133
64;40;7;96;5
64;92;7;44044;1
64;45;6;96;6
64;47;6;1214;1
64;75;6;95;1
64;75;7;45000;1
64;66;3;96;8
64;43;7;96;5
64;66;3;95;4
64;76;7;96;3
64;43;7;10190;1
64;50;7;15888;2
64;66;7;65700;60
64;40;6;2201;1
64;65;7;55888;1
64;93;3;44;33
64;46;7;11111;75
64;62;6;2211;12
64;52;6;1201;1
64;65;6;2211;20
64;43;7;12444;1
64;103;3;12;8
64;44;5;95;12
64;62;3;44;56
64;52;6;1333;1
64;51;6;5511;1
64;46;7;55678;1
64;62;6;4447;1
64;51;5;96;11
64;45;7;10030;1
64;45;7;96;4
64;62;7;45999;1
64;39;7;50500;1
64;48;6;1123;1
64;62;6;1213;5
64;92;6;4343;1
64;92;7;22777;6
64;52;7;65100;2
64;51;5;700;7
64;43;6;1322;2
64;48;6;12;1
64;66;6;4477;1
64;48;6;4455;2
64;79;6;96;2
64;40;5;700;27
64;42;7;55678;2
64;45;7;13111;1
64;120;5;96;11
64;45;3;95;11
64;45;6;4488;14
64;111;3;12;5
64;51;7;12345;1
64;120;7;22777;5
64;54;7;12888;21
64;75;6;1222;1
64;75;6;1234;14
64;75;6;9000;1
64;75;5;96;15
64;92;6;4477;5
64;54;3;12;8
64;42;7;13777;1
64;65;6;4444;1
64;66;7;65100;1
64;62;5;95;12
64;45;5;131;170
64;92;7;11111;63
64;50;6;2323;1
64;120;7;15111;1
64;42;7;45300;1
64;43;6;1212;7
64;103;6;95;1
64;54;7;70007;1
64;120;6;2277;3
64;44;7;13130;1
64;75;7;12444;1
64;39;3;44;55
