zona;secao;cargo;numero;votos
108;71;3;13;63
108;56;6;1292;1
108;85;3;13;101
108;80;7;55011;1
108;43;6;4000;31
108;75;6;5050;1
108;42;7;33300;1
108;43;6;96;4
108;49;6;2255;1
108;54;6;1123;1
108;58;7;23192;1
108;55;7;96;5
108;58;3;12;78
108;43;6;1333;2
108;75;6;2233;1
108;68;6;1245;1
108;49;6;2222;6
108;63;6;2277;15
108;76;7;13333;3
108;64;3;96;19
108;56;6;2222;11
108;55;5;555;78
108;77;5;700;21
108;76;7;14888;1
108;53;5;131;172
108;68;7;15;1
108;68;7;40;1
108;68;7;55;3
108;56;7;12;6
108;56;7;13;6
108;56;7;55;1
108;56;6;12;1
108;56;6;55;1
108;73;6;12;1
108;73;6;13;1
108;73;6;55;1
108;74;6;2277;1
108;57;5;95;9
108;75;7;12456;96
108;77;6;1213;3
108;75;7;12888;112
108;75;7;13333;1
108;73;3;96;11
108;92;5;96;4
108;64;7;95;9
108;52;7;22022;1
108;70;7;12456;46
108;85;6;6565;1
108;63;5;555;55
108;66;5;700;30
108;77;7;22222;5
108;77;7;44190;1
108;71;6;1245;2
108;66;3;13;103
108;50;7;12456;125
108;91;7;12888;56
108;49;7;22777;2
108;60;6;1212;2
108;78;5;700;17
108;54;6;1234;1
108;72;7;12456;63
108;55;7;12345;1
108;60;7;44441;1
108;43;3;96;10
108;62;7;55555;2
108;75;6;4490;1
108;68;5;700;15
108;47;6;4000;18
108;57;6;96;4
108;56;5;700;22
108;76;7;13111;1
108;59;6;1400;1
108;51;6;1010;1
108;51;6;4456;2
108;49;6;96;2
108;73;6;2277;5
108;48;5;555;63
108;90;5;700;26
108;58;6;6565;1
108;50;6;12;7
108;50;6;13;1
108;50;6;22;2
108;50;6;55;1
108;50;7;11;1
108;50;7;12;13
108;50;7;13;11
108;50;7;18;1
108;50;7;55;6
108;50;7;65;1
108;60;6;2227;1
108;62;7;96;4
108;65;7;22777;5
108;46;7;22222;3
108;72;6;1213;3
108;84;6;4490;2
108;68;7;96;3
108;62;6;4455;2
108;71;6;4000;31
108;46;6;4488;3
108;46;7;12345;1
108;70;7;43640;2
108;64;6;1285;2
108;67;6;2288;2
108;77;6;1111;1
108;77;7;95;3
108;58;5;95;13
108;79;7;22222;7
108;53;7;22222;1
108;76;3;13;137
108;48;7;55555;2
108;79;7;96;6
108;53;7;96;7
108;57;7;45999;1
108;79;6;1232;1
108;48;7;12456;125
108;47;5;95;8
108;74;6;5555;103
108;84;7;12888;91
108;84;7;13333;3
108;77;6;2222;11
108;53;6;1010;1
108;73;6;2200;1
108;63;7;95;3
108;66;5;131;124
108;51;5;96;15
108;85;7;55011;1
108;66;5;96;18
108;79;3;16;1
108;45;5;96;18
108;74;7;12555;1
108;77;7;22022;1
108;59;6;4410;1
108;47;6;96;6
108;80;6;5555;84
108;71;3;95;11
108;93;6;1500;2
108;93;3;95;3
108;65;3;96;14
108;79;7;13777;1
108;50;6;96;5
108;62;6;96;6
108;64;6;2288;3
108;70;7;96;3
108;61;5;95;15
108;70;3;44;37
108;67;7;12123;7
108;55;6;1333;1
108;62;6;5511;1
108;45;7;12123;19
108;55;5;95;10
108;60;6;4447;1
108;84;7;70000;1
108;93;6;1222;1
108;59;6;1233;56
108;78;7;22222;1
108;57;6;1212;2
108;75;6;1213;1
108;46;5;95;12
108;55;6;2277;2
108;41;7;33008;1
108;42;7;33008;2
108;47;6;1012;1
108;93;7;22222;1
108;70;6;1212;2
108;94;6;5555;92
108;78;7;12123;9
108;71;7;22111;1
108;64;6;4447;1
108;61;7;23123;1
108;43;6;1322;5
108;46;7;55888;1
108;75;6;1245;2
108;55;7;12333;1
108;54;6;4490;1
108;62;6;1233;65
108;84;7;13123;1
108;90;5;131;173
108;48;7;13456;1
108;43;7;22333;1
108;77;7;12123;5
108;44;6;2277;3
108;73;6;1123;1
108;60;6;4000;57
108;77;6;4000;20
108;57;7;44999;2
108;56;7;44999;3
108;90;6;2100;1
108;46;7;33233;1
108;84;7;10123;1
108;55;5;700;21
108;45;6;5555;81
108;57;7;22777;1
108;51;6;55;2
108;51;7;12;4
108;51;7;13;15
108;51;7;55;4
108;51;7;12555;2
108;62;7;70000;3
108;60;5;555;53
108;63;7;12123;17
108;60;7;44888;1
108;78;7;44441;1
108;93;5;96;25
108;47;6;1292;2
108;43;6;4412;1
108;49;6;1292;1
108;52;3;21;1
108;76;6;2222;4
108;57;7;90180;1
108;69;6;2288;1
108;60;6;1445;1
108;48;7;96;6
108;65;7;96;1
108;74;6;95;4
108;55;6;2088;1
108;43;7;22222;1
108;47;6;11;2
108;47;6;12;11
108;47;6;13;4
108;47;6;15;1
108;47;7;12;12
108;47;7;13;16
108;47;7;14;1
108;47;7;33;1
108;47;7;40;1
108;47;7;55;4
108;47;7;70;1
108;84;6;1212;1
108;75;3;96;7
108;46;6;4490;1
108;76;7;11;1
108;76;7;12;10
108;76;7;13;8
108;76;7;15;1
108;76;7;22;1
108;76;7;36;1
108;90;6;1292;3
108;79;7;55555;1
108;48;6;1234;1
108;43;7;12888;73
108;43;7;13333;4
108;49;7;22222;5
108;59;5;96;20
108;54;6;96;3
108;71;6;96;3
108;65;6;5555;74
108;71;7;22777;9
108;78;6;4010;1
108;93;7;10124;2
108;76;7;40101;1
108;69;6;5511;1
108;69;5;131;133
108;71;7;95;6
108;45;6;2277;7
108;77;6;4411;1
108;79;6;1212;1
108;91;5;555;42
108;61;5;96;15
108;52;7;44123;1
108;47;7;95;7
108;76;3;12;89
108;55;7;12456;110
108;50;6;4444;1
108;92;5;131;50
108;90;7;15555;1
108;69;6;2277;11
108;46;6;1292;1
108;75;7;12345;1
108;84;7;13555;1
108;72;5;555;55
108;50;6;1233;120
108;52;7;10123;2
108;45;3;44;17
108;68;6;95;11
108;63;6;96;5
108;41;6;1245;2
108;72;6;95;6
108;42;7;12888;101
108;42;7;13333;2
108;59;6;2277;13
108;48;6;1233;126
108;46;6;5511;1
108;70;7;70000;2
108;57;7;22222;2
108;49;7;12888;96
108;49;7;13333;1
108;71;6;12;3
108;47;7;12888;87
108;47;7;13333;1
108;74;6;2255;2
108;71;7;96;3
108;90;6;1233;118
108;65;3;44;43
108;50;7;22022;1
108;85;6;12;3
108;85;6;13;1
108;85;6;23;1
108;62;5;555;44
108;71;5;96;13
108;50;5;131;161
108;58;5;555;65
108;93;7;12333;1
108;66;6;1321;1
108;78;7;12444;1
108;55;3;44;28
108;74;5;96;25
108;64;7;22120;1
108;57;6;1213;9
108;59;6;4000;42
108;78;6;1233;108
108;73;6;4456;1
108;73;5;95;12
108;71;7;45;1
108;71;6;13;1
108;71;7;12;3
108;71;7;13;4
108;71;7;55;6
108;64;3;44;59
108;49;3;80;1
108;68;5;95;13
108;84;6;1245;3
108;77;7;12555;1
108;85;7;22777;9
108;70;6;2233;1
108;65;6;1333;1
108;72;3;44;48
108;50;7;12123;6
108;45;3;12;82
108;42;5;95;10
108;59;6;95;10
