zona;secao;cargo;numero;votos
22;17;7;44888;1
22;147;6;4410;1
22;162;5;95;19
22;25;6;4456;1
22;161;6;1556;1
22;7;7;12345;2
22;7;7;65013;2
22;208;3;12;1
22;201;5;700;74
22;146;7;22022;1
22;3;6;4455;1
22;13;7;22777;3
22;216;7;15151;49
22;201;6;1233;55
22;1;7;44888;1
22;212;3;44;61
22;23;7;22777;3
22;1;6;5013;1
22;3;7;22422;2
22;145;6;1533;12
22;216;6;2255;1
22;201;6;2255;3
22;155;7;22777;6
22;6;5;96;22
22;144;7;70123;1
22;144;5;700;71
22;146;7;22777;7
22;2;6;2201;1
22;145;7;43333;1
22;161;7;70222;1
22;148;3;96;16
22;2;7;13333;3
22;241;7;15151;11
22;4;7;65700;100
22;24;7;44888;1
22;229;3;44;99
22;145;6;4455;1
22;2;7;44333;1
22;3;7;12456;23
22;132;3;44;49
22;144;6;5013;1
22;161;6;1010;4
22;155;6;4444;1
22;145;6;4477;3
22;162;6;1233;13
22;14;5;131;105
22;24;6;1233;23
22;3;6;4447;2
22;2;6;4456;3
22;155;7;12111;1
22;9;7;96;9
22;147;7;95;1
22;162;3;96;12
22;151;3;12;5
22;20;6;4477;1
22;11;6;1234;1
22;24;7;12333;1
22;1;3;44;106
22;211;7;11999;8
22;20;6;1010;4
22;244;7;13222;1
22;216;7;13777;1
22;144;7;22222;7
22;19;6;1245;1
22;145;7;12888;1
22;155;6;1012;1
22;8;7;95;6
22;216;6;1551;1
22;216;6;2201;3
22;217;6;1515;1
22;1;5;95;4
22;13;3;12;2
22;244;5;95;8
22;186;6;5511;3
22;160;7;15333;1
22;155;6;1245;3
22;131;7;15888;5
22;236;6;1233;22
22;161;5;700;26
22;146;6;2211;1
22;25;5;95;11
22;234;6;2210;1
22;146;7;12456;31
22;162;6;2210;1
22;6;7;45111;2
22;211;6;1213;10
22;24;5;555;2
22;19;7;44774;1
22;147;3;95;4
22;2;7;65700;100
22;234;7;22777;9
22;7;6;1111;86
22;186;7;15151;14
22;8;6;1313;1
22;14;5;96;9
22;145;7;22422;14
22;160;6;1245;1
22;160;7;22422;5
22;155;6;1213;19
22;155;3;95;8
22;208;6;1010;3
22;208;6;4456;1
22;147;6;96;4
22;162;7;22022;3
22;144;6;2222;14
22;3;6;1233;17
22;208;6;1522;4
22;151;7;44333;1
22;148;6;2255;1
22;13;6;1010;1
22;144;6;4555;2
22;234;6;4410;4
22;139;3;13;111
22;144;7;22022;3
22;191;7;12123;2
22;191;6;2255;1
22;234;3;96;18
22;3;7;13333;1
22;160;6;1333;3
22;18;5;700;19
22;216;6;4477;1
22;4;7;10123;2
22;145;7;10123;9
22;15;6;1900;1
22;1;6;1234;1
22;155;7;12444;1
22;2;6;4490;1
22;146;3;44;94
22;155;6;4410;4
22;19;7;15115;1
22;236;6;1213;13
22;3;7;22556;1
22;234;5;96;28
22;145;6;4410;7
22;22;6;2277;1
22;23;7;44000;1
22;25;5;700;75
22;212;6;1515;1
22;20;3;13;79
22;144;6;7070;1
22;132;6;1333;1
22;155;7;12456;27
22;1;7;23190;2
22;160;7;44000;2
22;8;6;4433;1
22;241;6;1522;1
22;160;6;1533;28
22;20;6;1111;64
22;20;7;95;5
22;22;6;1233;39
22;8;7;65700;72
22;208;6;95;5
22;208;7;45000;1
22;241;3;13;79
22;234;7;13456;2
22;234;7;15888;8
22;25;7;11999;8
22;144;7;12999;1
22;244;7;95;11
22;244;6;1111;82
22;191;6;2288;2
22;14;3;95;6
22;139;3;95;5
22;241;5;555;2
22;12;6;11;2
22;12;6;13;2
22;12;6;15;1
22;12;6;22;1
22;12;7;11;2
22;12;7;12;1
22;12;7;13;9
22;12;7;15;2
22;12;7;22;2
22;12;7;45;1
22;12;7;65;4
22;12;7;70;4
22;2;6;11;2
22;2;6;12;2
22;2;6;13;4
22;2;6;22;1
22;25;6;95;17
22;4;3;96;16
22;160;6;1233;16
22;6;5;95;5
22;161;3;12;2
22;6;3;13;103
22;5;3;95;4
22;4;6;2255;2
22;160;6;1122;1
22;161;7;65;2
22;161;7;70;3
22;236;6;12;3
22;236;6;22;3
22;236;6;45;1
22;236;6;65;1
22;236;7;11;1
22;236;7;12;2
22;236;7;13;4
22;236;7;15;3
22;236;7;16;1
22;236;7;44;1
22;236;7;45;1
22;236;7;65;1
22;3;6;2201;1
22;191;7;15333;1
22;11;6;1522;1
22;160;7;23190;2
22;131;6;5013;2
22;15;6;2201;2
22;7;6;4490;1
22;139;7;15151;15
22;4;7;65;1
22;4;7;70;9
22;4;6;11;2
22;4;6;12;4
22;4;6;13;2
22;4;6;19;1
22;4;6;65;1
22;4;6;70;1
22;146;6;11;1
22;146;6;12;1
22;146;6;13;4
22;146;6;65;1
22;146;7;11;1
22;241;6;1533;29
22;12;6;2211;1
22;244;7;70070;1
22;14;3;12;2
22;23;5;95;9
22;162;6;1234;1
22;217;7;15888;1
22;191;6;1111;69
22;146;7;12;4
22;146;7;13;11
22;146;7;16;1
22;146;7;22;1
22;146;7;65;3
22;146;7;70;1
22;151;7;13;12
22;151;7;15;2
22;151;7;44;2
22;151;7;55;1
22;151;7;70;3
22;151;6;11;1
22;160;6;7007;1
22;162;7;45000;1
22;147;7;15151;6
22;236;5;95;7
22;132;3;95;6
22;208;7;10123;3
22;148;3;95;3
22;146;7;15151;29
22;9;7;11999;9
22;151;7;22222;5
22;18;6;1522;3
22;236;7;15888;12
22;139;6;65;1
22;139;7;11;1
22;139;7;12;2
22;139;7;13;6
22;139;7;15;1
22;139;7;19;1
22;24;6;4444;4
22;18;6;2277;1
22;24;6;5013;1
22;241;6;2210;1
22;17;3;44;57
22;2;6;1201;1
22;186;5;131;167
22;155;7;22;2
22;155;7;45;2
22;155;7;65;1
22;155;7;70;3
22;162;6;12;3
22;162;6;22;3
22;162;6;65;4
22;162;7;11;2
22;162;7;12;1
22;162;7;13;11
22;162;7;15;1
22;162;7;22;1
22;162;7;55;1
22;4;6;1213;37
22;15;7;15330;1
22;14;3;80;1
22;139;6;13;3
22;139;6;22;1
22;131;6;1233;7
22;24;6;1292;1
22;23;6;2201;2
22;147;6;2222;8
22;14;6;1245;1
22;162;7;33300;1
22;2;6;5511;8
22;2;5;160;1
22;212;7;96;2
22;186;7;22422;2
22;15;6;1322;1
22;148;6;1213;10
22;13;6;96;1
22;15;7;11111;3
22;11;6;4412;1
22;234;7;12456;36
22;236;6;4444;2
22;148;6;1245;1
22;20;6;2277;3
22;244;6;4444;1
22;236;6;1010;3
22;4;6;2200;3
22;23;6;4410;3
22;131;5;131;78
22;131;6;95;6
22;7;6;1313;1
22;12;7;44333;1
22;17;7;95;6
22;162;7;70222;1
22;9;6;1333;4
22;160;5;555;1
22;186;7;22777;3
22;151;7;44774;3
22;212;7;11999;11
22;217;5;95;7
22;139;7;12444;1
22;244;3;44;79
22;1;7;13;10
22;1;7;14;1
22;1;7;15;5
22;23;7;22022;1
22;13;6;1515;1
22;22;7;22777;1
22;144;6;13;2
22;139;7;55;1
22;139;7;70;5
22;144;6;12;4
22;144;6;22;2
22;144;6;23;1
22;144;6;65;1
22;144;6;70;1
22;144;7;12;5
22;146;6;1533;19
22;201;6;1122;1
22;229;3;13;135
22;148;7;65700;90
22;244;3;96;16
22;8;7;22777;1
22;24;6;1333;4
22;216;5;95;6
22;24;7;11999;18
22;191;6;2244;20
22;24;6;1213;42
22;21;6;95;6
22;14;6;95;12
22;132;5;95;5
22;139;6;2201;1
22;23;6;1313;2
22;3;7;96;19
22;211;7;22422;1
