zona;secao;cargo;numero;votos
11;117;13;40404;4
11;284;13;20020;2
11;298;13;20020;2
11;293;13;40999;2
11;115;13;22345;4
11;284;13;55127;2
11;136;13;20789;1
11;66;13;40555;2
11;293;13;22345;9
11;101;13;55190;4
11;199;13;20200;1
11;3;13;55190;1
11;260;13;55000;3
11;188;13;13000;2
11;29;13;22345;2
11;127;13;40999;2
11;15;13;40777;30
11;218;13;22222;13
11;202;13;55000;4
11;30;13;13123;2
11;49;13;20999;1
11;298;13;40444;5
11;298;13;55333;11
11;8;13;55222;3
11;307;13;55190;8
11;89;13;20333;1
11;179;13;13333;1
11;236;13;55123;6
11;154;13;12555;1
11;271;13;40777;2
11;25;13;55321;4
11;238;13;20777;41
11;167;13;12000;1
11;282;13;43000;1
11;155;13;20500;3
11;299;13;43333;2
11;176;13;20020;1
11;238;13;40555;4
11;286;13;40555;10
11;214;13;12000;2
11;239;13;22175;1
11;134;13;20222;10
11;111;13;20222;5
11;47;13;22111;3
11;287;13;55369;2
11;181;13;22888;3
11;54;13;20555;1
11;272;13;22345;3
11;204;13;22345;5
11;155;13;55555;1
11;158;13;12100;1
11;67;13;12840;1
11;62;13;13333;4
11;111;13;20500;1
11;195;13;55667;1
11;195;13;12840;1
11;89;13;55000;7
11;90;13;55000;11
11;219;13;22333;2
11;171;13;40404;13
11;302;13;40123;9
11;298;13;20222;5
11;278;13;12111;16
11;117;13;22124;5
11;257;13;20500;1
11;115;13;55;2
11;272;13;40000;2
11;172;13;20;1
11;172;13;40;1
11;138;13;13000;1
11;138;13;55667;3
11;20;13;40333;1
11;305;13;20777;1
11;275;13;13123;4
11;286;13;22245;1
11;122;13;13000;2
11;38;13;20020;1
11;204;13;22124;2
11;8;13;40;5
11;268;13;20;1
11;16;13;43;1
11;250;13;12;2
11;99;13;12;1
11;279;13;13101;1
11;188;13;40678;3
11;121;13;20500;8
11;188;13;20000;24
11;210;13;13;2
11;31;13;13;2
11;9;13;40888;1
11;54;13;40;2
11;6;13;55;5
11;176;13;96;4
11;261;13;13111;2
11;252;13;96;9
11;46;13;22888;1
11;246;13;40888;8
11;188;13;55321;4
11;247;13;20000;2
11;250;13;55321;3
11;106;13;40000;5
11;89;13;22888;1
11;89;13;40777;6
11;204;13;95;1
11;272;13;40040;1
11;155;13;40040;4
11;101;13;13101;1
11;84;13;13111;1
11;98;13;95;6
11;55;13;13123;6
11;97;13;13101;1
11;314;13;55123;1
11;313;13;12456;2
11;214;13;12456;3
11;236;13;12789;2
11;23;13;55999;18
11;296;13;20777;1
11;260;13;22190;22
11;78;13;22190;1
11;241;13;20888;2
11;6;13;20500;2
11;183;13;22124;4
11;314;13;20500;1
11;196;13;55789;3
11;275;13;55999;3
11;117;13;40888;4
11;99;13;40777;12
11;39;13;20000;11
11;193;13;55000;8
11;179;13;55222;27
11;2;13;20999;2
11;110;13;40123;2
11;203;13;40000;4
11;1;13;95;2
11;291;13;55615;3
11;111;13;55111;6
11;88;13;40678;1
11;29;13;96;10
11;37;13;96;6
11;36;13;12123;1
11;290;13;40123;8
11;243;13;12333;6
11;300;13;12333;1
11;26;13;22111;7
11;69;13;55321;1
11;277;13;55;3
11;74;13;12;1
11;298;13;40;4
11;183;13;55;2
11;28;13;55999;1
11;74;13;20;1
11;207;13;55321;11
11;281;13;22190;4
11;72;13;12;3
11;298;13;20456;5
11;49;13;40000;4
11;90;13;40000;3
11;185;13;22111;4
11;48;13;40369;4
11;303;13;96;4
11;239;13;40888;2
11;47;13;95;7
11;6;13;95;5
11;307;13;96;3
11;312;13;55321;7
11;219;13;55321;4
11;7;13;55321;5
11;8;13;40369;10
11;104;13;40000;4
11;181;13;40678;12
11;116;13;12333;1
11;110;13;20;1
11;292;13;95;2
11;90;13;55615;7
11;242;13;22111;2
11;5;13;40123;3
11;140;13;40369;12
11;207;13;55888;1
11;48;13;12123;1
11;203;13;40123;3
11;46;13;40123;7
11;119;13;22123;2
11;130;13;22190;2
11;91;13;12222;2
11;89;13;40;6
11;151;13;65;1
11;37;13;22175;1
11;242;13;55888;1
11;199;13;13244;1
11;122;13;40;2
11;135;13;13;1
11;47;13;55555;2
11;214;13;23;1
11;236;13;22123;8
11;25;13;40222;37
11;66;13;13444;1
11;169;13;55615;1
11;274;13;12333;7
11;26;13;55000;64
11;202;13;22124;7
11;148;13;55190;10
11;304;13;55321;2
11;296;13;22190;3
11;285;13;20888;5
11;67;13;22111;1
11;101;13;22;1
11;205;13;95;5
11;205;13;40040;2
11;225;13;12111;3
11;101;13;13;2
11;168;13;40222;7
11;77;13;22300;1
11;288;13;12456;9
11;257;13;40888;4
11;110;13;13123;1
11;277;13;13000;18
11;176;13;40777;21
11;37;13;27;1
11;265;13;55222;10
11;285;13;22124;2
