zona;secao;cargo;numero;votos
50;186;6;4455;1
50;42;7;12111;1
50;198;6;1520;1
50;37;7;13258;50
50;227;7;15151;2
50;39;7;22555;1
50;28;6;5013;1
50;33;7;10555;1
50;36;6;2288;3
50;107;3;44;37
50;158;7;45999;1
50;200;7;70;1
50;173;7;12111;1
50;35;7;33500;1
50;35;7;12000;1
50;37;7;22777;5
50;27;7;12123;44
50;107;6;4488;2
50;192;7;11000;1
50;35;6;4000;54
50;36;6;1111;1
50;37;7;23192;2
50;176;7;96;4
50;38;6;1000;4
50;33;7;13333;1
50;203;5;131;70
50;36;3;12;35
50;206;7;13456;28
50;206;7;15888;1
50;226;7;15151;3
50;123;6;2222;8
50;33;5;555;18
50;206;6;4444;4
50;29;7;11222;1
50;204;6;2277;2
50;32;7;12000;2
50;41;6;1112;1
50;41;6;1277;1
50;206;6;4445;2
50;206;6;4441;1
50;203;6;11;2
50;203;6;13;2
50;203;6;80;1
50;203;7;10;1
50;203;7;12;5
50;192;5;95;5
50;33;7;70321;1
50;198;5;96;21
50;123;7;95;12
50;203;6;4455;2
50;38;7;11000;3
50;37;5;95;9
50;42;7;12500;1
50;32;6;5577;1
50;200;6;4000;16
50;43;7;11113;1
50;203;7;13;3
50;123;7;13333;1
50;42;6;1513;1
50;27;6;5511;4
50;36;5;555;12
50;123;6;4488;7
50;176;6;5533;1
50;186;7;45123;1
50;39;6;5020;1
50;203;6;2201;7
50;29;7;12333;1
50;42;7;36192;1
50;42;7;13456;5
50;37;7;55234;2
50;37;7;13789;1
50;107;6;4456;2
50;43;6;1212;1
50;199;6;2222;3
50;42;7;95;6
50;37;6;1234;3
50;226;6;4000;31
50;36;6;2201;1
50;41;7;12;3
50;41;6;45;1
50;41;6;55;1
50;41;7;11;1
50;41;7;13;11
50;41;7;22;1
50;41;7;45;1
50;41;7;55;2
50;192;6;1533;59
50;206;7;11000;8
50;206;7;12123;13
50;34;6;1313;2
50;38;5;555;14
50;204;6;1000;1
50;192;7;13258;47
50;33;7;13132;7
50;227;7;15000;5
50;28;3;96;14
50;107;7;19444;1
50;28;7;11113;5
50;28;7;22022;2
50;204;5;96;15
50;203;6;1233;1
50;41;6;1215;2
50;206;6;1322;1
50;123;6;5533;3
50;29;7;44888;2
50;203;7;13333;3
50;29;7;11444;2
50;177;7;22333;1
50;27;7;13132;2
50;107;7;55011;1
50;36;6;4000;56
50;199;6;95;8
50;39;6;4533;1
50;29;6;4488;3
50;34;7;43640;7
50;177;6;2201;1
50;173;6;4578;1
50;37;7;70007;1
50;28;7;50013;1
50;176;5;96;15
50;42;6;2323;1
50;35;7;70090;1
50;177;7;22234;6
50;32;7;33193;1
50;173;6;1111;1
50;173;7;95;5
50;158;6;1214;1
50;173;7;12123;43
50;43;7;12111;1
50;42;7;12345;1
50;158;6;5055;1
50;227;6;1212;2
50;206;5;700;5
50;39;7;13258;46
50;204;6;95;7
50;176;7;13456;6
50;28;6;5511;6
50;199;7;12123;87
50;226;6;2299;1
50;107;6;1212;1
50;41;7;12112;1
50;34;7;23023;1
50;173;6;2201;2
50;204;7;12123;58
50;107;7;15115;1
50;204;7;45555;1
50;192;7;12345;1
50;37;3;12;37
50;36;7;23023;1
50;200;7;22777;1
50;177;7;44123;2
50;38;7;15;1
50;38;7;40;1
50;38;7;43;1
50;29;7;22234;11
50;173;6;95;10
50;28;7;22101;1
50;34;7;22777;4
50;43;6;1111;1
50;43;7;95;4
50;37;6;1292;3
50;29;7;44777;1
50;27;7;55444;1
50;37;6;2288;4
50;38;6;1133;1
50;38;7;33323;2
50;204;7;45999;1
50;176;6;1234;1
50;176;6;4411;1
50;39;6;5500;1
50;41;7;70300;1
50;29;6;1303;1
50;176;7;45111;1
50;204;7;13132;15
50;226;6;1213;7
50;173;3;13;113
50;192;7;23192;1
50;200;7;10123;1
50;33;6;1000;1
50;107;7;22777;3
50;42;6;4000;51
50;29;7;33789;1
50;29;5;131;194
50;41;6;6565;1
50;41;6;5555;1
50;27;5;555;11
50;38;6;4422;1
50;27;6;95;5
50;27;7;45000;1
50;37;6;22;1
50;33;7;33193;3
50;43;5;96;12
50;32;7;10000;3
50;199;6;2200;1
50;27;7;50777;1
50;204;3;13;170
50;37;7;13234;1
50;27;3;96;4
50;36;6;1233;4
50;199;7;15151;11
50;33;6;1212;1
50;36;6;3310;1
50;38;6;1323;2
50;123;6;1033;1
50;42;7;10000;3
50;32;6;5511;4
50;34;7;44111;2
50;34;6;1292;4
50;199;3;44;18
50;107;7;55234;2
50;158;6;1233;3
50;226;6;7040;1
50;37;6;13;3
50;37;6;15;1
50;206;6;1213;2
