zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
26;16;1015;CENTRO SOCIAL URBANO;AV LACORDAIRE FERREIRA LINS S/N;MISSIONÁRIAS;63250000;306;18
26;17;1040;ESCOLA DONA ANTONIA LINDALVA DE MORAIS;RUA PALMERINDO MENDONCA S/N;MISSIONÁRIAS;63250000;260;23
26;20;1023;CEJA PADRE JOAQUIM ALVES;RUA PE MISAEL GOMES 400;MISSIONÁRIAS;63250000;233;
26;21;1023;CEJA PADRE JOAQUIM ALVES;RUA PE MISAEL GOMES 400;MISSIONÁRIAS;63250000;235;
26;22;1260;PATRONATO E ESCOLA NORMAL D. ZEFINHA GOMES;AV SANTANA 270;MISSIONÁRIAS;63250000;211;
26;24;1040;ESCOLA DONA ANTONIA LINDALVA DE MORAIS;RUA PALMERINDO MENDONCA S/N;MISSIONÁRIAS;63250000;259;25
26;26;1040;ESCOLA DONA ANTONIA LINDALVA DE MORAIS;RUA PALMERINDO MENDONCA S/N;MISSIONÁRIAS;63250000;262;66
26;28;1074;ESCOLA MARIA LUCIA BELEM LEITE;RUA PEDRO FURTADO DE LACERDA 1149;FREI DAMIÃO;63250000;220;
26;29;1074;ESCOLA MARIA LUCIA BELEM LEITE;RUA PEDRO FURTADO DE LACERDA 1149;FREI DAMIÃO;63250000;218;
26;30;1074;ESCOLA MARIA LUCIA BELEM LEITE;RUA PEDRO FURTADO DE LACERDA 1149;FREI DAMIÃO;63250000;223;
26;31;1074;ESCOLA MARIA LUCIA BELEM LEITE;RUA PEDRO FURTADO DE LACERDA 1149;FREI DAMIÃO;63250000;215;
26;32;1597;ESCOLA IRMÃ ANA ZÉLIA DA FONSECA;RUA RAIMUNDO TAVARES DA CRUZ;EUCALIPTOS;63250000;293;
26;33;1597;ESCOLA IRMÃ ANA ZÉLIA DA FONSECA;RUA RAIMUNDO TAVARES DA CRUZ;EUCALIPTOS;63250000;297;
26;34;1090;ESCOLA JOAQUIM ALVES PEREIRA;SITIO OLHO DAGUA CERCADO;SITIO OLHO D'AGUA CERCADO;63250000;248;
26;35;1104;EEF ANTÔNIO CRISÓSTOMO PEREIRA;SITIO CAFE DA LINHA;VILA CAFE DA LINHA;63250000;339;
26;36;1112;ESCOLA DONA MARIQUINHA BELO;AV MANOEL FURTADO DOS SANTOS S/N;ROSARIO - PODIMIRIM;63250000;296;
26;37;1112;ESCOLA DONA MARIQUINHA BELO;AV MANOEL FURTADO DOS SANTOS S/N;ROSARIO - PODIMIRIM;63250000;295;
26;38;1112;ESCOLA DONA MARIQUINHA BELO;AV MANOEL FURTADO DOS SANTOS S/N;ROSARIO - PODIMIRIM;63250000;294;
