zona;secao;cargo;numero;votos
8;137;6;1213;7
8;219;6;1213;19
8;206;6;2222;10
8;146;7;70567;2
8;127;6;6565;5
8;183;7;13456;81
8;130;7;12123;2
8;143;6;1311;2
8;132;7;50500;1
8;128;5;96;12
8;141;6;1333;65
8;128;7;13131;1
8;146;6;4444;1
8;213;6;1323;1
8;183;3;13;175
8;131;6;1213;16
8;137;7;55444;13
8;259;3;95;5
8;262;6;1233;14
8;156;7;13013;8
8;174;7;12456;1
8;151;7;11111;1
8;255;6;2211;4
8;308;7;55444;46
8;148;6;1322;22
8;285;6;1313;10
8;138;7;12000;50
8;133;7;23192;1
8;149;3;44;41
8;153;6;96;8
8;136;7;15222;1
8;135;6;1213;1
8;308;7;13133;3
8;144;6;1333;78
8;150;6;1333;71
8;155;6;5511;4
8;255;7;12144;4
8;255;7;55123;3
8;213;7;13131;4
8;133;6;1311;1
8;183;7;70567;3
8;136;7;45;1
8;133;6;2255;1
8;144;3;13;194
8;146;5;555;2
8;128;7;12144;2
8;174;6;2210;2
8;156;7;22222;1
8;156;7;44190;2
8;154;3;96;2
8;252;6;2222;2
8;312;7;23192;1
8;223;5;96;16
8;148;7;10122;1
8;299;3;95;24
8;150;3;96;11
8;138;7;55234;1
8;309;5;700;52
8;198;7;45300;1
8;151;6;1299;1
8;285;6;1233;15
8;218;6;4490;1
8;309;7;22111;6
8;219;7;96;16
8;223;7;12144;3
8;141;6;1222;1
8;225;7;11444;1
8;134;7;13555;1
8;130;7;70007;1
8;250;6;96;1
8;148;6;1234;1
8;309;6;2233;2
8;134;7;22222;1
8;134;7;44190;2
8;285;3;13;114
8;139;5;555;1
8;135;6;5001;3
8;225;7;22777;19
8;223;3;95;15
8;208;7;12100;5
8;213;7;22111;2
8;145;7;10123;11
8;262;6;2200;1
8;225;6;4444;1
8;259;7;55123;1
8;131;6;5511;1
8;148;6;1213;13
8;143;7;96;4
8;145;3;96;7
8;127;6;2227;1
8;208;7;44447;1
8;136;6;5544;2
8;213;7;44111;1
8;213;7;22777;4
8;142;7;13132;4
8;129;7;50500;1
8;148;6;2277;16
8;151;7;13132;2
8;299;5;131;187
8;132;7;33789;1
8;133;6;1201;1
8;147;7;12222;71
8;146;7;13133;1
8;127;6;2299;15
8;143;7;95;12
8;255;6;2244;1
8;143;7;12222;107
8;174;6;1214;3
8;149;6;2222;4
8;213;3;44;50
8;141;7;13100;1
8;145;7;22777;6
8;198;7;65013;5
8;262;7;50500;1
8;308;7;12333;3
8;143;7;12011;1
8;308;7;23192;1
8;270;3;12;12
8;270;6;1314;1
8;183;6;96;3
8;145;7;55234;3
8;152;6;2277;17
8;299;6;6565;2
8;160;6;96;9
8;252;5;95;10
8;136;6;2277;17
8;262;6;1333;67
8;273;7;15120;1
8;141;6;96;9
8;132;7;10123;1
8;299;6;5544;1
8;133;6;1222;1
8;133;6;1234;8
8;153;6;4444;1
8;232;6;4050;1
8;136;6;2210;2
8;139;6;1322;40
8;151;3;96;5
8;174;6;2222;2
8;135;7;22;2
8;135;7;44;1
8;135;7;55;1
8;135;7;70;2
8;135;7;11;1
8;135;7;12;3
8;135;7;13;11
8;135;6;11;2
8;135;6;13;7
8;135;6;44;1
8;218;7;12;3
8;218;7;13;5
8;218;7;70;1
8;218;6;13;2
8;145;7;12;2
8;145;7;13;2
8;145;7;70;1
8;132;6;11;1
8;132;6;12;1
8;132;6;13;6
8;132;6;33;1
8;132;7;11;1
8;132;7;12;3
8;132;7;13;11
8;132;7;14;1
8;152;7;12333;3
8;218;7;95;19
8;208;6;4490;1
8;208;6;5588;1
8;285;6;1213;2
8;160;7;13133;1
8;155;6;1233;20
8;156;6;2299;45
8;144;5;131;225
8;147;7;12555;1
8;259;7;12222;120
8;140;7;13456;52
8;145;6;1234;4
8;150;5;96;17
8;213;6;4456;1
8;149;6;96;8
8;225;5;131;196
8;153;7;13456;27
8;213;6;2277;16
8;213;7;12456;5
8;160;7;13456;9
8;218;6;4044;1
8;135;6;5555;3
8;270;6;95;20
8;156;6;1313;29
8;309;7;12100;1
8;139;7;33222;2
8;155;5;700;34
8;139;6;2211;1
8;132;3;96;8
8;155;7;12123;2
8;270;5;131;201
8;127;7;12333;1
8;152;3;44;48
8;142;6;1313;30
8;136;7;12222;44
8;309;6;5555;1
8;138;3;44;51
8;219;7;13123;1
8;183;7;96;2
8;151;7;13013;4
8;129;6;1333;79
8;133;6;1313;24
8;132;6;3640;1
8;132;7;12999;1
8;148;7;23190;1
8;132;5;95;10
8;219;6;1123;1
8;213;5;95;11
8;299;7;12000;18
8;149;6;4455;6
8;155;7;14444;1
8;262;6;2288;1
8;143;7;10123;5
8;136;6;1333;39
8;133;6;5005;1
8;174;6;1213;8
8;299;6;1123;1
8;132;6;1233;15
8;225;7;12222;50
8;143;7;22022;6
8;132;6;5001;1
8;147;7;12123;3
8;149;6;2277;1
8;130;3;12;16
8;152;6;4440;1
8;259;7;12456;4
8;139;6;2210;3
8;225;6;1313;16
8;213;6;4440;2
8;299;3;44;69
8;128;7;12456;4
8;143;7;13456;78
8;139;7;12222;112
8;273;6;1214;7
8;308;5;131;178
8;152;7;22777;7
8;250;3;12;5
8;150;3;13;205
8;198;6;1221;1
