zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
13;423;1090;ESCOLA DE ENS FUND SAO JOAO BATISTA;RUA SENADOR JOAO TOME N 70;CENTRO;63400000;342;445
13;428;1082;COLEGIO ESTADUAL CELSO ARAUJO;RUA ZE PAJE, 241;CENTRO;63400000;282;431,442,435,432
13;429;1082;COLEGIO ESTADUAL CELSO ARAUJO;RUA ZE PAJE, 241;CENTRO;63400000;292;436,439,438,437
13;430;1082;COLEGIO ESTADUAL CELSO ARAUJO;RUA ZE PAJE, 241;CENTRO;63400000;292;433,441,440,434
13;444;1090;ESCOLA DE ENS FUND SAO JOAO BATISTA;RUA SENADOR JOAO TOME N 70;CENTRO;63400000;256;443
13;446;1090;ESCOLA DE ENS FUND SAO JOAO BATISTA;RUA SENADOR JOAO TOME N 70;CENTRO;63400000;249;447
13;448;1384;ESCOLA DE ENS FUND ANTONIETA JUCA MARQUES;RUA 7 DE SETEMBRO S/N;DIVISÃO;63400000;273;
13;456;1880;CENTRO DE EDUCAÇÃO INFANTIL ROSALINA OTAVIANO DIAS;RUA VEREADOR FRANCISCO CHAGAS DE AQUINO, 15;AÇUDE NOVO;63400000;324;
13;457;1163;ESCOLA DE ENS FUND ANTONIO ALVES DOS SANTOS;DISTRITO DE LAGEDO;LAGEDO;63400000;196;460
13;458;1163;ESCOLA DE ENS FUND ANTONIO ALVES DOS SANTOS;DISTRITO DE LAGEDO;LAGEDO;63400000;288;459,461
13;465;1082;COLEGIO ESTADUAL CELSO ARAUJO;RUA ZE PAJE, 241;CENTRO;63400000;324;419,466,422,421,420
13;470;1198;ESCOLA DE ENS FUND FLORIPES DO CARMO MOURA;ST UMARI TORTO;ASSUNÇÃO;63400000;160;
13;471;1201;ESCOLA DE ENS FUND E MEDIO FRANCISCO HENRIQUE DA COSTA;DISTRITO DE CANDEIAS;CANDEIAS;63400000;337;472
13;473;1201;ESCOLA DE ENS FUND E MEDIO FRANCISCO HENRIQUE DA COSTA;DISTRITO DE CANDEIAS;CANDEIAS;63400000;168;
13;474;1210;ESCOLA DE ENS FUND JOAO BATISTA MORENO;RUA JOAO BATISTA MORENO SN;VÁRZEA DA CONCEIÇÃO;63400000;335;476,481
