zona;secao;cargo;numero;votos
9;90;6;2000;1
9;52;3;95;8
9;124;5;95;11
9;273;6;2299;2
9;251;6;1213;18
9;168;6;4456;1
9;168;6;1010;1
9;158;6;96;3
9;297;7;10124;1
9;244;6;4044;1
9;257;6;2255;7
9;109;5;700;41
9;305;7;12144;3
9;184;6;33;1
9;267;6;2222;11
9;74;6;4477;1
9;76;7;13133;1
9;285;5;96;15
9;117;6;4447;9
9;303;3;13;99
9;115;3;13;148
9;303;7;13222;4
9;115;7;13222;12
9;115;7;44999;2
9;132;6;1522;35
9;45;6;1251;1
9;238;7;22190;2
9;238;5;131;195
9;70;6;4410;3
9;128;6;4433;1
9;73;6;4445;2
9;288;6;1000;1
9;43;7;12123;4
9;122;6;5522;1
9;122;6;95;16
9;117;7;96;12
9;46;6;5013;1
9;247;7;12345;2
9;238;6;1322;7
9;46;6;4099;4
9;46;7;12345;1
9;206;6;1010;1
9;206;6;4456;7
9;240;6;1313;3
9;225;6;1251;2
9;122;7;70100;1
9;150;6;95;16
9;252;6;1233;1
9;125;7;12000;4
9;133;7;12100;4
9;152;7;45300;1
9;201;7;22;1
9;201;7;55;1
9;201;6;11;1
9;201;6;12;2
9;201;6;13;1
9;201;6;15;1
9;201;6;22;1
9;201;6;40;1
9;168;6;12;4
9;168;6;13;4
9;168;6;22;1
9;168;6;50;2
9;168;7;12;2
9;168;7;13;5
9;168;7;50;2
9;295;7;55678;1
9;118;5;95;11
9;87;7;44557;1
9;98;7;13100;1
9;225;7;12123;2
9;105;6;4000;1
9;206;7;12888;1
9;206;7;13333;4
9;57;6;1213;12
9;259;7;22222;3
9;259;7;44190;2
9;187;6;2299;8
9;158;6;95;3
9;117;6;2288;1
9;73;6;95;18
9;282;5;96;26
9;80;6;4321;2
9;128;7;70222;1
9;128;7;11444;3
9;225;7;13100;2
9;210;6;3000;1
9;127;7;22022;11
9;298;7;95;14
9;43;6;5511;7
9;43;5;160;1
9;306;6;7040;1
9;61;5;700;70
9;285;7;12100;2
9;75;7;65013;2
9;118;7;65013;6
9;52;5;96;13
9;45;7;15123;1
9;70;7;55888;1
9;296;7;12200;1
9;204;6;2299;5
9;74;6;4444;2
9;257;6;4456;7
9;82;3;96;9
9;99;7;95;3
9;99;6;1111;5
9;49;7;13222;7
9;207;7;13333;5
9;56;7;13333;2
9;118;7;13;9
9;118;7;15;2
9;118;7;23;2
9;118;7;45;1
9;118;7;70;1
9;118;6;12;4
9;118;6;13;1
9;118;6;15;2
9;118;6;22;2
9;118;6;33;1
9;118;6;43;1
9;118;6;55;1
9;251;6;1522;54
9;93;7;11444;3
9;51;7;10123;1
9;296;7;13013;1
9;104;5;95;5
9;254;7;15555;5
9;158;6;4444;57
9;255;6;4433;1
9;257;6;96;5
9;242;6;4433;1
9;58;7;44123;1
9;296;6;5013;1
9;298;7;11444;8
9;168;6;2277;9
9;114;6;5001;1
9;269;7;11444;3
9;76;7;44123;2
9;91;7;15000;1
9;220;6;2211;4
9;178;6;2211;2
9;295;6;4440;1
9;105;7;22190;2
9;105;5;131;157
9;226;5;96;14
9;276;6;1122;2
9;206;7;22222;7
9;206;7;44190;8
9;57;6;1888;1
9;133;6;1213;3
9;298;7;45333;3
9;278;6;1292;2
9;202;6;1292;1
9;51;3;12;23
9;85;7;70300;1
9;275;7;12000;5
9;279;7;13123;2
9;267;6;4433;1
9;259;6;2222;17
9;287;7;70222;2
9;146;6;2244;3
9;86;7;33456;1
9;223;7;12555;3
9;203;7;70222;1
9;251;7;22722;1
9;132;6;2299;20
9;193;3;95;13
9;187;7;22120;1
9;305;6;2244;2
9;227;6;5567;1
9;283;6;1213;2
9;283;7;44556;2
9;45;7;22622;1
9;89;6;4410;1
9;306;3;96;8
9;101;6;5533;8
9;113;7;50444;1
9;296;7;12011;1
9;83;7;15333;1
9;275;6;5122;1
9;124;6;3333;1
9;201;5;131;131
9;201;7;22190;1
9;51;6;2255;25
9;219;6;4044;5
9;298;6;1213;8
9;73;6;1522;49
9;83;7;15888;1
9;83;7;13456;11
9;52;7;45333;2
9;243;6;4411;4
9;243;6;1234;10
9;65;6;5055;2
9;58;7;12000;7
9;95;6;5599;1
9;247;7;22123;1
9;50;5;555;1
9;289;5;96;19
9;98;6;1111;1
9;47;7;12100;13
9;110;7;12100;23
9;152;6;95;7
9;60;6;1292;2
9;303;6;1292;3
9;103;3;12;24
9;290;6;1234;38
9;290;6;1567;1
9;202;6;1221;1
9;254;7;11111;37
9;167;7;12457;1
9;264;7;13456;25
9;76;7;13234;2
9;303;7;11111;7
9;115;7;11111;7
9;113;6;2200;2
9;98;7;11000;1
9;108;7;13222;7
9;69;6;4444;2
9;259;6;4410;1
9;130;7;15678;1
9;45;7;15151;4
9;150;7;10000;1
9;240;7;43640;2
9;55;3;12;23
9;146;6;2277;1
9;247;7;13013;2
9;247;7;45333;1
9;227;6;1213;4
9;100;7;45333;59
9;100;7;45555;1
9;219;6;1322;15
9;174;6;1500;2
9;174;3;95;4
9;250;6;13;1
9;250;7;12;3
9;250;7;13;5
9;294;6;11;1
9;294;6;12;2
9;294;6;22;1
9;294;6;23;1
9;294;6;43;1
9;226;7;15333;2
9;108;6;4447;1
9;175;7;22222;6
9;286;6;1522;9
9;49;7;12123;3
9;193;6;5511;3
9;115;7;45;2
9;115;7;55;1
9;115;7;70;1
9;110;5;555;1
9;294;6;4488;1
9;47;5;555;5
9;304;5;96;15
9;75;7;22556;1
9;43;6;4447;4
9;279;6;2211;3
9;61;7;22022;12
9;131;7;22777;20
9;63;7;22777;15
9;86;7;23333;10
9;49;7;55333;1
9;120;7;13013;1
9;120;7;45333;3
9;200;7;50500;2
9;281;6;1123;2
9;287;7;22522;1
9;247;7;96;11
9;114;7;12000;7
9;70;6;2299;4
9;76;6;4422;1
9;305;7;70321;3
9;130;6;5533;1
9;67;7;95;18
9;190;7;11;1
9;190;7;12;3
9;190;7;13;3
9;190;7;14;1
9;190;7;15;1
9;190;7;22;1
9;190;7;43;1
9;190;7;44;1
9;113;6;2222;9
9;184;6;4044;2
9;184;7;12600;1
9;80;3;95;8
9;243;6;4444;2
9;248;7;55888;1
9;248;7;43222;1
9;289;6;4433;1
9;255;6;1111;8
9;255;7;95;16
9;177;6;95;2
9;80;6;1313;2
9;298;6;4044;5
9;298;7;12600;3
9;296;7;70100;1
9;238;3;95;11
9;264;6;2299;6
9;71;6;4040;1
9;153;6;4099;7
9;72;6;4447;3
9;184;6;2222;15
9;91;6;4433;4
9;57;6;1522;51
9;223;7;96;11
9;247;6;5005;3
9;120;6;1221;5
9;120;6;4412;1
9;128;6;96;8
9;113;6;2244;4
9;134;7;45555;1
9;298;6;1214;20
9;225;3;44;99
9;101;6;1888;1
9;274;7;50500;4
9;186;6;2255;26
9;287;7;44020;1
9;187;7;50500;2
9;245;6;95;15
9;263;5;96;17
9;254;6;1213;1
9;184;6;2210;5
9;168;7;22190;1
9;168;5;131;146
9;286;3;44;38
9;275;7;45555;6
9;111;6;1213;1
