cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Deputado Estadual;10000;60001608819;LUIZ HENRIQUE CASTELO LIMA;APÓSTOLO LUIZ HENRIQUE;REPUBLICANOS;ELEITO POR MÉDIA;MASCULINO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;60001608819.jpg
Deputado Estadual;10030;60001608832;DÉBORA LÚCIA LIMA LEITE MENDES;PROFESSORA DÉBORA LEITE;REPUBLICANOS;SUPLENTE;FEMININO;PROFESSOR DE ENSINO SUPERIOR;60001608832.jpg
Deputado Estadual;10111;60001608829;FERNANDO JEFFERSON SALES PINHEIRO;PROFESSOR JEFFERSON PINHEIRO;REPUBLICANOS;SUPLENTE;MASCULINO;POLICIAL CIVIL;60001608829.jpg
Deputado Estadual;10122;60001608827;CARLOS BRUNILDO DE OLIVEIRA;APÓSTOLO CARLOS BRUNILDO;REPUBLICANOS;SUPLENTE;MASCULINO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;60001608827.jpg
Deputado Estadual;10123;60001608816;DAVID DE ALBUQUERQUE DURAND;DAVID DURAND;REPUBLICANOS;ELEITO POR QP;MASCULINO;DEPUTADO;60001608816.jpg
Deputado Estadual;10124;60001608820;MANOEL DUCA DA SILVEIRA NETO;DUQUINHA;REPUBLICANOS;SUPLENTE;MASCULINO;DEPUTADO;60001608820.jpg
Deputado Estadual;10190;60001608828;EUVALDO REIS DA COSTA;EVALDO COSTA;REPUBLICANOS;SUPLENTE;MASCULINO;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;60001608828.jpg
Deputado Estadual;10220;60001608839;JOSE ALEXANDRE FIRMINO DA SILVA MAFRA;ALEXANDRE MAFRA;REPUBLICANOS;SUPLENTE;MASCULINO;ADMINISTRADOR;60001608839.jpg
Deputado Estadual;10456;60001608824;FRANCISCA EDDLA CÂMARA LIMA;EDDLA CÂMARA;REPUBLICANOS;SUPLENTE;FEMININO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;60001608824.jpg
Deputado Estadual;10680;60001608822;ANTONIA VIVIANE NASCIMENTO GOMES;VIVIANE GOMES;REPUBLICANOS;SUPLENTE;FEMININO;OUTROS;60001608822.jpeg
Deputado Estadual;10789;60001608823;ANTÔNIO EDITÔNIO ARAÚJO;EDITÔNIO ARAÚJO;REPUBLICANOS;SUPLENTE;MASCULINO;OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL;60001608823.jpg
Deputado Estadual;11000;60001619178;JOÃO JAIME GOMES MARINHO DE ANDRADE;JOÃO JAIME;PP;ELEITO POR QP;MASCULINO;EMPRESÁRIO;60001619178.jpg
Deputado Estadual;11111;60001619179;JOSE JACOME CARNEIRO ALBUQUERQUE;ZEZINHO ALBUQUERQUE;PP;ELEITO POR QP;MASCULINO;DEPUTADO;60001619179.jpg
