zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
33;1;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;212;
33;2;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;210;
33;3;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;201;
33;4;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;204;
33;5;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;209;
33;6;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;211;
33;7;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;207;
33;8;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;211;
33;9;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;212;
33;10;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;204;
33;11;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;211;
33;14;1678;EMEF PADRE MANOEL CORDEIRO DA CRUZ;DISTRITO DE IGUACU;ZONA RURAL;62700000;270;
33;15;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;208;
33;16;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;208;
33;17;1058;CERU JOAO AMARO DE SOUSA;DISTRITO DE SALITRE;ZONA RURAL;62700000;261;
33;18;1058;CERU JOAO AMARO DE SOUSA;DISTRITO DE SALITRE;ZONA RURAL;62700000;265;
33;19;1058;CERU JOAO AMARO DE SOUSA;DISTRITO DE SALITRE;ZONA RURAL;62700000;264;
33;20;1066;CENTRO SOCIAL URBANO;RUA SITONIO MONTEIRO 999;SANTA CLARA;62700000;311;
33;21;1066;CENTRO SOCIAL URBANO;RUA SITONIO MONTEIRO 999;SANTA CLARA;62700000;313;
33;22;1066;CENTRO SOCIAL URBANO;RUA SITONIO MONTEIRO 999;SANTA CLARA;62700000;315;
33;23;2852;EMEF SENADOR CARLOS JEREISSATI;RUA EUCLIDES BARROSO, 1048;SANTA LUZIA;62700000;340;
33;24;2852;EMEF SENADOR CARLOS JEREISSATI;RUA EUCLIDES BARROSO, 1048;SANTA LUZIA;62700000;343;
33;25;2852;EMEF SENADOR CARLOS JEREISSATI;RUA EUCLIDES BARROSO, 1048;SANTA LUZIA;62700000;339;
33;30;1139;COLEGIO ESTADUAL PAULO SARASATE;RUA JOAQUIM MAGALHAES 100;CENTRO;62700000;208;
33;31;3000;COLÉGIO SANTA CLARA (PARTICULAR);RUA DR. GERONCIO BRIGIDO, 297;IMACULADA CONCEIÇÃO;62700000;300;43
33;32;1090;CENTRO DE EDUCAÇÃO INFANTIL ZILDA HOLANDA;CAMPINAS;CAMPINAS;62700000;291;
33;33;1090;CENTRO DE EDUCAÇÃO INFANTIL ZILDA HOLANDA;CAMPINAS;CAMPINAS;62700000;291;
33;34;2771;EMEF PREFEITO JOSE IVAN MAGALHAES;CONJUNTO HABITACIONAL MILTON MONTEIRO;BELA VISTA;62700000;337;
33;36;1112;EMEF JOAQUIM MAGALHAES;RUA CLÓVIS PINTO 2245;SAO MATEUS;62700000;308;
33;37;1112;EMEF JOAQUIM MAGALHAES;RUA CLÓVIS PINTO 2245;SAO MATEUS;62700000;306;
33;38;3034;EMEF VALDEMAR GOMES DOS SANTOS;TRAV. I, S/N;JOÃO PAULO II;62700000;323;
33;39;3034;EMEF VALDEMAR GOMES DOS SANTOS;TRAV. I, S/N;JOÃO PAULO II;62700000;321;
33;40;1244;EEEP CAPELAO FREI ORLANDO;RUA PAULINO BARROSO, 1289;IMACULADA CONCEIÇÃO;62700000;289;
33;41;1244;EEEP CAPELAO FREI ORLANDO;RUA PAULINO BARROSO, 1289;IMACULADA CONCEIÇÃO;62700000;289;
33;42;3000;COLÉGIO SANTA CLARA (PARTICULAR);RUA DR. GERONCIO BRIGIDO, 297;IMACULADA CONCEIÇÃO;62700000;151;
33;44;3026;CEJA - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS;RUA SITÔNIO MONTEIRO, 242;CENTRO;62700000;271;
33;47;1147;EMEF CORONEL ADAUTO BEZERRA;RUA IRMÃ MANUELA MAGALHÃES, S/N;ALTO GUARAMIRANGA;62700000;336;
33;48;1147;EMEF CORONEL ADAUTO BEZERRA;RUA IRMÃ MANUELA MAGALHÃES, S/N;ALTO GUARAMIRANGA;62700000;336;
33;49;1147;EMEF CORONEL ADAUTO BEZERRA;RUA IRMÃ MANUELA MAGALHÃES, S/N;ALTO GUARAMIRANGA;62700000;331;
33;50;1147;EMEF CORONEL ADAUTO BEZERRA;RUA IRMÃ MANUELA MAGALHÃES, S/N;ALTO GUARAMIRANGA;62700000;336;
33;51;1147;EMEF CORONEL ADAUTO BEZERRA;RUA IRMÃ MANUELA MAGALHÃES, S/N;ALTO GUARAMIRANGA;62700000;332;
33;52;1147;EMEF CORONEL ADAUTO BEZERRA;RUA IRMÃ MANUELA MAGALHÃES, S/N;ALTO GUARAMIRANGA;62700000;331;
33;53;2909;EMEF DR ELPIDIO;DISTRITO DE BONITO;ZONA RURAL;62700000;245;
33;54;2909;EMEF DR ELPIDIO;DISTRITO DE BONITO;ZONA RURAL;62700000;207;
33;55;2909;EMEF DR ELPIDIO;DISTRITO DE BONITO;ZONA RURAL;62700000;204;
33;57;1163;EMEF DR CORDOLINO BARBOSA CORDEIRO;RUA ROMEU MESQUITA, S/N  ESPERANÇA;ZONA RURAL;62700000;374;56
33;58;1171;EMEF FREI LUCIANO;RUA IZEQUIEL GOMES, S/N  IPUEIRA DOS GOMES;ZONA RURAL;62700000;330;94
33;59;2720;EMEF MANOEL JANUARIO DE LIMA;RUA IRMÃ SIMPLICIA, S/N IPU MONTE ALEGRE;ZONA RURAL;62700000;223;
33;60;2720;EMEF MANOEL JANUARIO DE LIMA;RUA IRMÃ SIMPLICIA, S/N IPU MONTE ALEGRE;ZONA RURAL;62700000;221;
33;61;2720;EMEF MANOEL JANUARIO DE LIMA;RUA IRMÃ SIMPLICIA, S/N IPU MONTE ALEGRE;ZONA RURAL;62700000;219;
33;63;1198;CRECHE MARIA AMARO CAMELO;DISTRITO DE SALITRE;ZONA RURAL;62700000;167;
33;64;1201;EMEF MIGUEL ANTONIO OLIVEIRA;DISTRITO DE TARGINOS;ZONA RURAL;62700000;258;
33;65;1201;EMEF MIGUEL ANTONIO OLIVEIRA;DISTRITO DE TARGINOS;ZONA RURAL;62700000;258;
33;68;1210;EMEF JOSE BERNARDO UCHOA;VAZANTE DO CURU;ZONA RURAL;62700000;338;66
33;69;1210;EMEF JOSE BERNARDO UCHOA;VAZANTE DO CURU;ZONA RURAL;62700000;321;321
33;70;2500;CAIC ALFREDO COELHO MAGALHÃES;RUA ANTONIO MONTEIRO DOS SANTOS SN;PALESTINA;62700000;344;
33;71;2500;CAIC ALFREDO COELHO MAGALHÃES;RUA ANTONIO MONTEIRO DOS SANTOS SN;PALESTINA;62700000;340;
33;72;2500;CAIC ALFREDO COELHO MAGALHÃES;RUA ANTONIO MONTEIRO DOS SANTOS SN;PALESTINA;62700000;341;
33;73;3026;CEJA - CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS;RUA SITÔNIO MONTEIRO, 242;CENTRO;62700000;271;
33;74;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;279;
33;75;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;276;
33;76;1244;EEEP CAPELAO FREI ORLANDO;RUA PAULINO BARROSO, 1289;IMACULADA CONCEIÇÃO;62700000;286;
33;77;1252;EEFM FREI POLICARPO;RUA JOAO BASTOS 2027;ALTO GUARAMIRANGA;62700000;340;
33;78;1252;EEFM FREI POLICARPO;RUA JOAO BASTOS 2027;ALTO GUARAMIRANGA;62700000;345;
33;79;1252;EEFM FREI POLICARPO;RUA JOAO BASTOS 2027;ALTO GUARAMIRANGA;62700000;343;
33;80;1252;EEFM FREI POLICARPO;RUA JOAO BASTOS 2027;ALTO GUARAMIRANGA;62700000;345;
33;81;1252;EEFM FREI POLICARPO;RUA JOAO BASTOS 2027;ALTO GUARAMIRANGA;62700000;343;
33;82;1678;EMEF PADRE MANOEL CORDEIRO DA CRUZ;DISTRITO DE IGUACU;ZONA RURAL;62700000;265;
33;83;1163;EMEF DR CORDOLINO BARBOSA CORDEIRO;RUA ROMEU MESQUITA, S/N  ESPERANÇA;ZONA RURAL;62700000;192;
33;84;2720;EMEF MANOEL JANUARIO DE LIMA;RUA IRMÃ SIMPLICIA, S/N IPU MONTE ALEGRE;ZONA RURAL;62700000;222;
33;85;1210;EMEF JOSE BERNARDO UCHOA;VAZANTE DO CURU;ZONA RURAL;62700000;175;
33;86;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;242;
33;87;1074;EMEF SÃO FRANCISCO;AV FRANCISCO CORDEIRO CAMPOS, 500;MONTE;62700000;240;
33;88;1317;CREDE 7 - CENTRO REGIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO;RUA TABELIÃO FACUNDO, 236 (PRAÇA DO LEÃO);CENTRO;62700000;409;89
