cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;13;60002056918;LUIZ FLAVIO MENDES DE CARVALHO;LUIZINHO;PT;NÃO ELEITO;MASCULINO;ADVOGADO;60002056918.jpg
Prefeito;40;60002187120;MARCIA LIMA DE OLIVEIRA FREIRE;MARCIA ZOMIN;PSB;ELEITO;FEMININO;ADVOGADO;60002187120.jpg
Vereador;10000;60002329905;AGOSTINHO ALENCAR GOMES;AGOSTINHO ALENCAR;REPUBLICANOS;SUPLENTE;MASCULINO;CONTADOR;60002329905.jpg
Vereador;10013;60002329903;FRANCISCA MARIA BEZERRA ALVES DE LIMA;FRANCISCA MARIA;REPUBLICANOS;SUPLENTE;FEMININO;OUTROS;60002329903.jpg
Vereador;10123;60002329909;FRANCISCA DIANA DE PAULO RODRIGUES;DIANA PARUARA;REPUBLICANOS;SUPLENTE;FEMININO;OUTROS;60002329909.jpg
Vereador;10222;60002329910;EDIVAN LEITE BARRETO;EDIVAN BRAGA;REPUBLICANOS;SUPLENTE;MASCULINO;OUTROS;60002329910.jpg
Vereador;10456;60002329911;MANOEL AFONSO RODRIGUES CAVALCANTE;AFONSO;REPUBLICANOS;SUPLENTE;MASCULINO;OUTROS;60002329911.jpg
Vereador;10606;60002390768;SAVANA JACOB LIMA;SAVANA DO IBERVAN;REPUBLICANOS;ELEITO POR MÉDIA;FEMININO;ASSISTENTE SOCIAL;60002390768.jpg
Vereador;10700;60002329904;ELIELTON DA SILVA SOUZA;ELIELTON PANCADÃO;REPUBLICANOS;SUPLENTE;MASCULINO;OUTROS;60002329904.jpg
Vereador;10999;60002329907;FRANCISCA ALINE DE SOUZA;ALINE SOUZA;REPUBLICANOS;SUPLENTE;FEMININO;AGENTE ADMINISTRATIVO;60002329907.jpg
Vereador;12000;60002285249;THIARA EMMY NUNES FERREIRA;THIARA EMMY;PDT;SUPLENTE;FEMININO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;60002285249.jpg
