zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
36;36;1570;ESCOLA DE ENSINO FUNDAMENTAL GOVERNADOR TASSO JEREISSATI;RUA CORONEL NECO MARTINS S/N - SEDE;CONJUNTO;62670000;317;
36;37;1600;ESCOLA DE ENSINO FUNDAMENTAL PORFIRIO DE ARAUJO;RUA VALDO UCHOA - CROATA;CROATA-DISTRITO;62670000;328;
36;38;1163;ESCOLA DE ENSINO FUNDAMENTAL DONA FILOMENA MARTINS;SIUPE;SIUPE-DISTRITO;62675000;325;
36;39;1368;ESCOLA DE ENSINO FUNDAMENTAL EUCLIDES PEREIRA GOMES;PECEM;PECEM-DISTRITO;62674000;344;
36;40;1058;CENTRO EDUCACIONAL PROFESSOR DOMINGOS BRASILEIRO;RUA PROF EDITE MOTA 319 - SEDE;CENTRO;62670000;311;
36;41;1058;CENTRO EDUCACIONAL PROFESSOR DOMINGOS BRASILEIRO;RUA PROF EDITE MOTA 319 - SEDE;CENTRO;62670000;307;
36;42;1058;CENTRO EDUCACIONAL PROFESSOR DOMINGOS BRASILEIRO;RUA PROF EDITE MOTA 319 - SEDE;CENTRO;62670000;310;
36;44;1058;CENTRO EDUCACIONAL PROFESSOR DOMINGOS BRASILEIRO;RUA PROF EDITE MOTA 319 - SEDE;CENTRO;62670000;312;
36;45;1058;CENTRO EDUCACIONAL PROFESSOR DOMINGOS BRASILEIRO;RUA PROF EDITE MOTA 319 - SEDE;CENTRO;62670000;309;
36;47;1236;ESCOLA DE ENSINO FUNDAMENTAL ESTER DE PONTES BARROSO;SERROTE;SERROTE-DISTRITO;62678000;217;
36;48;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;224;
36;49;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;229;
36;50;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;224;
36;51;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;228;
36;52;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;225;
36;53;1570;ESCOLA DE ENSINO FUNDAMENTAL GOVERNADOR TASSO JEREISSATI;RUA CORONEL NECO MARTINS S/N - SEDE;CONJUNTO;62670000;211;
36;54;1155;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO EDITE ALCANTARA MOTA;PECEM;PECEM-DISTRITO;62674000;339;
36;55;1155;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO EDITE ALCANTARA MOTA;PECEM;PECEM-DISTRITO;62674000;344;
36;56;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;228;
36;57;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;231;
36;58;1104;ESCOLA DE ENSINO MÉDIO EM TEMPO INTEGRAL ADELINO CUNHA ALCANTARA;RUA CORONEL NECO MARTINS 220 - SEDE;CENTRO;62670000;229;
36;59;1350;ESCOLA DE ENSINO FUNDAMENTAL FIRMO GOMES SANTIAGO;RUSSINHA;RUSSINHA;62670000;227;
36;61;1600;ESCOLA DE ENSINO FUNDAMENTAL PORFIRIO DE ARAUJO;RUA VALDO UCHOA - CROATA;CROATA-DISTRITO;62670000;330;
36;62;1600;ESCOLA DE ENSINO FUNDAMENTAL PORFIRIO DE ARAUJO;RUA VALDO UCHOA - CROATA;CROATA-DISTRITO;62670000;327;
36;63;1600;ESCOLA DE ENSINO FUNDAMENTAL PORFIRIO DE ARAUJO;RUA VALDO UCHOA - CROATA;CROATA-DISTRITO;62670000;328;
36;64;1600;ESCOLA DE ENSINO FUNDAMENTAL PORFIRIO DE ARAUJO;RUA VALDO UCHOA - CROATA;CROATA-DISTRITO;62670000;326;
36;65;1600;ESCOLA DE ENSINO FUNDAMENTAL PORFIRIO DE ARAUJO;RUA VALDO UCHOA - CROATA;CROATA-DISTRITO;62670000;326;
36;66;1139;ESCOLA DE ENSINO FUNDAMENTAL VEREADOR CESARIO DE OLIVEIRA FILHO;ESPINHO;ESPINHO-POVOADO;62670000;293;
36;67;1163;ESCOLA DE ENSINO FUNDAMENTAL DONA FILOMENA MARTINS;SIUPE;SIUPE-DISTRITO;62675000;329;
36;68;1163;ESCOLA DE ENSINO FUNDAMENTAL DONA FILOMENA MARTINS;SIUPE;SIUPE-DISTRITO;62675000;332;
36;69;1155;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO EDITE ALCANTARA MOTA;PECEM;PECEM-DISTRITO;62674000;337;
36;70;1155;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO EDITE ALCANTARA MOTA;PECEM;PECEM-DISTRITO;62674000;341;
36;71;1155;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO EDITE ALCANTARA MOTA;PECEM;PECEM-DISTRITO;62674000;341;
36;72;1163;ESCOLA DE ENSINO FUNDAMENTAL DONA FILOMENA MARTINS;SIUPE;SIUPE-DISTRITO;62675000;328;
36;73;1163;ESCOLA DE ENSINO FUNDAMENTAL DONA FILOMENA MARTINS;SIUPE;SIUPE-DISTRITO;62675000;326;
36;74;1171;ESCOLA DE ENSINO FUNDAMENTAL JOAO MOREIRA BARROSO;SALGADO DOS MOREIRAS;SALGADO DOS MOREIRAS;62670000;298;
36;75;1171;ESCOLA DE ENSINO FUNDAMENTAL JOAO MOREIRA BARROSO;SALGADO DOS MOREIRAS;SALGADO DOS MOREIRAS;62670000;301;
36;76;1180;ESCOLA DE ENSINO FUNDAMENTAL JOAQUIM PACHECO MENEZES;VARZEA REDONDA;VARZEA REDONDA;62670000;320;
36;77;1180;ESCOLA DE ENSINO FUNDAMENTAL JOAQUIM PACHECO MENEZES;VARZEA REDONDA;VARZEA REDONDA;62670000;321;
36;78;1180;ESCOLA DE ENSINO FUNDAMENTAL JOAQUIM PACHECO MENEZES;VARZEA REDONDA;VARZEA REDONDA;62670000;321;
36;79;1198;ESCOLA DE ENSINO FUNDAMENTAL JOAO PINTO MAGALHAES;CAGADO;CAGADO-POVOADO;62670000;321;
36;80;1198;ESCOLA DE ENSINO FUNDAMENTAL JOAO PINTO MAGALHAES;CAGADO;CAGADO-POVOADO;62670000;319;
36;81;1201;ESCOLA DE ENSINO FUNDAMENTAL MANOEL PEREIRA BRITO;BOLSO;BOLSO;62670000;211;
36;82;1201;ESCOLA DE ENSINO FUNDAMENTAL MANOEL PEREIRA BRITO;BOLSO;BOLSO;62670000;207;
36;83;1210;ESCOLA DE ENSINO FUNDAMENTAL PEDRO SPINOSA DE SOUSA;CURRAL GRANDE;CURRAL GRANDE-POVOADO;62670000;334;294
36;84;1228;ESCOLA DE EDUCAÇÃO BÁSICA PROFª ALBA HERCULANO ARAÚJO;RUA CAPITAO INACIO PRATA SN -TAÍBA;TAIBA-DISTRITO;62677000;345;
