cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;11;60002110265;MARIA IRALDICE DE ALCANTARA;IRALDICE MÃO CHEIROSA;PP;ELEITO;FEMININO;PREFEITO;60002110265.jpg
Prefeito;13;60002039811;GADYEL GONÇALVES DE AGUIAR PAULA;GADYEL GONÇALVES;PT;NÃO ELEITO;MASCULINO;EMPRESÁRIO;60002039811.jpg
Vereador;10000;60002110883;ADALBERTO FERREIRA DE CARVALHO;ADALBERTO CARVALHO;REPUBLICANOS;NÃO ELEITO;MASCULINO;AGRICULTOR;60002110883.jpg
Vereador;10678;60002110884;MARIA SOCORRO GOMES DE ABREU;SOCORRO GOMES;REPUBLICANOS;NÃO ELEITO;FEMININO;DONA DE CASA;60002110884.jpg
Vereador;11000;60002110637;JARDEL XIMENES DE SOUSA;JARDEL DO JACINTO;PP;ELEITO POR QP;MASCULINO;COMERCIANTE;60002110637.jpeg
Vereador;11111;60002110634;MARIA ISRAELA DE MESQUITA SOUSA AMARO;ISRAELA DO JOBER;PP;ELEITO POR QP;FEMININO;VEREADOR;60002110634.jpeg
Vereador;11222;60002110641;ANTONIO AGNALDO NERY DE AZEVEDO;PROFESSOR AGNALDO;PP;ELEITO POR MÉDIA;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002110641.jpg
Vereador;11333;60002110639;FRANCISCO DIMAS ALVES LIMA;DR DIMAS ALVES;PP;ELEITO POR QP;MASCULINO;ADVOGADO;60002110639.jpeg
Vereador;11444;60002110640;ANTONIA DE JESUS SILVA;TOINHA SILVA;PP;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002110640.jpg
Vereador;11456;60002110635;ROBSON DE SOUSA ABREU;BEBETO SOUSA;PP;SUPLENTE;MASCULINO;OCUPANTE DE CARGO EM COMISSÃO;60002110635.jpg
Vereador;11789;60002110642;BRUNO WESLEY LIRA LOPES;BRUNO LOPES;PP;SUPLENTE;MASCULINO;VEREADOR;60002110642.jpeg
Vereador;11888;60002110638;GESSILENE DE AZEVEDO ALCANTARA GONÇALVES;GESSILENE DO BOLO;PP;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002110638.jpeg
Vereador;11999;60002110636;FRANCISCO RODRIGUES LOPES;TOTONHO;PP;ELEITO POR QP;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002110636.jpeg
Vereador;13000;60001903105;DOUGLAS DE ARAÚJO LIMA;DOUGLAS LIMA;PT;ELEITO POR QP;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60001903105.jpg
Vereador;13123;60001903104;ADALBERTO DE BRITO LINHARES;ADALTIM;PT;ELEITO POR QP;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60001903104.jpg
Vereador;13333;60001903102;SLANA MARTA MARQUES DE LIMA;SLANA LIMA;PT;SUPLENTE;FEMININO;PSICÓLOGO;60001903102.jpg
Vereador;13456;60001903099;ADRIANO RODRIGUES DE ARAÚJO;ADRIANO ARAÚJO;PT;SUPLENTE;MASCULINO;AGENTE ADMINISTRATIVO;60001903099.jpg
Vereador;13555;60001903106;PATRÍCIA RODRIGUES DE BRITO;PATRÍCIA BRITO;PT;ELEITO POR QP;FEMININO;PROFESSOR DE ENSINO FUNDAMENTAL;60001903106.jpg
Vereador;13666;60001903103;INÁCIO NEUDO DE AZEVEDO;NEUDO BORGES;PT;ELEITO POR QP;MASCULINO;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;60001903103.jpg
Vereador;13700;60001903100;AMANDA FERREIRA DE SOUZA;AMANDA FERREIRA;PT;SUPLENTE;FEMININO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;60001903100.jpg
Vereador;13777;60001903101;AUGUSTO PAULO DE QUEIROZ;AUGUSTINHO QUEIROZ;PT;SUPLENTE;MASCULINO;VEREADOR;60001903101.jpg
