cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;13;60002310937;OSVALDO HONORIO LEMOS NETO;OSVALDO NETO;PT;NÃO ELEITO;MASCULINO;EMPRESÁRIO;60002310937.jpg
Prefeito;40;60002186598;PEDRO HUMBERTO COELHO MARQUES;PEDRO HUMBERTO;PSB;ELEITO;MASCULINO;PREFEITO;60002186598.jpg
Vereador;13000;60002311131;LIGIANNE PAIVA LEMOS GOMES DE LIMA;LILI LEMOS;PT;ELEITO POR QP;FEMININO;AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS;60002311131.jpg
Vereador;13111;60002311126;ANTONIO CARLOS CUNHA;CARLINHOS LANCHES;PT;SUPLENTE;MASCULINO;COMERCIANTE;60002311126.jpg
Vereador;13123;60002311127;GISLANNY RODRIGUES OLIVEIRA;GISLANNY OLIVEIRA;PT;ELEITO POR QP;FEMININO;EMPRESÁRIO;60002311127.jpg
Vereador;13222;60002311133;ANTONIO CLERTON DA CRUZ;ANTONIO DO MOACIR;PT;SUPLENTE;MASCULINO;EMPRESÁRIO;60002311133.jpg
Vereador;13313;60002311124;ANTONIO MAURO MESQUITA;ZIZICO TOTA;PT;SUPLENTE;MASCULINO;AGRICULTOR;60002311124.jpg
Vereador;13333;60002311128;LEOMARIO MUNIZ PASSOS;LEOMARIO MUNIZ;PT;SUPLENTE;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002311128.jpg
Vereador;13444;60002311125;FRANCISCA ERIDAN RODRIGUES PAIVA;ERIDAN DO LUIZ DO GONZAGA;PT;SUPLENTE;FEMININO;PROFESSOR DE ENSINO FUNDAMENTAL;60002311125.jpg
Vereador;13456;60002311129;FRANCISCO ALVES RODRIGUES;CHIQUINHO CARNAÚBA;PT;SUPLENTE;MASCULINO;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;60002311129.jpg
Vereador;13789;60002311130;RAIMUNDO RODRIGUES MARTINS NETO;RAIMUNDO DO PRETINHO;PT;ELEITO POR QP;MASCULINO;OUTROS;60002311130.jpg
Vereador;13888;60002311132;ANTONIO CARLOS PEREIRA DA SILVA;PROFESSOR ANTONIO CARLOS;PT;SUPLENTE;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002311132.jpg
Vereador;40000;60002187938;NADSON EMANUEL ABREU BRITO;GALEGO HONÓRIO;PSB;ELEITO POR QP;MASCULINO;VEREADOR;60002187938.jpg
Vereador;40111;60002187945;RENE RODRIGUES DE MORAIS;RENÊ MORAIS;PSB;ELEITO POR QP;MASCULINO;EMPRESÁRIO;60002187945.jpg
Vereador;40123;60002187941;MARIA DO SOCORRO DE SOUZA ARAUJO;SOCORRO HERMÍNIO;PSB;ELEITO POR QP;FEMININO;VEREADOR;60002187941.jpg
Vereador;40333;60002187940;FRANCISCO TRAJANO DE MESQUITA;CHICÃO;PSB;SUPLENTE;MASCULINO;VEREADOR;60002187940.jpg
Vereador;40345;60002187937;MASSILON BEZERRA LINHARES;MASSILON BEZERRA;PSB;SUPLENTE;MASCULINO;VEREADOR;60002187937.jpg
Vereador;40444;60002187934;DJANE MARIA RODRIGUES ROCHA;DJANE CASTRO;PSB;ELEITO POR QP;FEMININO;VEREADOR;60002187934.jpg
Vereador;40456;60002187939;DEBORA JANNE DA CRUZ MESQUITA;DEBORA JANNE;PSB;NÃO ELEITO;FEMININO;ENFERMEIRO;60002187939.jpg
Vereador;40555;60002187943;LUZIA ALCIONE DE QUEIROZ;LUZIA DO ORLANDINHO;PSB;ELEITO POR QP;FEMININO;VEREADOR;60002187943.jpg
Vereador;40777;60002187935;MANOEL MESSIAS DE ALCANTARA;BODÓ;PSB;ELEITO POR QP;MASCULINO;AGRICULTOR;60002187935.jpg
Vereador;40789;60002187942;FRANCISCO LUCIELIO PAIVA;LUCIÉLIO PAIVA;PSB;ELEITO POR MÉDIA;MASCULINO;VEREADOR;60002187942.jpg
Vereador;40888;60002187944;NEREIDA BRITO LOPES;DIRETORA NEREIDA;PSB;SUPLENTE;FEMININO;SERVIDOR PÚBLICO ESTADUAL;60002187944.jpg
Vereador;40999;60002187936;JOÃO DELGADO VERAS;JOÃO VERAS;PSB;ELEITO POR QP;MASCULINO;VEREADOR;60002187936.jpg
