zona;secao;cargo;numero;votos
57;96;3;12;15
57;44;7;22022;1
57;274;7;12;1
57;274;7;13;1
57;274;7;22;1
57;274;7;40;1
57;300;6;4000;45
57;124;7;44556;5
57;87;3;13;177
57;49;6;5599;1
57;96;7;13234;2
57;269;7;11;2
57;269;7;12;4
57;269;7;13;3
57;269;7;22;1
57;269;7;23;1
57;269;7;65;1
57;269;7;70;1
57;267;6;4447;1
57;45;6;4488;14
57;217;5;555;3
57;301;6;5588;1
57;56;6;1333;2
57;201;6;6565;1
57;62;7;12120;1
57;53;6;1313;7
57;62;5;95;4
57;55;7;11113;1
57;49;7;45300;1
57;140;6;5599;1
57;99;5;95;14
57;53;7;12500;22
57;88;6;2299;2
57;66;6;8080;1
57;43;7;50013;1
57;69;6;1000;2
57;69;5;96;22
57;188;7;11111;1
57;56;6;2201;2
57;216;6;1251;1
57;181;7;55888;1
57;87;7;22777;6
57;293;5;95;5
57;293;5;555;1
57;85;6;4411;27
57;301;6;4003;1
57;216;7;55100;1
57;149;7;70321;1
57;66;6;95;17
57;217;6;96;5
57;149;6;4512;1
57;87;7;95;8
57;96;7;70234;1
57;192;7;33789;1
57;192;6;5007;2
57;59;6;1292;2
57;66;7;12500;45
57;54;6;2222;11
57;42;6;4400;1
57;262;7;44020;1
57;262;7;96;1
57;96;6;1213;3
57;96;7;44556;1
57;125;7;15789;1
57;140;7;33789;2
57;282;7;13456;12
57;127;7;44020;1
57;127;7;96;8
57;94;7;55234;2
57;300;5;96;14
57;66;7;12456;2
57;53;7;65234;1
57;149;7;13258;9
57;85;6;4444;1
57;49;7;65700;2
57;282;7;44777;1
57;124;7;65013;1
57;141;6;1212;1
57;268;6;4441;1
57;52;7;22022;3
57;52;7;11113;1
57;42;7;13123;1
57;269;6;2211;1
57;202;6;2222;2
57;202;6;2201;1
57;67;6;4456;3
57;114;6;6565;2
57;292;6;5511;2
57;44;7;96;10
57;282;6;1111;62
57;53;7;10123;2
57;114;6;95;10
57;114;7;45000;1
57;56;7;12190;1
57;292;6;4013;1
57;292;6;4477;34
57;85;7;50113;1
57;169;7;13;5
57;169;7;22;1
57;169;7;45;1
57;169;7;70;2
57;169;6;12;2
57;169;6;13;3
57;56;7;12300;17
57;267;7;22777;8
57;301;7;22777;12
57;282;6;1020;3
57;46;7;13234;2
57;42;7;65700;1
57;169;6;5555;1
57;51;5;95;10
57;144;6;96;2
57;96;6;2299;1
57;124;7;70007;1
57;292;6;1515;1
57;92;7;45123;2
57;124;6;2277;3
57;202;7;12300;7
57;92;7;22022;4
57;85;7;13456;1
57;282;7;55234;1
57;59;6;1010;1
57;44;6;1213;1
57;92;3;95;6
57;61;6;5533;1
57;301;6;4545;1
57;56;7;22777;6
57;52;5;700;33
57;42;7;22222;4
57;42;7;44190;1
57;184;5;131;164
57;144;7;70222;1
57;42;6;4488;15
57;268;6;2277;1
57;85;6;2288;4
57;217;6;1234;1
57;217;6;1567;1
57;217;6;4411;1
57;293;6;2210;1
57;88;6;22;2
57;88;6;23;1
57;88;6;44;1
57;88;6;70;1
57;88;7;11;1
57;88;7;12;3
57;88;7;13;7
57;88;7;15;1
57;88;7;22;2
57;88;7;40;1
57;88;7;55;1
57;88;7;70;1
57;50;6;4490;1
57;181;5;96;17
57;51;7;13;13
57;51;7;22;2
57;51;7;33;1
57;51;7;44;2
57;69;6;12;3
57;69;6;13;5
57;69;6;44;1
57;69;6;70;1
57;69;7;12;6
57;69;7;13;7
57;69;7;15;2
57;69;7;18;1
57;69;7;44;3
57;295;6;12;5
57;295;6;13;4
57;295;6;14;1
57;295;6;22;1
57;295;6;40;1
57;295;7;12;2
57;295;7;13;10
57;295;7;15;2
57;268;6;2222;4
57;141;7;22555;9
57;53;7;12123;1
57;229;7;15777;3
57;295;7;22;1
57;295;7;36;1
57;295;7;40;2
57;295;7;45;3
57;295;7;70;1
57;68;6;11;3
57;68;6;12;2
57;282;7;22222;1
57;282;7;44190;1
57;52;3;44;49
57;96;5;95;13
57;99;6;4410;1
57;192;6;5050;1
57;96;7;10022;1
57;267;6;4000;17
57;181;5;700;56
57;151;7;96;6
57;87;7;11111;1
57;46;7;13123;2
57;45;7;13132;5
57;268;6;4410;1
57;52;7;55011;1
57;58;6;1333;1
57;62;6;2200;1
57;124;7;44190;1
57;42;7;22555;5
57;274;6;2288;3
57;262;6;5555;1
57;88;7;65013;1
57;50;6;1111;54
57;94;7;12300;6
57;267;6;1533;1
57;42;3;12;23
57;62;6;4406;1
57;124;7;12000;66
57;300;7;15151;20
57;181;6;4444;1
57;267;6;1234;12
57;267;6;4411;1
57;105;6;1221;4
57;144;5;95;10
57;169;7;10190;2
57;52;7;70762;1
57;55;6;2211;1
57;165;7;22333;1
57;93;5;96;21
57;144;7;22120;2
57;124;7;13111;1
