zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
47;51;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;237;
47;52;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;237;
47;53;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;241;
47;54;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;239;
47;55;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;235;
47;56;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;237;
47;57;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;239;
47;58;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;238;
47;59;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;235;
47;60;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;238;
47;61;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;238;
47;63;1031;CRAS- CENTRO DE REFERENCIA DA AÇÃO SOCIAL;RUA JOAO DUARTE 2212;CENTRO;62955000;333;
47;64;1031;CRAS- CENTRO DE REFERENCIA DA AÇÃO SOCIAL;RUA JOAO DUARTE 2212;CENTRO;62955000;330;
47;65;1201;CAMARA MUNICIPAL DE IBICUITINGA;RUA CAPITÃO MANOEL ANTONIO , N 1692;CENTRO;62955000;312;
47;123;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;239;
47;128;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;237;
47;136;1082;PROJETO MAIS EDUCAÇÃO (ANTIGA CRECHE);RUA JOÃO PAULO RABELO, N 1808;CENTRO;62955000;248;66
47;146;1120;ESCOLA DE 1 GRAU JOSE LINO RABELO;CHILE - SEDE;CHILE;62955000;325;222
47;147;1104;ESCOLA DE EDUCACAO BASICA MANOEL ANTONIO DE FREITAS;CANINDEZINHO  - SEDE;CANINDEZINHO;62955000;260;
47;148;1112;ESCOLA DE EDUCACAO BASICA JOSE RUFINO PINHEIRO;ACUDE DOS PINHEIROS - SEDE;ACUDE DOS PINHEIROS;62955000;270;
47;150;1201;CAMARA MUNICIPAL DE IBICUITINGA;RUA CAPITÃO MANOEL ANTONIO , N 1692;CENTRO;62955000;310;
47;151;1139;ESCOLA DE EDUCACAO BASICA ANTONIO EDUARDO GIRAO;VICOSA  - SEDE;VICOSA;62955000;319;
47;153;1147;ESCOLA DE EDUCAÇÃO BÁSICA MANOEL VICENTE FERREIRA;SITIO ANTONIO PEREIRA;ANTONIO PEREIRA;62955000;347;
47;160;1155;ESCOLA DE EDUCAÇÃO BÁSICA FRANCISCO FIRMINO DE ARAUJO;LAGOA DOS CURRAIS;CURRAIS;62955000;306;
47;166;1104;ESCOLA DE EDUCACAO BASICA MANOEL ANTONIO DE FREITAS;CANINDEZINHO  - SEDE;CANINDEZINHO;62955000;256;
47;169;1031;CRAS- CENTRO DE REFERENCIA DA AÇÃO SOCIAL;RUA JOAO DUARTE 2212;CENTRO;62955000;332;
47;173;1112;ESCOLA DE EDUCACAO BASICA JOSE RUFINO PINHEIRO;ACUDE DOS PINHEIROS - SEDE;ACUDE DOS PINHEIROS;62955000;269;
47;175;1171;ESCOLA DE EDUCACAO BASICA CEL BENEDITO MAIA;LAGOA DOS PORCOS;LAGOA DOS PORCOS;62955000;141;
47;176;1309;POSTO DE SAUDE DOIS IRMÃOS;SITIO DOIS IRMÃOS;DOIS IRMAOS;62950000;268;
47;177;1260;POSTO DE SAÚDE DO MUQUÉM;SÍTIO MUQUÉM;MUQUEM;92955000;345;278
47;207;1139;ESCOLA DE EDUCACAO BASICA ANTONIO EDUARDO GIRAO;VICOSA  - SEDE;VICOSA;62955000;319;
47;218;1015;ESCOLA DE EDUCACAO BASICA ENEAS FERREIRA NOBRE;RUA CAPITAO MANOEL ANTONIO 2180;CENTRO;62955000;239;
47;223;1112;ESCOLA DE EDUCACAO BASICA JOSE RUFINO PINHEIRO;ACUDE DOS PINHEIROS - SEDE;ACUDE DOS PINHEIROS;62955000;268;
47;226;1104;ESCOLA DE EDUCACAO BASICA MANOEL ANTONIO DE FREITAS;CANINDEZINHO  - SEDE;CANINDEZINHO;62955000;251;
47;235;1210;ESCOLA DE EDUCACAO BASICA FRANCISCO FERREIRA NOBRE;MELANCIAS S/N;MELANCIAS;62950000;249;
47;237;1155;ESCOLA DE EDUCAÇÃO BÁSICA FRANCISCO FIRMINO DE ARAUJO;LAGOA DOS CURRAIS;CURRAIS;62955000;310;
47;243;1244;ESCOLA DE EDUCAÇÃO BÁSICA JOÃO PERBOYRE TEÓFILO GIRÃO;BARBADA DOIS;BARBADA;62955000;374;286
47;244;1104;ESCOLA DE EDUCACAO BASICA MANOEL ANTONIO DE FREITAS;CANINDEZINHO  - SEDE;CANINDEZINHO;62955000;250;
47;245;1236;ESCOLA DE EDUCAÇÃO BÁSICA ANTÔNIO CELESTINO DE MENDONÇA;PEDRA BRANCA;CANINDEZINHO;62955000;171;
47;249;1147;ESCOLA DE EDUCAÇÃO BÁSICA MANOEL VICENTE FERREIRA;SITIO ANTONIO PEREIRA;ANTONIO PEREIRA;62955000;330;
47;257;1252;INSTITUTO DE EDUCAÇÃO INFANTIL AREIA BRANCA;SITIO CAJUEIRO;POPULARES;62955000;147;
47;259;1031;CRAS- CENTRO DE REFERENCIA DA AÇÃO SOCIAL;RUA JOAO DUARTE 2212;CENTRO;62955000;334;
