zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
38;13;1015;ESCOLA ESTADUAL DE ENSINO MÉDIO VALDEMAR DE ALCÂNTARA E SILVA - SEDE;AVENIDA DO ESTADO, S/N;CENTRO;63155000;340;
38;33;1066;E.E.I.F ANTONIO LEITE DE ALENCAR - SEDE;RUA SANTO ANTONIO  S/N;CENTRO;63155000;322;
38;46;1031;E. E. F. FRANCISCO VITURINO DE LUNA - SEDE;AVENIDA SÃO PEDRO, 237;CENTRO;63155000;312;
38;47;1031;E. E. F. FRANCISCO VITURINO DE LUNA - SEDE;AVENIDA SÃO PEDRO, 237;CENTRO;63155000;313;
38;52;1040;CRECHE COMUNITARIA MARIA ANA JESUS - SEDE;AVENIDA SÃO PEDRO;CENTRO;63155000;350;
38;59;1180;E.E.I.F FRANCISCO DE ASSIS LEITE - SEDE;AVENIDA PADRE CICERO, 327;ALTO ALEGRE;63155000;288;
38;63;1015;ESCOLA ESTADUAL DE ENSINO MÉDIO VALDEMAR DE ALCÂNTARA E SILVA - SEDE;AVENIDA DO ESTADO, S/N;CENTRO;63155000;335;
38;64;1066;E.E.I.F ANTONIO LEITE DE ALENCAR - SEDE;RUA SANTO ANTONIO  S/N;CENTRO;63155000;319;
38;67;1040;CRECHE COMUNITARIA MARIA ANA JESUS - SEDE;AVENIDA SÃO PEDRO;CENTRO;63155000;347;
38;68;1015;ESCOLA ESTADUAL DE ENSINO MÉDIO VALDEMAR DE ALCÂNTARA E SILVA - SEDE;AVENIDA DO ESTADO, S/N;CENTRO;63155000;334;
38;69;1031;E. E. F. FRANCISCO VITURINO DE LUNA - SEDE;AVENIDA SÃO PEDRO, 237;CENTRO;63155000;313;
38;73;1066;E.E.I.F ANTONIO LEITE DE ALENCAR - SEDE;RUA SANTO ANTONIO  S/N;CENTRO;63155000;321;
38;75;1015;ESCOLA ESTADUAL DE ENSINO MÉDIO VALDEMAR DE ALCÂNTARA E SILVA - SEDE;AVENIDA DO ESTADO, S/N;CENTRO;63155000;341;
38;79;1171;E.E.I.F CIRILO LEITE DE ALENCAR - BARREIROS;BARREIROS;ZONA RURAL, SALITRE/CE;63155000;312;
38;87;1090;E.E.I.F. VALDIMIRO JOSÉ DE LIMA - SÍTIO CALDEIRÃO - SALITRE;SÍTIO CALDEIRÃO;ZONA RURAL, SALITRE/CE;63155000;199;
38;90;1082;E.E.I.F JOÃO RODRIGUES DA FONSECA - LOGOA DOS CRIOULOS;SÍTIO LAGOA DOS CRIOULOS;ZONA RURAL, SALITRE/CE;63155000;306;
38;95;1180;E.E.I.F FRANCISCO DE ASSIS LEITE - SEDE;AVENIDA PADRE CICERO, 327;ALTO ALEGRE;63155000;288;
38;97;1031;E. E. F. FRANCISCO VITURINO DE LUNA - SEDE;AVENIDA SÃO PEDRO, 237;CENTRO;63155000;313;
38;100;1104;E.E.I.F. JOSE AUGUSTO DA SILVA - SÍTIO BOM JARDIM;SÍTIO BOM JARDIM;ZONA RURAL, SALITRE/CE;63155000;300;155
38;101;1112;E.E.I.F. ANTONIO PEREIRA DE ALENCAR - SÍTIO MILHANS DO SUL;SÍTIO MILHANS DO SUL;ZONA RURAL, SALITRE/CE;63155000;310;
38;102;1368;E.E.I.F CLEMENTINO RIBEIRO DE ALENCAR - SITIO BAIXIO DO MOCO;SÍTIO BAIXIO DO MOCO;ZONA RURAL, SALITRE/CE;63155000;247;
38;105;1112;E.E.I.F. ANTONIO PEREIRA DE ALENCAR - SÍTIO MILHANS DO SUL;SÍTIO MILHANS DO SUL;ZONA RURAL, SALITRE/CE;63155000;303;
38;109;1180;E.E.I.F FRANCISCO DE ASSIS LEITE - SEDE;AVENIDA PADRE CICERO, 327;ALTO ALEGRE;63155000;292;
38;111;1198;E.E.I.F RAIMUNDO CLEMENTINO DE ALENCAR - BULANDEIRA DOS DIAS;SÍTIO BULANDEIRA DOS DIAS;ZONA RURAL, SALITRE/CE;63155000;306;
38;112;1376;POSTO DE SAÚDE - MARIA DE LOURDES DIAS PEREIRA - SITIO ESPRITO SANTO;SITIO ESPRITO SANTO;SÍTIO ESPIRITO SANTO;63155000;363;163
