cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;55;60002294760;RAIMUNDO CESAR MORAIS MAIA;RAIMUNDO CESAR;PSD;ELEITO;MASCULINO;PREFEITO;60002294760.jpg
Vereador;55000;60002295244;ALFREDO DAVI GOMES DE ALMEIDA;ALFREDO DAVI;PSD;ELEITO POR QP;MASCULINO;VEREADOR;60002295244.jpg
Vereador;55111;60002295240;MARIA DE FATIMA NOBRE MAIA;FATIMA NOBRE;PSD;ELEITO POR QP;FEMININO;VEREADOR;60002295240.jpg
Vereador;55123;60002295245;CARLOS ANTONIO GOMES DA SILVA;CARLINHOS VESPES;PSD;ELEITO POR QP;MASCULINO;VEREADOR;60002295245.jpg
Vereador;55333;60002295242;DAVID SALATIEL ALMEIDA FERNANDES;TIEL;PSD;SUPLENTE;MASCULINO;VEREADOR;60002295242.jpg
Vereador;55444;60002295243;MARIA DO SOCORRO BEZERRA DE OLIVEIRA;DODÓ;PSD;ELEITO POR QP;FEMININO;VEREADOR;60002295243.jpg
Vereador;55545;60002295236;MILA LOPES DA SILVA;MILA LOPES;PSD;ELEITO POR QP;FEMININO;CONTADOR;60002295236.jpg
Vereador;55555;60002295238;JOELMA LIMA FREIRE MARTINS;JOELMA DO ZEZIM DANDÃO;PSD;ELEITO POR QP;FEMININO;VEREADOR;60002295238.jpg
Vereador;55640;60002295239;KAYO HERIC MENDES GOMES;KAYO GOMES;PSD;ELEITO POR QP;MASCULINO;VEREADOR;60002295239.jpg
Vereador;55677;60002295241;GILBERTO GOMES DOS SANTOS;GILBERTO PESCADOR;PSD;ELEITO POR QP;MASCULINO;AGRICULTOR;60002295241.jpg
Vereador;55678;60002295237;AUGUSTO SANDRO CHAVES COSTA;SANDRO;PSD;ELEITO POR MÉDIA;MASCULINO;VEREADOR;60002295237.jpg
