zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
6;1;1015;POSTO DE SAUDE EFIGENIO LINO;JATOBA, S/N;CUSTÓDIO;63915000;249;
6;2;1023;EEF JOSÉ JEAN DA SILVA PEREIRA;RUA DA ESTRELA, 425;CAMPO NOVO;63905450;324;
6;4;1040;EEF TERRA DOS MONÓLITOS;RUA JOSE DE QUEIROZ PESSOA, 1902;CENTRO;63900221;276;
6;5;1040;EEF TERRA DOS MONÓLITOS;RUA JOSE DE QUEIROZ PESSOA, 1902;CENTRO;63900221;271;
6;6;1040;EEF TERRA DOS MONÓLITOS;RUA JOSE DE QUEIROZ PESSOA, 1902;CENTRO;63900221;270;
6;8;1066;EEF AGOSTINHO FERREIRA DE SOUSA;PAU D'ARCO, S/N;CUSTÓDIO;63915000;249;
6;10;1082;EEF DE ALÍVIO;ALÍVIO DOS CANCÕES, S/N;CIPÓ DOS ANJOS;63925000;131;
6;11;1090;EEF AMBRÓSIO PESSOA;SERROTE BRANCO I - PERIFERIA, S/N;ÁREA RURAL DE QUIXADÁ;60000000;355;121
6;12;1961;EEM JOSE MARTINS RODRIGUES;SITIO NOVA AURORA - PERIFERIA, S/N;ÁREA RURAL DE QUIXADÁ;0;312;
6;13;1724;EEF JOÃO GONÇALVES DA ROCHA;SÃO JOÃO DOS QUEIROZ, S/N;JOÃO DOS QUEIROZ;63948000;321;472
6;16;1147;EEF JOÃO JOSE DA SILVA;RIACHO DO MEIO - PERIFERIA, S/N;ÁREA RURAL DE QUIXADÁ;0;264;
6;17;1155;EEF ANTÔNIO RODRIGUES DE LIMA;LAGOA DA PEDRA, S/N;VÁRZEA DA ONÇA;63935000;247;
6;19;1171;CASA DE FARINHA COMUNITÁRIA DO BOM LUGAR;BOM LUGAR, S/N;CIPÓ DOS ANJOS;63925000;227;213
6;20;2879;SEMINÁRIO MAIOR DIOCESANO NOSSA SENHORA IMACULADA RAINHA DO SERTÃO;RUA BASÍLIO PINTO,1179;COMBATE;63903415;260;
6;21;2879;SEMINÁRIO MAIOR DIOCESANO NOSSA SENHORA IMACULADA RAINHA DO SERTÃO;RUA BASÍLIO PINTO,1179;COMBATE;63903415;263;
6;22;1198;EEF JOAO ARAÚJO TORRES;JUNCO, S/N;CUSTÓDIO;63915000;222;
6;23;1201;EEF AUDISIO PINHEIRO;CUSTODIO, S/N;CUSTÓDIO;63915000;278;
6;24;1210;EEF AZIZ OKKA BAQUIT;SABONETE, S/N;CUSTÓDIO;63915000;198;
6;25;2852;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ - UNICATÓLICA;AVENIDA PLÁCIDO CASTELO, S/N;CENTRO;63900076;294;
6;26;2852;CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ - UNICATÓLICA;AVENIDA PLÁCIDO CASTELO, S/N;CENTRO;63900076;297;
6;27;1465;FECLESC;RUA JOSÉ DE QUEIROZ PESSOA, 2554;PLANALTO UNIVERSITÁRIO;63902098;326;
6;28;1465;FECLESC;RUA JOSÉ DE QUEIROZ PESSOA, 2554;PLANALTO UNIVERSITÁRIO;63902098;324;
6;31;1252;EEF REGINA MARIA HOLANDA AMORIM;SÃO BERNARDO, S/N;SÃO BERNARDO;63932000;283;
6;32;1252;EEF REGINA MARIA HOLANDA AMORIM;SÃO BERNARDO, S/N;SÃO BERNARDO;63932000;280;
6;33;1260;CRECHE BEATRIZ VIANA CRISPINO;CUSTODIO, S/N;CUSTÓDIO;63915000;156;
6;34;1279;EEF BENIGNO BEZERRA;RUA PAULO SOARES VIANA, 173;CAMPO VELHO;63907035;327;
6;35;1279;EEF BENIGNO BEZERRA;RUA PAULO SOARES VIANA, 173;CAMPO VELHO;63907035;324;
6;36;1074;CEJA JOÃO RICARDO DA SILVEIRA;RUA DOM LUCAS, 760;CAMPO VELHO;63907040;230;
6;37;1074;CEJA JOÃO RICARDO DA SILVEIRA;RUA DOM LUCAS, 760;CAMPO VELHO;63907040;225;
6;38;1287;BIBLIOTECA PUBLICA MUNICIPAL PADRE FRANCISCO CLINEU FERREIRA;RUA CLÓVIS BEVILÁQUA, SN;CENTRO;63900113;304;
6;39;1295;EEF SEVERINO ARAGÃO;BONFIM, S/N;CIPÓ DOS ANJOS;63925000;188;
6;40;2003;EEF JOSÉ PEREIRA DE SOUSA;SITIO VEIGA, S/N;DOM MAURICIO;63945000;171;
6;42;1325;POLO DE ATENDIMENTO DO CAMPO NOVO;AV PRESIDENTE VARGAS, S/N;CAMPO NOVO;63905445;278;
6;44;1341;EEMTI GOVERNADOR CÉSAR CALS DE OLIVEIRA FILHO;AV. JUSCELINO KUBITSCHEK, 385;ALTO SÃO FRANCISCO;63908235;344;
6;45;1341;EEMTI GOVERNADOR CÉSAR CALS DE OLIVEIRA FILHO;AV. JUSCELINO KUBITSCHEK, 385;ALTO SÃO FRANCISCO;63908235;343;
6;46;1341;EEMTI GOVERNADOR CÉSAR CALS DE OLIVEIRA FILHO;AV. JUSCELINO KUBITSCHEK, 385;ALTO SÃO FRANCISCO;63908235;345;
6;47;1341;EEMTI GOVERNADOR CÉSAR CALS DE OLIVEIRA FILHO;AV. JUSCELINO KUBITSCHEK, 385;ALTO SÃO FRANCISCO;63908235;348;
6;48;1341;EEMTI GOVERNADOR CÉSAR CALS DE OLIVEIRA FILHO;AV. JUSCELINO KUBITSCHEK, 385;ALTO SÃO FRANCISCO;63908235;345;
6;49;1031;COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - CREDE 12;AV. JUSCELINO KUBITSCHEK, 493;ALTO SÃO FRANCISCO;63908230;325;
6;50;1031;COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - CREDE 12;AV. JUSCELINO KUBITSCHEK, 493;ALTO SÃO FRANCISCO;63908230;324;
6;51;1031;COORDENADORIA REGIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - CREDE 12;AV. JUSCELINO KUBITSCHEK, 493;ALTO SÃO FRANCISCO;63908230;320;
6;52;2860;ESCOLA ADVENTISTA ARLETE AFONSO;RUA EPITÁCIO PESSOA, 605;ALTO SÃO FRANCISCO;63908065;287;
6;53;2860;ESCOLA ADVENTISTA ARLETE AFONSO;RUA EPITÁCIO PESSOA, 605;ALTO SÃO FRANCISCO;63908065;291;
6;54;2860;ESCOLA ADVENTISTA ARLETE AFONSO;RUA EPITÁCIO PESSOA, 605;ALTO SÃO FRANCISCO;63908065;252;
6;55;2860;ESCOLA ADVENTISTA ARLETE AFONSO;RUA EPITÁCIO PESSOA, 605;ALTO SÃO FRANCISCO;63908065;285;468
6;56;2860;ESCOLA ADVENTISTA ARLETE AFONSO;RUA EPITÁCIO PESSOA, 605;ALTO SÃO FRANCISCO;63908065;257;
6;57;2860;ESCOLA ADVENTISTA ARLETE AFONSO;RUA EPITÁCIO PESSOA, 605;ALTO SÃO FRANCISCO;63908065;294;
6;63;1376;EEF ZILCAR DE SOUZA HOLANDA;CIPÓ DOS ANJOS, S/N;CIPÓ DOS ANJOS;63925000;296;
6;64;1376;EEF ZILCAR DE SOUZA HOLANDA;CIPÓ DOS ANJOS, S/N;CIPÓ DOS ANJOS;63925000;296;
6;65;1074;CEJA JOÃO RICARDO DA SILVEIRA;RUA DOM LUCAS, 760;CAMPO VELHO;63907040;224;
6;66;1074;CEJA JOÃO RICARDO DA SILVEIRA;RUA DOM LUCAS, 760;CAMPO VELHO;63907040;228;
6;67;1392;COMERCIAL SPORTE CLUBE;AVENIDA PLACIDO CASTELO, 2384;TRIÂNGULO;63908802;329;
6;68;2518;COLÉGIO SAGRADO CORACÃO DE JESUS;TRAVESSA JOSE DE BARROS,1200;CENTRO;63900157;315;
6;71;1422;EEF ELÉLIA CASTELO BRANCO;JOSE GONÇALVES, S/N;CIPÓ DOS ANJOS;63925000;300;
6;74;1457;EEF ESTÁCIO LOPES;CAFÉ CAMPESTRE - PERIFERIA, S/N;ÁREA RURAL DE QUIXADÁ;0;292;
6;75;1465;FECLESC;RUA JOSÉ DE QUEIROZ PESSOA, 2554;PLANALTO UNIVERSITÁRIO;63902098;323;
6;76;1465;FECLESC;RUA JOSÉ DE QUEIROZ PESSOA, 2554;PLANALTO UNIVERSITÁRIO;63902098;330;
