cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;10;60001967522;FRANCISCO DAS CHAGAS MENDES;MEU DEUS;REPUBLICANOS;ELEITO;MASCULINO;PREFEITO;60001967522.jpeg
Prefeito;15;60002246146;PAULO SERGIO BRAZ;PAULO BRAZ;MDB;NÃO ELEITO;MASCULINO;OUTROS;60002246146.jpg
Prefeito;23;60002284750;FRANCISCO ELIEZIO CUNHA;ELIEZIO DO RUDIADOR;CIDADANIA;NÃO ELEITO;MASCULINO;COMERCIANTE;60002284750.jpg
Vereador;10000;60002246578;SÁVIO HOLANDA MENDES;SÁVIO MENDES;REPUBLICANOS;ELEITO POR QP;MASCULINO;VEREADOR;60002246578.jpg
Vereador;10110;60002246574;FRANCISCO EDMILSON LIRA;EDMILSON LIRA;REPUBLICANOS;SUPLENTE;MASCULINO;AGRICULTOR;60002246574.jpg
Vereador;10111;60002246581;FRANCISCO EXPEDITO GALDINO;CASARÃO;REPUBLICANOS;ELEITO POR MÉDIA;MASCULINO;VEREADOR;60002246581.jpg
Vereador;10123;60002246572;VICTOR THOMÁS MAGALHÃES ARCANJO;VICTOR;REPUBLICANOS;SUPLENTE;MASCULINO;OUTROS;60002246572.jpg
Vereador;10222;60002246573;FRANCISCO ARLENE FARIAS;ARLENE FARIAS;REPUBLICANOS;SUPLENTE;MASCULINO;AGRICULTOR;60002246573.jpg
Vereador;10234;60002246569;JOÃO ISAÍAS JÚNIOR;ISAÍAS JÚNIOR;REPUBLICANOS;ELEITO POR QP;MASCULINO;OUTROS;60002246569.jpg
Vereador;10333;60002246570;RAIMUNDA NONATA FERREIRA;RAIMUNDINHA;REPUBLICANOS;SUPLENTE;FEMININO;OUTROS;60002246570.jpg
Vereador;10345;60002246580;FRANCISCO ELIELDER DIOGO;ELDIM;REPUBLICANOS;SUPLENTE;MASCULINO;OUTROS;60002246580.jpg
Vereador;10444;60002246577;MARIA MARLÚCIA DE SOUZA OLIVEIRA;MARLÚCIA DA SAÚDE;REPUBLICANOS;SUPLENTE;FEMININO;TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO);60002246577.jpg
Vereador;10456;60002246575;MARIA REQUIXÉLIA DE MARIA;REQUIXÉLIA;REPUBLICANOS;ELEITO POR QP;FEMININO;PEDAGOGO;60002246575.jpg
Vereador;10555;60002246571;FRANCISCO NELMI DE SOUZA;NEUMI SOUZA;REPUBLICANOS;SUPLENTE;MASCULINO;VEREADOR;60002246571.jpg
Vereador;10777;60002246568;DANIELA VALNIÇA LOPES DE SOUSA;DANIELA LOPES;REPUBLICANOS;SUPLENTE;FEMININO;PROFESSOR DE ENSINO FUNDAMENTAL;60002246568.jpg
Vereador;10888;60002246579;CHRISTIAN CRISÓSTOMO PONTE;CHRISTIAN PONTE;REPUBLICANOS;ELEITO POR QP;MASCULINO;ENFERMEIRO;60002246579.jpg
Vereador;10999;60002246576;MARIA DA CONCEIÇÃO ALBUQUERQUE;CONCEIÇÃO ALBUQUERQUE;REPUBLICANOS;SUPLENTE;FEMININO;ASSISTENTE SOCIAL;60002246576.jpg
Vereador;13123;60002276382;FRANCISCO RONIVON CARNEIRO;RONIVON CARNEIRO;PT;SUPLENTE;MASCULINO;AGRICULTOR;60002276382.jpg
Vereador;13222;60002276381;MARIA BETANIA DE ANDRADE SOUSA;BETÂNIA ANDRADE;PT;SUPLENTE;FEMININO;OUTROS;60002276381.jpg
Vereador;13456;60002276385;MANOEL ROSA FILHO;MANOELZINHO CANAFISTULA;PT;SUPLENTE;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60002276385.jpeg
Vereador;15000;60002246186;GIBRALTAR PONTE DE VASCONCELOS;GIL VASCONCELOS;MDB;SUPLENTE;MASCULINO;ADVOGADO;60002246186.jpg
Vereador;15111;60002246178;JOSÉ REGIVALDO VIDAL;REGIVALDO;MDB;SUPLENTE;MASCULINO;OUTROS;60002246178.jpg
Vereador;15123;60002246180;ANTONIO VALBER DA ROCHA;VALBER ROCHA;MDB;SUPLENTE;MASCULINO;OUTROS;60002246180.jpg
Vereador;15136;60002246179;ANA CINTIA DOS SANTOS DE SOUSA;ANA CINTIA DOS SANTOS;MDB;SUPLENTE;FEMININO;OUTROS;60002246179.jpg
Vereador;15333;60002246182;ANTONIO VENNICIUS CORDEIRO;VENNICIUS CORDEIRO;MDB;SUPLENTE;MASCULINO;OUTROS;60002246182.jpg
Vereador;15555;60002246177;ROGÊ FARIAS ROCHA;ROGÊ FARIAS;MDB;SUPLENTE;MASCULINO;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;60002246177.jpg
Vereador;15604;60002246183;MARIA JOSE BRAZ;MAIZE BRAZ;MDB;SUPLENTE;FEMININO;OUTROS;60002246183.jpg
Vereador;15613;60002246185;CLAUDER LIMA;CLAUDER DO PETECA;MDB;SUPLENTE;MASCULINO;REPRESENTANTE COMERCIAL;60002246185.jpg
Vereador;15622;60002246181;JOSE MAURICIO CARNEIRO JUNIOR;DR JUNIOR;MDB;ELEITO POR QP;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60002246181.jpg
Vereador;15678;60002246184;ANA PAULA DE MARIA;PAULA DA TAPIOCA;MDB;SUPLENTE;FEMININO;OUTROS;60002246184.jpg
Vereador;25000;60002246811;FRANCISCO RÉGIS MINGOTE;PROFESSOR RÉGIS MINGOTE;PRD;SUPLENTE;MASCULINO;DIRETOR DE ESTABELECIMENTO DE ENSINO;60002246811.jpg
Vereador;25110;60002246819;JOSÉ EDNARDO CARNEIRO;EDNARDO DO SAPÓ;PRD;ELEITO POR QP;MASCULINO;VEREADOR;60002246819.jpg
Vereador;25111;60002246818;CÍCERO MECEU CARNEIRO RODRIGUES;DR. MECEU RODRIGUES;PRD;ELEITO POR QP;MASCULINO;OUTROS;60002246818.jpg
Vereador;25123;60002246820;HELDER BATISTA DE OLIVEIRA;PROFESSOR HELDER;PRD;SUPLENTE;MASCULINO;PROFESSOR DE ENSINO MÉDIO;60002246820.jpg
Vereador;25177;60002246817;ANA MARIA BATISTA EUGÊNIO;ANA MARIA;PRD;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002246817.jpg
Vereador;25222;60002246816;PÁDUA ERICKSON MEDEIROS CARNEIRO;DEZINHO CARNEIRO;PRD;ELEITO POR QP;MASCULINO;COMERCIANTE;60002246816.jpg
Vereador;25333;60002246810;ANTÔNIO DEUSDETE PINTO PONTE;ANTÔNIO DE JESUS;PRD;SUPLENTE;MASCULINO;OUTROS;60002246810.jpeg
Vereador;25444;60002246808;MARIA DANIELLE FELIPE LÚCIO;DANNY DO BOM JARDIM;PRD;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002246808.jpg
Vereador;25555;60002246809;MARIA DE FÁTIMA DE ARAÚJO;FÁTIMA DO ALMIR;PRD;SUPLENTE;FEMININO;AGENTE DE SAÚDE E SANITARISTA;60002246809.jpg
Vereador;25666;60002246815;MARIA FÁTIMA FEITOSA;FÁTIMA FEITOSA;PRD;ELEITO POR QP;FEMININO;AGENTE ADMINISTRATIVO;60002246815.jpg
Vereador;25678;60002246813;DOMINGOS SÁVIO DO NASCIMENTO;DOMINGOS SÁVIO;PRD;ELEITO POR MÉDIA;MASCULINO;VEREADOR;60002246813.jpg
Vereador;25777;60002246814;ROSÂNGELA MARIA SOUZA DE QUEIROZ;ROSÂNGELA QUEIROZ;PRD;SUPLENTE;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002246814.jpg
Vereador;25999;60002246807;ANTÔNIO MÁRCIO DE BRITO BEZERRA;MÁRCIO BRITO;PRD;SUPLENTE;MASCULINO;OUTROS;60002246807.jpg
Vereador;40000;60002009388;JORGE VANDCY VASCONCELOS FILHO;JORGE CAR;PSB;NÃO ELEITO;MASCULINO;VEREADOR;60002009388.jpg
Vereador;40050;60002009387;JOAO EVANGELISTA DIAS;JONH CINQUENTA;PSB;NÃO ELEITO;MASCULINO;TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES;60002009387.jpg
Vereador;40111;60002009384;ANTONIO VALDEMIR PEREIRA;MIL PEREIRA;PSB;NÃO ELEITO;MASCULINO;AGRICULTOR;60002009384.jpg
Vereador;40333;60002009390;FRANCISCA ISABEL DE PAULA;ISABEL;PSB;NÃO ELEITO;FEMININO;DONA DE CASA;60002009390.jpg
Vereador;40444;60002009389;JOSE JANIO DE OLIVEIRA;PROFESSOR JANIO;PSB;NÃO ELEITO;MASCULINO;PROFESSOR DE ENSINO FUNDAMENTAL;60002009389.jpg
Vereador;40456;60002009394;REGINA CELIA DE OLIVEIRA;REGINA;PSB;NÃO ELEITO;FEMININO;DONA DE CASA;60002009394.jpg
Vereador;40555;60002009386;CARLOS APOLONIO ARCANJO;CARLIM DA MUTAMBEIRAS;PSB;NÃO ELEITO;MASCULINO;COMERCIANTE;60002009386.jpg
Vereador;40566;60002009395;MARIA JOSE DO NASCIMENTO;MAZE DO RIACHO VERDE;PSB;NÃO ELEITO;FEMININO;DONA DE CASA;60002009395.jpg
Vereador;40640;60002009391;JOANA BEATRIZ GALDINO ALVES;BIA;PSB;NÃO ELEITO;FEMININO;ASSISTENTE SOCIAL;60002009391.jpg
Vereador;40888;60002009396;NACELIANO FERREIRA LOPES;NACELIO;PSB;NÃO ELEITO;MASCULINO;COMERCIANTE;60002009396.jpg
Vereador;65123;60002276380;JOSE TARCISIO SOUSA NETO;DR TARCISIO;PC do B;ELEITO POR MÉDIA;MASCULINO;ADVOGADO;60002276380.jpeg
Vereador;65321;60002276384;ANA JULIETE CARNEIRO ARAÚJO;JULIETE;PC do B;SUPLENTE;FEMININO;OUTROS;60002276384.jpg
Vereador;65400;60002276387;EULINA CANAFISTULA DA PENHA ALVES;EULINA;PC do B;ELEITO POR QP;FEMININO;AGRICULTOR;60002276387.jpeg
Vereador;65777;60002276379;JOSE MIGUEL BARBOSA FILHO;BARBOSA;PC do B;SUPLENTE;MASCULINO;OUTROS;60002276379.jpg
Vereador;65789;60002276388;ANTONIO NACELIO DOS SANTOS;NACELIO SANTOS;PC do B;SUPLENTE;MASCULINO;AGRICULTOR;60002276388.jpg
