Tribunal Regional Eleitoral do Ceará

Seções do município: Paraipaba

Dados sujeitos a alterações - atualizados em 04/10/2022 06:44:50

Zona;Cod.Mun;Município;Cod.Local;Local Votação;Endereço;Bairro;CEP;Seção Principal (com urna);Aptos Princ. Eleição Estadual;Aptos Princ. Eleição Federal;Seções Agregadas;Aptos Agr. Eleição Estadual;Aptos Agr. Eleição Federal;Tot. Aptos Eleição Estadual;Tot. Aptos Eleição Federal
109;15997;PARAIPABA;1228;EMEIF ALDENOR PEREIRA DOS SANTOS;PROJETO IRRIGADO DO CURU - SETOR D2;SETOR D2;62685000;144;320;320;;0;0;320;320
109;15997;PARAIPABA;1228;EMEIF ALDENOR PEREIRA DOS SANTOS;PROJETO IRRIGADO DO CURU - SETOR D2;SETOR D2;62685000;145;323;323;;0;0;323;323
109;15997;PARAIPABA;1236;EMEIF SAUL MATIAS DA SILVA;SETOR D1;SETOR D1;62685000;146;332;332;;0;0;332;332
109;15997;PARAIPABA;1236;EMEIF SAUL MATIAS DA SILVA;SETOR D1;SETOR D1;62685000;147;330;330;;0;0;330;330
109;15997;PARAIPABA;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;148;325;325;;0;0;325;325
109;15997;PARAIPABA;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;149;336;336;;0;0;336;336
109;15997;PARAIPABA;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;150;330;330;;0;0;330;330
109;15997;PARAIPABA;1244;EMEF VICENTE VASCONCELOS DA SILVA;PROJETO IRRIGADO DO CURU - SETOR E;SETOR E;62685000;151;248;248;;0;0;248;248
109;15997;PARAIPABA;1252;EMEIF JOSÉ TEIXEIRA DA SILVA;PEDRINHAS;PEDRINHAS;62685000;152;337;337;208;44;44;381;381
109;15997;PARAIPABA;1260;EMEIF MARGARIDA BARBOSA DE CASTRO;CALUMBI DOS BENTOS;CALUMBI DOS BENTOS;62685000;153;295;295;;0;0;295;295
109;15997;PARAIPABA;1260;EMEIF MARGARIDA BARBOSA DE CASTRO;CALUMBI DOS BENTOS;CALUMBI DOS BENTOS;62685000;154;296;296;;0;0;296;296
109;15997;PARAIPABA;1279;EMEIF SÃO MIGUEL;SAO MIGUEL;SÃO MIGUEL;62850000;155;232;232;;0;0;232;232
109;15997;PARAIPABA;1287;EMEIF COMPLEXO ESCOLAR SETOR C1;PROJETO IRRIGADO DO CURU - SETOR C1;SETOR C1;62685000;156;343;343;;0;0;343;343
109;15997;PARAIPABA;1287;EMEIF COMPLEXO ESCOLAR SETOR C1;PROJETO IRRIGADO DO CURU - SETOR C1;SETOR C1;62685000;157;328;328;;0;0;328;328
109;15997;PARAIPABA;1287;EMEIF COMPLEXO ESCOLAR SETOR C1;PROJETO IRRIGADO DO CURU - SETOR C1;SETOR C1;62685000;158;136;136;;0;0;136;136
109;15997;PARAIPABA;1295;EMEIF LUIZA BARROSO BRAGA;ZABELE;ZABELE;62685000;159;312;312;;0;0;312;312
109;15997;PARAIPABA;1309;EMEIF FRANCISCO CIPRIANO MOREIRA;CAMBURAO;CAMBURÃO;62685000;160;347;347;;0;0;347;347
109;15997;PARAIPABA;1309;EMEIF FRANCISCO CIPRIANO MOREIRA;CAMBURAO;CAMBURÃO;62685000;161;348;348;;0;0;348;348
109;15997;PARAIPABA;1309;EMEIF FRANCISCO CIPRIANO MOREIRA;CAMBURAO;CAMBURÃO;62685000;162;346;346;212;51;51;397;397
109;15997;PARAIPABA;1317;SALÃO COMUNITÁRIO - SETOR B;SETOR B;SETOR B;62685000;163;335;335;;0;0;335;335
109;15997;PARAIPABA;1317;SALÃO COMUNITÁRIO - SETOR B;SETOR B;SETOR B;62685000;164;323;323;;0;0;323;323
109;15997;PARAIPABA;1325;EMEIF PAULO SILVA DOS SANTOS;SETOR G/H 2A ETAPA;2ª ETAPA - SETOR G/H;62685000;165;348;348;;0;0;348;348
109;15997;PARAIPABA;1325;EMEIF PAULO SILVA DOS SANTOS;SETOR G/H 2A ETAPA;2ª ETAPA - SETOR G/H;62685000;166;351;351;;0;0;351;351
109;15997;PARAIPABA;1325;EMEIF PAULO SILVA DOS SANTOS;SETOR G/H 2A ETAPA;2ª ETAPA - SETOR G/H;62685000;167;349;349;;0;0;349;349
109;15997;PARAIPABA;1325;EMEIF PAULO SILVA DOS SANTOS;SETOR G/H 2A ETAPA;2ª ETAPA - SETOR G/H;62685000;168;347;347;;0;0;347;347
109;15997;PARAIPABA;1333;EMEIF EDMUNDO PEREIRA BARBOSA;PROJETO IRRIGADO DO CURU - SETOR C2;SETOR C2;62685000;169;321;321;;0;0;321;321
109;15997;PARAIPABA;1333;EMEIF EDMUNDO PEREIRA BARBOSA;PROJETO IRRIGADO DO CURU - SETOR C2;SETOR C2;62685000;170;325;325;;0;0;325;325
109;15997;PARAIPABA;1333;EMEIF EDMUNDO PEREIRA BARBOSA;PROJETO IRRIGADO DO CURU - SETOR C2;SETOR C2;62685000;171;166;166;;0;0;166;166
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;172;304;304;;0;0;304;304
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;173;301;301;;0;0;301;301
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;174;305;305;;0;0;305;305
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;175;302;302;;0;0;302;302
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;176;306;306;;0;0;306;306
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;177;304;304;;0;0;304;304
109;15997;PARAIPABA;1341;EEEP FLÁVIO GOMES GRANJEIRO;RUA MARIA MOREIRA, SN;BOA ESPERANÇA;62685000;178;304;304;;0;0;304;304
109;15997;PARAIPABA;1350;EMEIF FRANCISCO FIGUEIREDO DE PAULA PESSOA;RUA ANTONIO TABOSA SN;CENTRO;62685000;179;205;205;;0;0;205;205
109;15997;PARAIPABA;1350;EMEIF FRANCISCO FIGUEIREDO DE PAULA PESSOA;RUA ANTONIO TABOSA SN;CENTRO;62685000;180;205;205;;0;0;205;205
109;15997;PARAIPABA;1350;EMEIF FRANCISCO FIGUEIREDO DE PAULA PESSOA;RUA ANTONIO TABOSA SN;CENTRO;62685000;181;206;206;;0;0;206;206
109;15997;PARAIPABA;1350;EMEIF FRANCISCO FIGUEIREDO DE PAULA PESSOA;RUA ANTONIO TABOSA SN;CENTRO;62685000;182;205;205;;0;0;205;205
109;15997;PARAIPABA;1350;EMEIF FRANCISCO FIGUEIREDO DE PAULA PESSOA;RUA ANTONIO TABOSA SN;CENTRO;62685000;183;206;206;;0;0;206;206
109;15997;PARAIPABA;1350;EMEIF FRANCISCO FIGUEIREDO DE PAULA PESSOA;RUA ANTONIO TABOSA SN;CENTRO;62685000;184;205;205;;0;0;205;205
109;15997;PARAIPABA;1368;EMEF ANTONIO PIRES SOBRINHO;ALTO DO CIPÓ;ALTO CIPÓ;62685000;190;257;257;;0;0;257;257
109;15997;PARAIPABA;1368;EMEF ANTONIO PIRES SOBRINHO;ALTO DO CIPÓ;ALTO CIPÓ;62685000;191;239;239;;0;0;239;239
109;15997;PARAIPABA;1422;POSTO DE SAÚDE DE BARREIRAS;BARREIRAS;BARREIRAS;62685000;192;325;325;;0;0;325;325
109;15997;PARAIPABA;1422;POSTO DE SAÚDE DE BARREIRAS;BARREIRAS;BARREIRAS;62685000;193;104;104;;0;0;104;104
109;15997;PARAIPABA;1392;EMEF MARIA MATIAS DOS SANTOS;CORREGO DO MATO;CORREGO DO MATO;62685000;194;183;183;;0;0;183;183
109;15997;PARAIPABA;1406;EMEIF JOSÉ BRAGA DE PAIVA;CACIMBAO DOS TABOSAS;CACIMBÃO DOS TABOSAS;62685000;195;325;325;;0;0;325;325
109;15997;PARAIPABA;1406;EMEIF JOSÉ BRAGA DE PAIVA;CACIMBAO DOS TABOSAS;CACIMBÃO DOS TABOSAS;62685000;196;326;326;;0;0;326;326
109;15997;PARAIPABA;1406;EMEIF JOSÉ BRAGA DE PAIVA;CACIMBAO DOS TABOSAS;CACIMBÃO DOS TABOSAS;62685000;197;326;326;;0;0;326;326
109;15997;PARAIPABA;1414;EMEIF COMPLEXO ESCOLAR CENTRO GERENCIAL;CENTRO GERENCIAL;CENTRO GERENCIAL;62685000;198;169;169;;0;0;169;169
109;15997;PARAIPABA;1317;SALÃO COMUNITÁRIO - SETOR B;SETOR B;SETOR B;62685000;205;131;131;;0;0;131;131
109;15997;PARAIPABA;1031;EMEF BETEL;RUA DOMINGOS BARROSO SN;CENTRO;62685000;209;165;165;;0;0;165;165
109;15997;PARAIPABA;1074;EMEF JOSÉ BARROSO DE OLIVEIRA;RUA JOÃO NARCISO DE OLIVEIRA, S/N;BOA VISTA-DISTRITO;62685000;210;51;51;;0;0;51;51
# TOTAL;;;;;;;;89;25356;25356;2;95;95;25451;25451
