Tribunal Regional Eleitoral do Ceará
Secretaria de Tecnologia da Informação
Resultados Eleitorais - Eleições Gerais 2022 - 1º Turno - 02/10/2022
Dados gerados em 22/10/2022 11:55:44 sujeitos a alterações

RESULTADO POR SEÇÃO - BOLETINS DAS URNAS

Município;Zona;Seção;Seções Agregadas;Cargo;Número;Nome para Urna;Votos;Partido;Partido/Federação/Coligação
PARAIPABA;109;105; ;Presidente;12;CIRO GOMES;11;PDT;PDT
PARAIPABA;109;105; ;Presidente;13;LULA;128;PT;(PT/PC do B/PV), SOLIDARIEDADE, (PSOL/REDE), PSB, AGIR, AVANTE, PROS
PARAIPABA;109;105; ;Presidente;15;SIMONE TEBET;5;MDB;MDB, (PSDB/CIDADANIA), PODE
PARAIPABA;109;105; ;Presidente;22;JAIR BOLSONARO;86;PL;PP, REPUBLICANOS, PL
PARAIPABA;109;105; ;Presidente;44;SORAYA THRONICKE;2;UNIÃO;UNIÃO
PARAIPABA;109;105; ;Presidente;95;BRANCOS;3; ; 
PARAIPABA;109;105; ;Presidente;96;NULOS;9; ; 
PARAIPABA;109;105; ;Governador;12;ROBERTO CLÁUDIO;21;PDT;PMN, PATRIOTA, AGIR, PMB, PDT, PSD, PSB, PSC, DC
PARAIPABA;109;105; ;Governador;13;ELMANO DE FREITAS;98;PT;(PT/PC do B/PV), PP, MDB, PRTB, (PSOL/REDE), SOLIDARIEDADE
PARAIPABA;109;105; ;Governador;21;CHICO MALTA;1;PCB;PCB
PARAIPABA;109;105; ;Governador;44;CAPITÃO WAGNER;105;UNIÃO;PODE, AVANTE, PL, REPUBLICANOS, PTB, PROS, UNIÃO
PARAIPABA;109;105; ;Governador;95;BRANCOS;5; ; 
PARAIPABA;109;105; ;Governador;96;NULOS;14; ; 
PARAIPABA;109;105; ;Senador;131;CAMILO;124;PT;(PT/PC do B/PV), MDB, PRTB, (PSOL/REDE), SOLIDARIEDADE, PP
PARAIPABA;109;105; ;Senador;555;ERIKA AMORIM;5;PSD;PSB, AGIR, DC, PMB, PDT, PSD, PMN, PATRIOTA, PSC
PARAIPABA;109;105; ;Senador;700;KAMILA CARDOSO;88;AVANTE;AVANTE, UNIÃO, PTB, REPUBLICANOS, PROS, PL, PODE
PARAIPABA;109;105; ;Senador;95;BRANCOS;7; ; 
PARAIPABA;109;105; ;Senador;96;NULOS;20; ; 
PARAIPABA;109;105; ;Deputado Federal;1000;BISPA VANESSA LIMA;1;REPUBLICANOS;REPUBLICANOS
PARAIPABA;109;105; ;Deputado Federal;1010;RONALDO MARTINS;3;REPUBLICANOS;REPUBLICANOS
PARAIPABA;109;105; ;Deputado Federal;1030;VERISSIMO FREITAS;1;REPUBLICANOS;REPUBLICANOS
PARAIPABA;109;105; ;Deputado Federal;1212;LEÔNIDAS CRISTINO;1;PDT;PDT
PARAIPABA;109;105; ;Deputado Federal;1213;IDILVAN;10;PDT;PDT
PARAIPABA;109;105; ;Deputado Federal;1214;EDUARDO BISMARCK;12;PDT;PDT
PARAIPABA;109;105; ;Deputado Federal;1221;MAURO FILHO;2;PDT;PDT
PARAIPABA;109;105; ;Deputado Federal;1285;IANNA BRANDÃO;1;PDT;PDT
PARAIPABA;109;105; ;Deputado Federal;1292;ENFERMEIRA ANA PAULA;1;PDT;PDT
PARAIPABA;109;105; ;Deputado Federal;1313;LUIZIANNE LINS;5;PT;(PT/PC do B/PV)
PARAIPABA;109;105; ;Deputado Federal;1515;MOACENY FÉLIX;1;MDB;MDB
PARAIPABA;109;105; ;Deputado Federal;1533;EUNÍCIO;4;MDB;MDB
PARAIPABA;109;105; ;Deputado Federal;2200;DRA. MAYRA PINHEIRO;1;PL;PL
