zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
30;82;1112;ESCOLA NOSSA SENHORA DA CONSOLACAO;NOVO JERI S/N - JERICOACOARA;ZONA RURAL;62598000;338;
30;87;1023;ESCOLA ANTONIO DUTRA DE SOUSA;BAIXIO I - ZONA RURAL;ZONA RURAL;62598000;323;
30;88;1023;ESCOLA ANTONIO DUTRA DE SOUSA;BAIXIO I - ZONA RURAL;ZONA RURAL;62598000;325;
30;92;1031;ESCOLA FRANCISCO RAIMUNDO DUTRA;CORREGO DO URUBU;ZONA RURAL;62598000;314;
30;93;1031;ESCOLA FRANCISCO RAIMUNDO DUTRA;CORREGO DO URUBU;ZONA RURAL;62598000;364;408
30;94;1112;ESCOLA NOSSA SENHORA DA CONSOLACAO;NOVO JERI S/N - JERICOACOARA;ZONA RURAL;62598000;336;
30;95;1058;ESCOLA DONA JOAQUINA TEIXEIRA;MANGUE SECO;ZONA RURAL;62598000;340;
30;96;1066;ESCOLA JOSE TEIXEIRA DE ALBUQUERQUE;RUA MARCAL DE SOUSA 851;CENTRO;62598000;347;
30;97;1066;ESCOLA JOSE TEIXEIRA DE ALBUQUERQUE;RUA MARCAL DE SOUSA 851;CENTRO;62598000;345;
30;109;1074;ESCOLA SENADOR CARLOS JEREISSATE;RUA MINAS GERAIS S/N;CENTRO;62598000;314;
30;110;1066;ESCOLA JOSE TEIXEIRA DE ALBUQUERQUE;RUA MARCAL DE SOUSA 851;CENTRO;62598000;346;
30;111;1066;ESCOLA JOSE TEIXEIRA DE ALBUQUERQUE;RUA MARCAL DE SOUSA 851;CENTRO;62598000;343;
30;115;1082;ESCOLA JOSE ANACLETO VIEIRA;CORREGO DA FORQUILHA I;ZONA RURAL;62598000;218;
30;116;1082;ESCOLA JOSE ANACLETO VIEIRA;CORREGO DA FORQUILHA I;ZONA RURAL;62598000;219;
30;167;1082;ESCOLA JOSE ANACLETO VIEIRA;CORREGO DA FORQUILHA I;ZONA RURAL;62598000;219;
30;168;1066;ESCOLA JOSE TEIXEIRA DE ALBUQUERQUE;RUA MARCAL DE SOUSA 851;CENTRO;62598000;341;
30;182;1090;ESCOLA JOSE DIONISIO DE SOUSA;RUA RAIMUNDO ALEXANDRE 330;CENTRO;62598000;340;
30;205;1112;ESCOLA NOSSA SENHORA DA CONSOLACAO;NOVO JERI S/N - JERICOACOARA;ZONA RURAL;62598000;342;
30;206;1139;ESCOLA FRANCISCO SALES DE CARVALHO;CORREGO DA FORQUILHA II;ZONA RURAL;62598000;345;
30;211;1104;ESCOLA ALFREDO MARQUES DA SILVA;LAGOA GRANDE;ZONA RURAL;62598000;215;
30;223;1074;ESCOLA SENADOR CARLOS JEREISSATE;RUA MINAS GERAIS S/N;CENTRO;62598000;311;
30;227;1074;ESCOLA SENADOR CARLOS JEREISSATE;RUA MINAS GERAIS S/N;CENTRO;62598000;312;
30;228;1139;ESCOLA FRANCISCO SALES DE CARVALHO;CORREGO DA FORQUILHA II;ZONA RURAL;62598000;344;
30;229;1147;ESCOLA PROFA. IGARDENE FONTELES DE ARAUJO;RUA CAMPO GRANDE S/N - CONJUNTO PRIMAVERA;CENTRO;62598000;346;
30;243;1058;ESCOLA DONA JOAQUINA TEIXEIRA;MANGUE SECO;ZONA RURAL;62598000;341;
30;246;1147;ESCOLA PROFA. IGARDENE FONTELES DE ARAUJO;RUA CAMPO GRANDE S/N - CONJUNTO PRIMAVERA;CENTRO;62598000;346;
30;256;1090;ESCOLA JOSE DIONISIO DE SOUSA;RUA RAIMUNDO ALEXANDRE 330;CENTRO;62598000;343;
30;257;1023;ESCOLA ANTONIO DUTRA DE SOUSA;BAIXIO I - ZONA RURAL;ZONA RURAL;62598000;321;
30;268;1147;ESCOLA PROFA. IGARDENE FONTELES DE ARAUJO;RUA CAMPO GRANDE S/N - CONJUNTO PRIMAVERA;CENTRO;62598000;350;
