cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Prefeito;11;60002241286;FRANCISCO EDUARDO SAMPAIO XIMENES;EDUARDO XIMENES;PP;NÃO ELEITO;MASCULINO;VEREADOR;60002241286.jpeg
Prefeito;13;60002188656;MARIA DO SOCORRO PEREIRA TORRES;CORRINHA;PT;NÃO ELEITO;FEMININO;PEDAGOGO;60002188656.jpg
Prefeito;40;60002188305;LIVIA MARIA MESQUITA MORORO MUNIZ MARQUES;DRA LÍVIA;PSB;ELEITO;FEMININO;PREFEITO;60002188305.jpg
Vereador;11111;60002241379;JOSÉ MAURÍCIO SAMPAIO XIMENES;KIKO MOTOS;PP;NÃO ELEITO;MASCULINO;EMPRESÁRIO;60002241379.jpeg
Vereador;11333;60002241380;VILANY RODRIGUES OTAVIANO;VILANY OTAVIANO;PP;NÃO ELEITO;FEMININO;EMPRESÁRIO;60002241380.jpeg
Vereador;11444;60002241381;MARIA VANUSA PEREIRA LIMA;VANUSA LIMA;PP;NÃO ELEITO;FEMININO;SERVIDOR PÚBLICO MUNICIPAL;60002241381.jpeg
Vereador;13000;60002241208;ANTONIO JOSÉ MARQUES COSTA;ANTÔNIO JOSÉ DO CLOVES;PT;SUPLENTE;MASCULINO;AGRICULTOR;60002241208.jpg
Vereador;13111;60002241207;ANTONIA REGIANE FERREIRA LEMOS;REGIANE DO ALDEMIR;PT;SUPLENTE;FEMININO;ADMINISTRADOR;60002241207.jpg
Vereador;13123;60002241204;NATÁLIA SOARES ABEL;NATÁLIA DO DONATO;PT;SUPLENTE;FEMININO;DONA DE CASA;60002241204.jpg
Vereador;13222;60002241206;ADRIANO ALVES DE OLIVEIRA;ADRIANO EPIFÂNIO;PT;SUPLENTE;MASCULINO;AGRICULTOR;60002241206.jpg
Vereador;13333;60002241209;FRANCISCO DAS CHAGAS TORRES JUNIOR;TORRIM;PT;ELEITO POR QP;MASCULINO;ANALISTA DE SISTEMAS;60002241209.jpg
Vereador;13456;60002241203;ANTÔNIO DE OLIVEIRA GOMES;NILSON DO PT;PT;SUPLENTE;MASCULINO;COMERCIANTE;60002241203.jpg
Vereador;13555;60002241205;SAMANDA SIMPLICIO DA SILVA;SAMANDA SIMPLICIO;PT;SUPLENTE;FEMININO;DONA DE CASA;60002241205.jpg
Vereador;18123;60002188117;ANTONIA ALDENIZE PAIVA;ALDENIZE PAIVA;REDE;NÃO ELEITO;FEMININO;REPRESENTANTE COMERCIAL;60002188117.jpg
Vereador;18678;60002188118;ANTONIO CICERO OTAVIANO ARAUJO;PASTOR CICERO ARAUJO;REDE;NÃO ELEITO;MASCULINO;AGRICULTOR;60002188118.jpg
Vereador;18888;60002188116;MARIA MARLY VEIGA COSTA;MARLY COSTA;REDE;NÃO ELEITO;FEMININO;EMPRESÁRIO;60002188116.jpg
Vereador;40000;60002188682;MARIA SAMARA OLIVEIRA MENDES;SAMARA PEREIRA;PSB;ELEITO POR QP;FEMININO;AGENTE ADMINISTRATIVO;60002188682.jpeg
Vereador;40111;60002188680;NILTON DE OLIVEIRA FERNANDES;NILTON ANASTACIO;PSB;ELEITO POR MÉDIA;MASCULINO;VEREADOR;60002188680.jpg
Vereador;40123;60002188678;FRANCISCA DE MARIA ARAUJO MARTINS;FRANCISCA;PSB;ELEITO POR QP;FEMININO;VEREADOR;60002188678.jpg
Vereador;40333;60002188677;EDUARDO FIRMIANO FARIAS;EDUARDO DO DONATO;PSB;SUPLENTE;MASCULINO;VEREADOR;60002188677.jpg
Vereador;40444;60002188675;FRANCISCO OLIVEIRA PAIVA;CHICO ANA;PSB;ELEITO POR QP;MASCULINO;VEREADOR;60002188675.jpg
Vereador;40555;60002188681;JAMILE CARNEIRO MESQUITA MORORO;JAMILE MORORO;PSB;ELEITO POR QP;FEMININO;VEREADOR;60002188681.jpg
Vereador;40777;60002188683;ANASTACIO ALVES DE BRITO NETO;ANASTACIO NETO;PSB;ELEITO POR QP;MASCULINO;AGENTE ADMINISTRATIVO;60002188683.jpg
Vereador;40789;60002188679;FRANCISCA FABIANA RODRIGUES DE SOUSA;FABIANA;PSB;ELEITO POR QP;FEMININO;OUTROS;60002188679.jpg
Vereador;40888;60002188676;ANTENOR FERREIRA DE SOUSA;ANTENOR CARNEIRO;PSB;SUPLENTE;MASCULINO;AGRICULTOR;60002188676.jpg
Vereador;40999;60002188684;LUCIANO OLIVEIRA DE PAIVA;LUCIANO;PSB;ELEITO POR QP;MASCULINO;VEREADOR;60002188684.jpg
