zona;secao;cargo;numero;votos
44;64;7;12456;1
44;77;6;2288;1
44;58;6;4447;1
44;171;6;1321;1
44;37;7;12888;2
44;37;7;13333;4
44;156;5;95;1
44;158;6;1533;5
44;61;6;5055;2
44;80;7;12144;1
44;92;6;1213;1
44;118;6;2222;3
44;110;6;2277;6
44;117;7;44567;1
44;80;6;2277;1
44;51;6;1111;20
44;43;6;6565;16
44;92;6;1111;56
44;92;7;95;4
44;158;7;15333;3
44;176;5;95;7
44;137;6;4477;2
44;34;6;1322;13
44;163;6;1322;7
44;69;6;2277;1
44;185;6;95;1
44;93;3;44;34
44;63;7;12999;1
44;171;6;2222;3
44;47;6;1233;53
44;66;6;1313;1
44;110;6;1133;1
44;57;7;12300;1
44;128;6;5055;1
44;93;6;4512;2
44;40;7;44447;1
44;184;6;1333;15
44;58;6;1111;21
44;31;6;4012;1
44;43;7;40888;1
44;32;6;4445;6
44;55;7;13777;6
44;115;6;6565;24
44;83;7;22777;2
44;55;7;22777;6
44;66;6;1214;1
44;183;7;44044;3
44;116;6;1901;1
44;93;6;1123;1
44;138;6;1333;8
44;48;5;95;8
44;171;7;45000;1
44;171;6;95;9
44;52;7;12600;1
44;52;7;65700;22
44;135;3;44;27
44;177;7;12000;7
44;93;3;12;18
44;35;6;95;11
44;115;6;1333;22
44;93;7;12333;12
44;66;7;10124;3
44;61;7;45300;1
44;127;6;2277;1
44;43;7;15333;1
44;60;6;1233;10
44;159;6;1233;12
44;166;7;13123;9
44;73;6;1321;1
44;138;6;5555;47
44;154;7;11999;1
44;140;6;95;4
44;54;6;5511;3
44;101;7;13131;1
44;57;5;555;1
44;107;7;13333;2
44;73;6;5555;54
44;101;3;95;8
44;61;3;95;6
44;37;6;1292;1
44;69;6;2211;3
44;31;7;22777;2
44;71;7;22777;3
44;53;7;22022;3
44;49;6;5050;1
44;52;6;2277;2
44;159;7;10124;1
44;49;7;45300;6
44;172;3;21;1
44;62;7;12500;1
44;70;7;55888;1
44;99;7;12333;1
44;112;6;1233;10
44;40;7;13789;7
44;161;6;6565;24
44;111;6;2211;1
44;126;6;2222;4
44;47;7;12112;1
44;46;7;44888;4
44;57;6;1322;9
44;47;5;131;148
44;49;6;7099;1
44;43;7;12123;1
44;115;6;1313;7
44;52;6;2288;1
44;59;7;50013;1
44;130;6;1313;3
44;32;7;12456;1
44;62;6;1233;16
44;59;7;44700;1
44;51;6;2222;3
44;62;6;1331;1
44;60;3;12;12
44;93;3;95;8
44;179;3;95;5
44;47;7;44369;1
44;45;7;44567;1
44;142;5;700;2
44;69;3;95;7
44;158;7;55888;1
44;73;7;45555;1
44;117;7;22556;3
44;53;7;12000;68
44;101;5;96;9
44;61;5;96;18
44;112;7;44444;1
44;160;6;5511;1
44;57;6;2211;7
44;75;6;1213;11
44;30;7;70007;1
44;92;6;4533;1
44;126;7;22022;1
44;163;6;95;4
44;110;6;1213;16
44;64;6;1213;1
44;78;6;4488;8
44;133;6;11;2
44;133;6;12;3
44;133;6;13;2
44;133;6;65;1
44;133;7;11;1
44;133;7;12;2
44;133;7;13;15
44;133;7;43;1
44;133;7;65;2
44;133;7;70;3
44;58;6;1212;2
44;140;7;95;6
44;156;6;1111;15
44;171;7;12144;1
44;183;6;6565;3
44;173;7;12333;1
44;78;7;22022;4
44;183;6;4445;1
44;101;5;555;1
44;32;6;1111;26
44;32;7;95;25
44;79;6;4488;12
44;118;6;5511;1
44;66;7;55234;2
44;134;5;131;139
44;39;7;22222;3
44;40;7;22222;1
44;39;6;4488;7
44;32;5;96;16
44;112;6;1533;1
44;113;7;13456;1
44;183;6;1533;10
44;113;6;6565;21
44;138;6;2255;1
44;157;6;5511;4
44;171;7;95;9
44;171;6;1111;19
44;113;6;1333;5
44;58;7;12123;1
44;71;6;1016;1
44;159;5;700;30
44;93;3;13;184
44;159;7;12000;86
44;48;7;13123;1
44;184;6;1234;1
44;134;7;43640;1
44;171;5;700;21
44;138;6;2222;2
44;33;5;700;7
44;83;6;2277;2
44;40;7;11113;1
44;54;7;15000;1
44;107;7;11111;8
44;175;7;11111;36
44;98;6;5533;3
44;138;6;1447;1
44;158;7;45300;2
44;117;6;1322;1
44;58;3;44;57
44;161;7;44441;1
44;120;7;12500;1
44;93;6;5500;3
44;52;6;1233;14
44;99;7;12600;1
44;99;7;65700;22
44;121;6;1111;22
44;121;7;95;17
44;62;7;12456;2
44;40;6;2200;4
44;70;6;2211;25
44;63;7;95;9
44;157;6;4447;1
44;73;7;44190;1
44;158;7;13555;1
44;39;7;22555;1
44;121;3;13;176
44;173;6;1533;16
44;138;6;5050;2
44;163;7;65700;1
44;56;6;2201;1
44;166;6;96;3
44;159;6;6565;19
44;133;5;700;16
44;107;3;12;14
44;37;7;13789;1
44;44;7;12;1
44;44;7;13;6
44;44;7;45;1
44;44;7;65;1
44;44;7;70;2
44;164;5;131;162
44;164;3;96;1
44;166;7;65700;21
44;173;3;44;54
44;51;7;13333;6
44;55;7;12144;1
44;55;6;1447;1
44;70;6;2255;1
44;138;7;70123;1
44;34;7;45333;1
44;39;6;4040;1
44;78;3;12;20
44;47;7;44500;4
44;110;7;22777;6
44;116;6;1213;7
44;94;3;13;115
44;158;6;3323;1
44;158;7;44888;14
44;48;6;1533;23
44;70;6;4512;1
44;142;6;1322;16
44;53;7;45123;4
44;79;6;4423;1
44;55;6;7040;1
44;110;3;13;178
44;34;3;13;169
44;34;6;1533;4
44;69;6;1213;3
44;85;6;1322;16
44;106;6;5599;5
44;133;6;1333;30
44;112;7;12200;2
44;77;7;13777;14
44;56;5;95;12
44;179;7;22222;2
44;41;7;22022;4
44;127;5;96;7
44;45;7;13777;7
44;137;7;12000;3
44;31;7;65700;15
44;31;7;12600;1
44;142;5;96;4
44;99;7;22777;3
44;31;7;12000;40
44;31;6;1171;1
44;154;6;2277;2
44;31;7;15555;2
44;53;6;4445;2
44;66;3;95;5
44;138;7;44888;7
44;30;6;5566;1
44;142;6;1111;22
44;142;7;95;6
44;98;6;1213;1
44;71;7;44888;11
44;101;6;4567;1
44;138;7;12100;2
44;55;6;5511;1
44;64;6;1313;1
44;80;6;95;12
44;135;6;1322;33
44;28;6;5013;1
44;106;6;1111;34
44;38;3;44;37
44;138;6;96;8
44;40;7;55555;1
44;29;6;1533;6
44;106;7;33133;1
44;62;7;15333;1
44;133;7;70500;1
44;41;3;44;66
44;123;7;12000;16
44;30;7;12000;70
44;130;7;11111;22
44;123;7;22722;1
44;30;7;22122;1
44;176;5;700;9
44;85;6;5555;19
44;59;6;1577;1
44;173;7;50500;1
44;51;7;55011;1
44;177;7;33193;3
44;40;6;1111;15
44;40;7;95;2
44;157;7;65700;32
44;91;6;1111;40
44;91;7;45000;1
44;135;5;555;1
44;47;3;44;57
44;137;3;96;4
44;117;6;1292;1
44;121;7;45333;17
44;39;7;70321;1
44;159;7;12144;1
44;126;7;44447;1
44;171;7;12000;48
44;177;7;10124;1
44;44;6;5533;2
44;49;6;1214;2
44;98;3;13;195
44;55;7;65700;20
44;62;7;22556;1
44;62;7;45123;4
44;78;5;555;1
44;49;7;44447;1
44;69;5;555;1
44;73;6;4567;2
44;56;6;1233;9
44;133;6;1533;6
44;55;7;45333;1
44;51;6;1292;1
44;79;6;1313;2
44;38;3;96;7
44;138;7;13132;1
44;121;6;4567;7
44;134;7;13456;2
44;79;5;131;148
44;59;3;13;152
44;77;7;22777;8
44;29;6;4490;3
44;116;3;44;25
44;160;3;44;29
44;138;6;1177;1
44;83;6;1010;1
44;71;5;700;34
44;29;7;12333;2
44;37;7;13777;11
44;107;6;4410;1
44;70;6;5120;1
44;44;6;6565;24
44;130;6;5555;23
44;54;7;22222;1
44;59;7;12123;2
44;107;7;12000;40
44;63;6;4447;1
44;86;7;44777;1
44;183;6;1111;9
44;85;6;4477;1
44;118;7;50013;1
44;138;7;13123;6
44;179;7;45045;1
44;95;6;7040;2
44;106;6;4511;1
44;183;7;65013;1
44;37;3;44;35
44;99;6;1212;1
44;32;6;1234;1
44;32;6;4411;2
44;176;7;13333;15
44;123;6;2211;2
44;63;6;1292;1
44;177;7;96;1
44;80;6;4422;2
44;55;7;13789;9
44;33;7;45333;2
44;47;7;13777;59
44;57;7;13777;3
44;175;6;4411;1
44;77;3;13;181
44;101;7;13777;6
44;70;7;95;9
44;35;5;96;15
44;128;7;10190;1
44;51;6;1233;12
44;171;7;44020;1
44;52;7;12144;1
44;133;7;15115;1
44;123;3;95;4
44;30;3;95;5
44;73;5;95;9
44;92;7;11111;60
44;30;6;5555;42
44;80;7;95;21
44;70;7;40888;2
44;166;6;5555;24
44;86;6;65;1
44;120;7;13777;7
44;53;7;13132;1
44;171;5;95;10
44;79;6;1213;9
44;158;7;22777;1
44;157;7;10000;2
44;125;6;4490;1
44;124;7;55678;3
44;179;7;44567;1
44;71;7;96;2
44;95;7;12000;52
44;64;6;2222;1
44;58;7;13100;1
44;183;7;44000;2
44;108;6;2277;2
44;61;7;13013;1
44;61;7;45333;3
44;171;6;4456;2
44;154;6;4410;1
44;121;6;1233;13
44;161;5;95;3
44;60;7;12600;2
44;60;7;65700;28
44;171;6;1233;8
44;106;7;65013;1
44;86;6;1533;16
44;183;6;4477;10
44;172;6;1213;4
44;164;6;12;1
44;164;7;13;4
44;164;7;15;2
44;164;7;50;2
44;94;3;44;21
