cargo;numero;sq;nome;nome_urna;partido;situacao;genero;ocupacao;foto
Deputado Estadual;10000;60001608819;LUIZ HENRIQUE CASTELO LIMA;APÓSTOLO LUIZ HENRIQUE;REPUBLICANOS;ELEITO POR MÉDIA;MASCULINO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;60001608819.jpg
Deputado Estadual;10122;60001608827;CARLOS BRUNILDO DE OLIVEIRA;APÓSTOLO CARLOS BRUNILDO;REPUBLICANOS;SUPLENTE;MASCULINO;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;60001608827.jpg
Deputado Estadual;10123;60001608816;DAVID DE ALBUQUERQUE DURAND;DAVID DURAND;REPUBLICANOS;ELEITO POR QP;MASCULINO;DEPUTADO;60001608816.jpg
Deputado Estadual;10444;60001608831;RUBENILDO CADEIRA DE OLIVEIRA;RUBENILDO CADEIRA;REPUBLICANOS;SUPLENTE;MASCULINO;SERVIDOR PÚBLICO MUNICIPAL;60001608831.jpg
Deputado Estadual;11100;60001619180;LUZANIRA BRITO ARAÚJO;LUZANIRA ARAÚJO;PP;SUPLENTE;FEMININO;OUTROS;60001619180.jpg
Deputado Estadual;11111;60001619179;JOSE JACOME CARNEIRO ALBUQUERQUE;ZEZINHO ALBUQUERQUE;PP;ELEITO POR QP;MASCULINO;DEPUTADO;60001619179.jpg
Deputado Estadual;11222;60001619186;PAULO VICTOR TAVARES GURGEL;DR VICTOR GURGEL;PP;SUPLENTE;MASCULINO;MÉDICO;60001619186.jpg
Deputado Estadual;11444;60001619175;LEONARDO FRANKLIN NOGUEIRA PINHEIRO;LEONARDO PINHEIRO;PP;ELEITO POR MÉDIA;MASCULINO;DEPUTADO;60001619175.jpg
Deputado Estadual;11555;60001619185;FRANCISCA FÁTIMA ALMEIDA DA COSTA;FÁTIMA COSTA;PP;SUPLENTE;FEMININO;OUTROS;60001619185.jpg
Deputado Estadual;11999;60001619183;MOÉSIO LOIOLA DE MELO;MOÉSIO LOIOLA;PP;SUPLENTE;MASCULINO;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;60001619183.jpeg
Deputado Estadual;12000;60001603535;EVANDRO SÁ BARRETO LEITÃO;EVANDRO LEITÃO;PDT;ELEITO POR QP;MASCULINO;DEPUTADO;60001603535.jpeg
Deputado Estadual;12100;60001603541;ANTONIO PINHEIRO GRANJA;ANTONIO GRANJA;PDT;SUPLENTE;MASCULINO;MÉDICO;60001603541.jpeg
Deputado Estadual;12111;60001603547;ANTONIO HENRIQUE DA SILVA;ANTONIO HENRIQUE;PDT;ELEITO POR QP;MASCULINO;VEREADOR;60001603547.jpeg
Deputado Estadual;12114;60001603525;GUILHERME SAMPAIO LANDIM;GUILHERME LANDIM;PDT;ELEITO POR QP;MASCULINO;MÉDICO;60001603525.jpg
Deputado Estadual;12123;60001603529;FRANCISCO CLAUDIO PINTO PINHO;CLÁUDIO PINHO;PDT;ELEITO POR QP;MASCULINO;TABELIÃO;60001603529.jpeg
Deputado Estadual;12222;60001603520;FRANCISCO OSMAR DIÓGENES BAQUIT;OSMAR BAQUIT;PDT;ELEITO POR QP;MASCULINO;DEPUTADO;60001603520.jpeg
Deputado Estadual;12333;60001603545;MARCOS MARCEL RODRIGUES SOBREIRA;MARCOS SOBREIRA;PDT;ELEITO POR QP;MASCULINO;ADVOGADO;60001603545.jpg
Deputado Estadual;12345;60001603543;LIA FERREIRA GOMES;LIA GOMES;PDT;ELEITO POR QP;FEMININO;MÉDICO;60001603543.jpeg
Deputado Estadual;12444;60001603522;JOSÉ JEOVÁ SOUTO MOTA;JEOVÁ MOTA;PDT;ELEITO POR QP;MASCULINO;DEPUTADO;60001603522.jpg
Deputado Estadual;12456;60001603528;ROMEU ALDIGUERI DE ARRUDA COELHO;ROMEU ALDIGUERI;PDT;ELEITO POR QP;MASCULINO;ADVOGADO;60001603528.jpeg
Deputado Estadual;12500;60001603518;JOÃO SALMITO FILHO;SALMITO;PDT;ELEITO POR MÉDIA;MASCULINO;SOCIÓLOGO;60001603518.jpeg
Deputado Estadual;12555;60001603523;ORIEL GUIMARAES NUNES FILHO;ORIEL FILHO;PDT;ELEITO POR MÉDIA;MASCULINO;FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL;60001603523.jpeg
Deputado Estadual;12755;60001603533;CLEANE RAMALHO DA SILVA;CLEANE RAMALHO;PDT;SUPLENTE;FEMININO;EMPRESÁRIO;60001603533.jpg
Deputado Estadual;13013;60001633650;MARIA DENISE ROCHA MENEZES;DRA. DENISE;PT;SUPLENTE;FEMININO;MÉDICO;60001633650.jpg
Deputado Estadual;13131;60001633660;MARIANA VIEIRA LACERDA;MARI LACERDA;PT;SUPLENTE;FEMININO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;60001633660.jpeg
Deputado Estadual;13132;60001633668;JOSE ACRISIO DE SENA;ACRISIO SENA;PT;SUPLENTE;MASCULINO;DEPUTADO;60001633668.jpeg
Deputado Estadual;13222;60001633655;FERNANDO MATOS SANTANA;FERNANDO SANTANA;PT;ELEITO POR QP;MASCULINO;DEPUTADO;60001633655.jpeg
Deputado Estadual;13234;60001633635;GUILHERME DE FIGUEIREDO SAMPAIO;GUILHERME SAMPAIO;PT;SUPLENTE;MASCULINO;VEREADOR;60001633635.jpeg
Deputado Estadual;13333;60001633642;MOISES BRAZ RICARDO;MOISES BRAZ;PT;ELEITO POR QP;MASCULINO;DEPUTADO;60001633642.jpeg
Deputado Estadual;13456;60001633671;FRANCISCO DE ASSIS DINIZ;DE ASSIS DINIZ;PT;ELEITO POR QP;MASCULINO;OUTROS;60001633671.jpg
Deputado Estadual;13555;60001633675;JULIANA DE HOLANDA LUCENA RODRIGUES;JULIANA LUCENA;PT;ELEITO POR QP;FEMININO;ADVOGADO;60001633675.jpeg
Deputado Estadual;14444;60001668694;RENATA DE SOUSA SAMPAIO;RENATA SAMPAIO;PTB;NÃO ELEITO;FEMININO;OUTROS;60001668694.jpeg
Deputado Estadual;15111;60001635793;RAIMUNDO ANTONIO DE SOUZA;RAIR DE SOUZA;MDB;SUPLENTE;MASCULINO;EMPRESÁRIO;60001635793.jpeg
Deputado Estadual;15115;60001635802;CARLOS ALBERTO SILVA DO NASCIMENTO;CARLOS BANDEIRA;MDB;SUPLENTE;MASCULINO;POLICIAL MILITAR;60001635802.jpg
Deputado Estadual;15123;60001635804;AUDIC CAVALCANTE MOTA DIAS;AUDIC MOTA;MDB;SUPLENTE;MASCULINO;DEPUTADO;60001635804.jpeg
Deputado Estadual;15151;60001635807;LEONARDO ARAÚJO DE SOUZA;LEONARDO ARAÚJO;MDB;SUPLENTE;MASCULINO;DEPUTADO;60001635807.jpg
Deputado Estadual;15333;60001635805;DANNIEL LOPES DE OLIVEIRA SOUSA;DANNIEL OLIVEIRA;MDB;ELEITO POR QP;MASCULINO;DEPUTADO;60001635805.jpeg
Deputado Estadual;15444;60001635794;RONALD NASCIMENTO ALENCAR;BALÃO DO POVO;MDB;SUPLENTE;MASCULINO;OUTROS;60001635794.jpeg
Deputado Estadual;15678;60001635814;ELISETE SILVA DUARTE GUIMARÃES;ELISETE DUARTE;MDB;SUPLENTE;FEMININO;OUTROS;60001635814.jpg
Deputado Estadual;22022;60001633791;CARMELO SILVEIRA CARNEIRO LEÃO NETO;CARMELO NETO;PL;ELEITO POR QP;MASCULINO;VEREADOR;60001633791.jpg
