zona;secao;cod_local;local;endereco;bairro;cep;aptos;agregadas
52;1;1740;ESCOLA MARIA AUGUSTA DOS SANTOS (SEÇÕES DO EX-PE SARAIVA E DA CÂMARA);RUA SANTOS DUMONT, S/N;CENTRO (SEDE);62795000;230;134
52;7;1058;CENTRO EDUCACIONAL PERBOYRE E SILVA;RUA MARECHAL DEODORO, N. 399;CENTRO (SEDE);62790000;306;
52;8;1058;CENTRO EDUCACIONAL PERBOYRE E SILVA;RUA MARECHAL DEODORO, N. 399;CENTRO (SEDE);62790000;306;
52;9;1058;CENTRO EDUCACIONAL PERBOYRE E SILVA;RUA MARECHAL DEODORO, N. 399;CENTRO (SEDE);62790000;305;
52;10;1058;CENTRO EDUCACIONAL PERBOYRE E SILVA;RUA MARECHAL DEODORO, N. 399;CENTRO (SEDE);62790000;304;
52;11;1066;CINE-TEATRO RAUL BARBOSA;RUA IRMÃ AUGUSTA, N. 120;DISTRITO DE ANTÔNIO DIOGO;62791000;293;
52;14;1716;ESCOLA DR. EDMILSON BARROS DE OLIVEIRA;RUA SANTOS DUMONT, S/N;CENTRO (SEDE);62790000;259;
52;15;1716;ESCOLA DR. EDMILSON BARROS DE OLIVEIRA;RUA SANTOS DUMONT, S/N;CENTRO (SEDE);62790000;258;
52;16;1082;ESCOLA PE. SARAIVA LEÃO (ANTIGA ESCOLA ADOLFO FERREIRA DE SOUSA);RUA SANTA RITA, N. 263;CENTRO (SEDE);62790000;355;200
52;17;1090;ESCOLA FRANCISCO JANUÁRIO DA COSTA;OLHO D'ÁGUA DO CONSTANTINO;DISTRITO DE FAÍSCA;62790000;300;
52;18;1090;ESCOLA FRANCISCO JANUÁRIO DA COSTA;OLHO D'ÁGUA DO CONSTANTINO;DISTRITO DE FAÍSCA;62790000;298;
52;24;1120;ESCOLA DR. BRUNILO JACÓ;AVENIDA CONTORNO SUL, S/N;CONJUNTO ANTÔNIO BONFIM (SEDE);62790000;321;
52;25;1708;ESCOLA CECÍLIA PEREIRA;RUA TEREZA CRISTINA, N. 295 - CENTRO;DISTRITO DE ANTÔNIO DIOGO;62791000;320;
52;26;1708;ESCOLA CECÍLIA PEREIRA;RUA TEREZA CRISTINA, N. 295 - CENTRO;DISTRITO DE ANTÔNIO DIOGO;62791000;320;
52;27;1147;CENTRO DE EDUCAÇÃO INFANTIL PEDRO FERNANDES COSTA;RUA TEREZA CRISTINA S/N;DISTRITO DE ANTÔNIO DIOGO;62791000;280;
52;28;1147;CENTRO DE EDUCAÇÃO INFANTIL PEDRO FERNANDES COSTA;RUA TEREZA CRISTINA S/N;DISTRITO DE ANTÔNIO DIOGO;62791000;273;
52;31;1775;POSTO DE SAÚDE MANOEL BEZERRA DE MENEZES (SEÇÕES ESC. HERMÍNIO GOMES);PIROAS;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;241;
52;33;1198;ESCOLA JOÃO ALVES GOUVEIA;FAÍSCA;DISTRITO DE FAÍSCA;62794000;233;
52;34;1201;ESCOLA JOAQUIM JOSÉ DA SILVA;GURGURI;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;331;148
52;35;1201;ESCOLA JOAQUIM JOSÉ DA SILVA;GURGURI;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;316;145
52;36;1023;CRECHE NOSSA SENHORA DE LOURDES;GUASSI;DISTRITO DE GUASSI;62794000;214;
52;42;1252;ESCOLA LUIS DIAS DAMASCENO;BARRA NOVA;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62792000;335;186
52;44;1279;ESCOLA MANOEL SARAIVA DE SOUSA;SERRA MANOEL DIAS;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;244;
52;49;1295;ESCOLA NEIDE TINOCO;SITIO ITAPAÍ;DISTRITO DE ANTÔNIO DIOGO;62790000;288;
52;50;1295;ESCOLA NEIDE TINOCO;SITIO ITAPAÍ;DISTRITO DE ANTÔNIO DIOGO;62790000;289;
52;56;1740;ESCOLA MARIA AUGUSTA DOS SANTOS (SEÇÕES DO EX-PE SARAIVA E DA CÂMARA);RUA SANTOS DUMONT, S/N;CENTRO (SEDE);62795000;264;
52;57;1740;ESCOLA MARIA AUGUSTA DOS SANTOS (SEÇÕES DO EX-PE SARAIVA E DA CÂMARA);RUA SANTOS DUMONT, S/N;CENTRO (SEDE);62795000;264;
52;58;1740;ESCOLA MARIA AUGUSTA DOS SANTOS (SEÇÕES DO EX-PE SARAIVA E DA CÂMARA);RUA SANTOS DUMONT, S/N;CENTRO (SEDE);62795000;265;
52;64;1368;ESCOLA TEODORO CONRADO DA SILVEIRA;SÍTIO CANADÁ;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62792000;380;65
52;69;1619;ESCOLA TERTO VENÂNCIO;VILA ANTONIO JUSTA - CENTRO;DISTRITO DE ANTÔNIO DIOGO;62791000;255;
52;70;1147;CENTRO DE EDUCAÇÃO INFANTIL PEDRO FERNANDES COSTA;RUA TEREZA CRISTINA S/N;DISTRITO DE ANTÔNIO DIOGO;62791000;279;
52;71;1767;POSTO DE SAÚDE MOSENHOR TABOSA (SEÇÕES ESC. ANTONIO MALAQUIAS DE MELO);BARRA NOVA;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;273;
52;72;1783;ESCOLA JOAQUIM SIMÃO DE OLIVEIRA - ANEXO (AO LADO DA CHECHE);GUASSI;DISTRITO DE GUASSI;62790000;216;
52;73;1465;ESCOLA ANTÔNIO BARBOSA;SÍTIO SUSTO;DISTRITO DE ANTÔNIO DIOGO;62791000;241;
52;75;1759;POSTO DE SAÚDE FRANCISCO PEDRO DA SILVA (SEÇÕES ESC ANTÔNIO DE BARROS);RIACHO DAS PEDRAS;DISTRITO DE FAÍSCA;62790000;288;
52;76;1465;ESCOLA ANTÔNIO BARBOSA;SÍTIO SUSTO;DISTRITO DE ANTÔNIO DIOGO;62791000;239;
52;77;1465;ESCOLA ANTÔNIO BARBOSA;SÍTIO SUSTO;DISTRITO DE ANTÔNIO DIOGO;62791000;240;
52;81;1490;ESCOLA FRANCISCO DE ASSIS NOGUEIRA;SERRA VERDE;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;207;
52;84;1511;ESCOLA JOÃO FRAGOSO FILHO;BRENHA;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62792000;218;
52;85;1520;ESCOLA FRANCISCO RAIMUNDO DE LIMA;BOQUEIRÃO DA FAÍSCA;DISTRITO DE FAÍSCA;62794000;275;
52;87;1546;ESCOLA MAJOR HORTÊNCIO HENRIQUE DAMASCENO;SITIO SANTO ANTÔNIO - SERRINHA BELA;DISTRITO DE GUASSI;62794000;268;
52;88;1546;ESCOLA MAJOR HORTÊNCIO HENRIQUE DAMASCENO;SITIO SANTO ANTÔNIO - SERRINHA BELA;DISTRITO DE GUASSI;62794000;270;
52;92;1589;ASSOCIAÇÃO DOS MORADORES DO SÃO BENTO;SÃO BENTO;DISTRITO DE BARRA NOVA (ANTIGO SÃO GERARDO);62790000;220;
52;93;1597;ESCOLA SEBASTIÃO JOSÉ BEZERRA;OUTEIRO DE FORA;OUTEIRO DE FORA (SEDE);62790000;274;
